event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223700973,Gulfstream Park (US) 18th Jan,R1 1m1f Mdn Claim,18-01-2024 17:10,49171201,Pep Rally,0,4.90777172,3.0890,1.0000,4.60,4.00,6.00,3.45,0.00,8681.55,901.94
223701031,Fair Grounds (US) 18th Jan,R7 1m Mdn,18-01-2024 21:45,60788154,Miss Harmonic,0,15.18437067,18.8458,1.0000,25.37,17.00,1.00,1001.00,0.00,773.22,100.02
223701033,Fair Grounds (US) 18th Jan,R9 1m Mdn,18-01-2024 22:45,61903222,Martynas Joy,0,9.39851880,7.5794,1.0000,9.40,8.20,13.50,8.00,0.00,2447.30,700.20
223701026,Fair Grounds (US) 18th Jan,R2 6f Mdn Claim,18-01-2024 19:15,65039461,Lt. Tent,0,38.00000000,35.9321,1.0000,1.00,1001.00,1.00,1001.00,0.00,20.32,10.62
223701045,Turfway Park (US) 18th Jan,R2 1m Mdn,18-01-2024 23:25,6444051,Voice From Above,0,4.86559096,2.4906,1.0000,5.60,4.30,7.00,7.00,0.00,2157.96,491.07
223701029,Fair Grounds (US) 18th Jan,R5 6f Mdn,18-01-2024 20:45,63816,Lucky Romance,0,45.69277620,50.4761,1.0000,90.00,42.00,1.00,1001.00,0.00,145.44,25.25
223701040,Sunland Park (US) 18th Jan,R6 6f Claim,18-01-2024 21:35,40028941,Thoughts Of Gold,0,5.49504129,3.4906,1.0000,5.60,4.60,1.00,1001.00,0.00,3270.67,109.99
223701061,Delta Downs (US) 18th Jan,R2 7f Allw,18-01-2024 23:33,56688024,Tap Galore,0,1.76774790,0.7134,1.0000,1.76,1.68,1.00,1001.00,0.00,6831.00,1139.98
223701013,Aqueduct (US) 18th Jan,R5 7f Mdn Claim,18-01-2024 19:47,62959766,Dactilografa,0,155.60053829,138.4373,1.0000,200.00,110.00,1.00,1001.00,0.00,73.87,20.78
223701016,Aqueduct (US) 18th Jan,R6 7f Claim,18-01-2024 20:18,5927467,First Deputy,0,11.00000000,7.9307,1.0000,9.00,9.00,9.60,9.60,0.00,541.60,168.47
223701004,Aqueduct (US) 18th Jan,R2 1m Claim,18-01-2024 18:18,52553837,Ocean Gateway,1,1.94000000,0.9580,1.0000,2.22,1.89,1.76,1.76,0.00,12364.00,5313.28
223701027,Fair Grounds (US) 18th Jan,R3 1m Allw,18-01-2024 19:45,51351006,Luna Vieja,1,2.28000000,1.2235,1.0000,2.34,2.20,2.10,1.57,0.00,6367.19,1908.61
223701038,Sunland Park (US) 18th Jan,R4 7f Claim,18-01-2024 20:43,38270081,Mischievousholiday,0,39.25208820,40.3961,1.0000,40.00,40.00,1.00,1001.00,0.00,53.06,10.32
223700976,Gulfstream Park (US) 18th Jan,R2 5f Mdn Claim,18-01-2024 17:39,48502057,Miss Uproar,0,36.00000000,32.3361,1.0000,44.00,32.00,1.00,1001.00,0.00,628.30,91.17
223701044,Turfway Park (US) 18th Jan,R1 7f Claim,18-01-2024 22:55,40450582,Kick Rocks Kid,0,14.97945763,10.0973,1.0000,15.50,13.00,1.00,1001.00,0.00,672.22,96.40
223701060,Delta Downs (US) 18th Jan,R1 5f Claim,18-01-2024 23:05,48778091,Boardwalk Queen,1,3.45000000,2.9728,1.0000,4.90,3.20,1.00,1001.00,0.00,2093.36,1875.35
223701060,Delta Downs (US) 18th Jan,R1 5f Claim,18-01-2024 23:05,43046100,Flying I,0,14.80001363,10.2555,1.0000,9.40,9.40,1.00,1001.00,0.00,425.32,23.76
223701061,Delta Downs (US) 18th Jan,R2 7f Allw,18-01-2024 23:33,59923644,Runtolive,0,12.99317023,10.4570,1.0000,13.00,10.00,1.00,1001.00,0.00,1467.35,659.13
223701004,Aqueduct (US) 18th Jan,R2 1m Claim,18-01-2024 18:18,28127253,Ghostly Girl,0,5.83464749,4.9653,1.0000,6.00,5.90,1000.00,6.60,0.00,2124.50,356.91
