EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
143719510,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:15,10125865,Breakfast Club,1,2.12,1,1,1,1001,1,1001,0,0,0
143719510,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:15,8525579,Razed In Black,0,2.24,1,1,1,1001,1,1001,0,0,0
143719510,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:15,9317570,Lord Marshal,0,12.45,1,1,1,1001,1,1001,0,0,0
143719512,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:50,11324258,La Revere,0,5.65,1,1,1,1001,1,1001,0,0,0
143719506,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:10,1014164,Giovanna,0,3.95,1,1,1,1001,1,1001,0,0,0
143719514,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:25,16014031,Cowgirlinthesand,1,3.235,1,1,1,1001,1,1001,0,0,0
143719498,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 11:00,12605533,Grey Halo,0,1.5106464,1,1.56222973686991440346613124801859875304,1,1001,1,1001,189.26,0,0
143719498,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 11:00,16410531,Kissmebackfoot,0,2.11,1,1.93138665404637955513487931850449597728,1,1001,1,1001,84.52,0,0
143719516,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:55,9547477,Oracle Kingdom,0,3.5,1,1,1,1001,1,1001,0,0,0
143719516,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:55,11664984,Perfect Tale,0,2.67,1,1,1,1001,1,1001,0,0,0
143719508,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:40,11302453,Lotus Elan,1,1.855,1,1,1,1001,1,1001,0,0,0
143719508,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:40,9209691,Rosslyn Chapel,0,2.975,1,1,1,1001,1,1001,0,0,0
143719508,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:40,11221089,Artificio,0,8.4,1,1,1,1001,1,1001,0,0,0
143719720,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 18:10,13477659,Passioneight,0,9.6,1,1,1,1001,1,1001,0,0,0
143719726,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 19:50,246067,Strummer,0,2.885,1,1,1,1001,1,1001,0,0,0
143719726,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 19:50,15194113,Sky Vegas,0,5.7,1,1,1,1001,1,1001,0,0,0
143719718,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 17:35,6996759,Night Lock,0,1.4364871,1,1,1,1001,1,1001,0,0,0
143719724,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 19:15,7164459,Fire The Rocket,0,3.3,1,1,1,1001,1,1001,0,0,0
143719728,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 20:20,13174246,Miziara,0,6,1,1,1,1001,1,1001,0,0,0
143719510,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:15,10907703,Story Of My Life,0,4.25,1,1,1,1001,1,1001,0,0,0
143719506,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:10,9658151,Aviatrix,0,2.52,1,1,1,1001,1,1001,0,0,0
143719506,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:10,2460864,Altitude,1,2.66,1,1,1,1001,1,1001,0,0,0
143719498,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 11:00,15713477,Mr Hardy,1,3.52,1,3.92390232337600758653390232337600758653,1,1001,1,1001,42.18,0,0
143719498,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 11:00,18742004,Pilothouse,0,3.91,1,4.5786970954356846473029045643153526971,1,1001,1,1001,72.3,0,0
143719516,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:55,13210693,Steffis Graft,0,9.95,1,1,1,1001,1,1001,0,0,0
143719502,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 12:00,11904945,Kounia Bella,0,9.1,1,8.50679258990192517253904831093352706139,1,1001,1,1001,55.06,0,0
143719504,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 12:35,15849257,Ivory Hunter,0,2.724849140520382,1,1,1,1001,1,1001,0,0,0
143719508,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:40,8893198,Quid Rides,1,1.529878456,1,1,1,1001,1,1001,0,0,0
143719508,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:40,10744908,Captains Vista,0,5.2,1,1,1,1001,1,1001,0,0,0
143719714,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 16:20,13528345,Verisimilitude,0,4.4,1,1,1,1001,1,1001,0,0,0
143719714,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 16:20,15058551,American Captain,0,6.55,1,1,1,1001,1,1001,0,0,0
143719720,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 18:10,13550677,Palmieto,0,9.15,1,1,1,1001,1,1001,0,0,0
143719720,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 18:10,14759999,Shifting Gears,0,2.68,1,1,1,1001,1,1001,0,0,0
143719726,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 19:50,13174245,Lady Lisha,0,5.4,1,1,1,1001,1,1001,0,0,0
143719718,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 17:35,107135,Franco,0,2.4163561,1,1,1,1001,1,1001,0,0,0
143719718,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 17:35,7864713,What A Scorcher,1,3.7169095,1,1,1,1001,1,1001,0,0,0
143719716,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 16:55,786709,Ogilvy,0,11,1,1,1,1001,1,1001,0,0,0
143719716,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 16:55,9521933,The Money Man,1,2.84,1,1,1,1001,1,1001,0,0,0
143719716,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 16:55,11979688,Spice Roads,0,2.78,1,1,1,1001,1,1001,0,0,0
143719724,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 19:15,12609716,Ishnana,0,1.735,1,1,1,1001,1,1001,0,0,0
143719724,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 19:15,11073044,Marshall That,1,1.825,1,1,1,1001,1,1001,0,0,0
143719728,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 20:20,5864649,Diamond Noir,0,6,1,1,1,1001,1,1001,0,0,0
143719728,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 20:20,8816889,School Run,1,4.5174,1,1,1,1001,1,1001,0,0,0
143719510,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:15,11101364,Gimme The Stars,0,5,1,1,1,1001,1,1001,0,0,0
143719512,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:50,10005414,Joking,0,8.2,1,1,1,1001,1,1001,0,0,0
143719506,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:10,11198687,Close To My Heart,1,2.72,1,2.65999842300149814857675885207909052486,1,1001,1,1001,4,0,0
143719506,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:10,11513335,Sylvanite,0,4.227931555555552,1,1,1,1001,1,1001,0,0,0
143719500,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 11:30,13497516,Eeshara,1,3.15,1,3.01622905510450855069960269476593539471,1,1001,1,1001,115.78,0,0
143719514,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:25,12217223,No Green Stars,0,6.6,1,1,1,1001,1,1001,0,0,0
143719514,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:25,12481874,Rocksette,1,2.42,1,1,1,1001,1,1001,0,0,0
143719498,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 11:00,16040925,Tin Tan,0,3.245039350562002,1,2.36215291047210700470708859579624365009,1,1001,1,1001,858.28,0,0
143719516,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:55,9093205,Just Too Early,0,3.12,1,1,1,1001,1,1001,0,0,0
143719502,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 12:00,13612525,The Gown,0,2.82,1,3.03899746596994057168791778859820678027,1,1001,1,1001,18.36,0,0
143719502,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 12:00,14361618,Incomodation,1,1.815,1,1.79010250679021773959474174122611292224,1,1001,1,1001,93.64,0,0
143719502,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 12:00,15212183,U For Me,0,3.425,1,3.5045112781954887218045112781954887218,1,1001,1,1001,7.98,0,0
143719502,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 12:00,15330009,Mocha To Go,0,2.725,1,2.83733736283269913008412607845715115385,1,1001,1,1001,58.74,0,0
143719508,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:40,6675515,Data Link,0,2.46,1,1,1,1001,1,1001,0,0,0
143719714,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 16:20,17697721,World Cruise,0,13.5,1,1,1,1001,1,1001,0,0,0
143719720,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 18:10,16410555,Vilette,0,1.9861623556799892,1,1,1,1001,1,1001,0,0,0
143719726,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 19:50,9246790,Roys Taxi,1,2.37,1,1,1,1001,1,1001,0,0,0
143719726,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 19:50,9401836,Son Of Silver,1,2.47,1,1,1,1001,1,1001,0,0,0
143719718,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 17:35,13174252,Heros Welcome,0,3.583291,1,1,1,1001,1,1001,0,0,0
143719716,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 16:55,10368434,Secret Service,0,6.2,1,1,1,1001,1,1001,0,0,0
143719722,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 18:45,13147458,Destiny Duchess,0,3.5,1,1,1,1001,1,1001,0,0,0
143719728,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 20:20,11005139,Eden Gardens Glitz,0,2.895,1,1,1,1001,1,1001,0,0,0
143719510,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:15,8345270,Stormy Eclipse,0,2.94,1,1,1,1001,1,1001,0,0,0
143719510,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:15,8571429,Afrikaburn,0,3.125,1,1,1,1001,1,1001,0,0,0
143719512,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:50,9225311,Anglet,0,3.85,1,1,1,1001,1,1001,0,0,0
143719512,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:50,10125868,Coastal Spell,0,2.440642776,1,1,1,1001,1,1001,0,0,0
143719512,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 14:50,12945975,Veeipee Club,0,3.725,1,1,1,1001,1,1001,0,0,0
143719506,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:10,12418800,Street Gaze,0,4.2692,1,1,1,1001,1,1001,0,0,0
143719500,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 11:30,14170964,Countess Cantabria,1,1.86,1,1.81405658666344235535940995103077202104,1,1001,1,1001,330.82,0,0
143719514,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:25,8162738,Winter Breeze,0,11.3,1,1,1,1001,1,1001,0,0,0
143719514,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:25,9964784,Zaida,0,2.14,1,1,1,1001,1,1001,0,0,0
143719514,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:25,10439308,Zanzibar Beat,0,3.35,1,1,1,1001,1,1001,0,0,0
143719514,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:25,12153864,Equestris,0,5.45,1,1,1,1001,1,1001,0,0,0
143719516,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:55,2072046,Shine Like A Star,1,2.87,1,1,1,1001,1,1001,0,0,0
143719516,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:55,7243024,Bah,1,2.6,1,1,1,1001,1,1001,0,0,0
143719516,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 15:55,12294084,Miss Aphrodite,0,2.9,1,1,1,1001,1,1001,0,0,0
143719508,RSA / Fair (RSA) 11th May,TO BE PLACED,11-05-2018 13:40,369336,Eastern Pearl,1,2.451308932,1,1,1,1001,1,1001,0,0,0
143719714,RSA / Grey (RSA) 11th May,TO BE PLACED,11-05-2018 16:20,16298929,Ninjinskys Son,0,3.15,1,1,1,1001,1,1001,0,0,0
