EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
154779967,AUS / Mack (AUS) 12th Feb,R8 1200m CL2,12-02-2019 07:25,12084402,2. Donavia,0,42,28.9389492617342445846172005956413972468,29.7873616074043699841837033565696209947,60,12,880,80,3414.2,3392.48,21.72
154779967,AUS / Mack (AUS) 12th Feb,R8 1200m CL2,12-02-2019 07:25,22773554,9. Doubleo Ci,0,310,145.15668068467771738577837810231953449,163.175970695970695970695970695970695971,330,130,970,310,273,258.66,14.34
154779959,AUS / Mack (AUS) 12th Feb,R4 1050m Mdn,12-02-2019 04:50,22773546,9. The Abyss,1,23.834469883605976,22.0592130306615799933072000815388632925,8.26545664838545947815463116429280475042,28,14.5,80,1.01,4452.66,1202.94,2627.74
154779961,AUS / Mack (AUS) 12th Feb,R5 1300m Mdn,12-02-2019 05:27,17996182,2. Emberspeed,0,1.7750241251013357,1.75990595110577205003090706579955445962,1.75278126287833692018865332661751911718,2.4,1.67,580,1.85,60275.64,50125.78,2116.6
154779965,AUS / Mack (AUS) 12th Feb,R7 1300m Hcap,12-02-2019 06:45,8682730,4. Jetintoit,0,19,15.8732144883790340655643491665231381423,16.6410138019704923389474132848405634443,42,18.5,880,18.5,2815.54,2567.84,247.7
154779965,AUS / Mack (AUS) 12th Feb,R7 1300m Hcap,12-02-2019 06:45,15281397,2. Profusive,0,3.475121645144391,2.73265672091323296512081483403188914954,2.77325637200755258475475476253588371694,3.75,2.96,3,2.8,25728.94,24068.48,1660.46
154779953,AUS / Mack (AUS) 12th Feb,R1 1050m CL3,12-02-2019 02:57,12945535,7. Mishani La Scala,0,161.76131071531094,172.369041714957923726270926863482288545,69.333287011302575504910135260329812859,220,110,1000,100,431.76,128.22,49.52
154779957,AUS / Mack (AUS) 12th Feb,R3 1050m Hcap,12-02-2019 04:12,12231734,4. Blazing Steel,0,5,4.9704986819335140892119648295397686586,4.49907124925780626967734844839625840539,5.6,4.7,5.3,4,14921.98,11478.46,1520.6
154779963,AUS / Mack (AUS) 12th Feb,R6 1300m Hcap,12-02-2019 06:07,10736886,4. Confronting,0,6.528788586561351,5.81057423225518827136996252562158480683,5.16591265282522196270570065656834625421,8.2,5.2,870,6.6,10515.28,6968.62,1074.7
154779963,AUS / Mack (AUS) 12th Feb,R6 1300m Hcap,12-02-2019 06:07,13173206,2. Masons Chance,0,7.02143976880314,7.3993742008447739367743964997578707895,5.77661589975381741326219632863396369796,8.6,6.4,16,5,12632.9,8595.34,554.82
154781398,AUS / Cran (AUS) 12th Feb,R8 1609m Pace M,12-02-2019 11:00,22758662,3. Cool Sharkie,0,86.98482873150613,125.784317474525244637600480878440715277,101.142592876763096856647172412925881453,170,90,900,440,20.74,47.28,4.56
154781388,AUS / Cran (AUS) 12th Feb,R3 2575m Trot S,12-02-2019 08:30,7855427,8. Left Right Andcentre,0,32,28.8176256720657744271805228201638675988,27.6568375422148293764806693885780533293,32,25,880,95,396.78,251.06,30.16
154781390,AUS / Cran (AUS) 12th Feb,R4 2080m Pace M,12-02-2019 09:00,19976583,3. My Girl Pearl,0,85,74.2548605369381837968584543443619593768,62.6549741790899347169443632466140504726,100,60,930,930,205.26,107.12,50.1
154786031,AUS / Lism (AUS) 12th Feb,R3 1100m Mdn,12-02-2019 04:25,19568790,5. Globites Jayar,0,30.909524074,33.4288347040093847470158679030589238158,25.6876470969274285837669768747435925118,38,29,90,36,926.26,552.3,78.22
154786031,AUS / Lism (AUS) 12th Feb,R3 1100m Mdn,12-02-2019 04:25,22773215,3. Ashman,1,1.55,1.53647581534098900274666870885990566767,1.4371509808936018498201233359491330768,1.6,1.49,1.33,1.01,63893.78,47497.3,8460.74
154786039,AUS / Lism (AUS) 12th Feb,R7 1200m Hcap,12-02-2019 06:55,12945457,1. Camillo,0,7.326308116673026,5.88819065680891833137360240231980412716,6.16148125274646967303649687050915094003,8.4,5.2,870,870,8419.9,8294.22,125.68
154786039,AUS / Lism (AUS) 12th Feb,R7 1200m Hcap,12-02-2019 06:55,12699804,14. Ready Zaim Fire,0,64.25976886630059,37.1131216764933106885759602211049842104,42.4345950117514996316694145297646192163,95,55,900,350,570.14,558.82,11.32
154786033,AUS / Lism (AUS) 12th Feb,R4 1516m Mdn,12-02-2019 05:05,22773223,11. Sonic Quill,0,46.634796768315134,40.0443623665561561678641292484683856604,24.6871396492079868908175031862596346422,55,38,44,44,329.54,148.56,16.58
154786037,AUS / Lism (AUS) 12th Feb,R6 1200m Hcap,12-02-2019 06:20,10906619,3. Shear Vogue,0,6.4,4.83891550218362835431259603807574061454,5.23615465735693769047901443386156075475,6.8,5.4,9,5,7756.76,6871.26,885.5
154786060,AUS / Leet (AUS) 12th Feb,R5 2147m Pace M,12-02-2019 10:10,11383544,10. Watch Me Rock,0,180.639005852,153.361081030781978975843156631377389284,133.745851881829218939700526102792391744,230,95,1,1001,49.42,30.52,6.12
154786052,AUS / Leet (AUS) 12th Feb,R1 2147m Pace M,12-02-2019 08:10,21640311,1. Miss Modern Ruby,1,2.004256241,2.22081080791612235420997412709867022081,1.70708297775219798757616051759382380376,2.52,1.99,1.76,1.01,17131.58,8416.72,7365.4
154786052,AUS / Leet (AUS) 12th Feb,R1 2147m Pace M,12-02-2019 08:10,11603360,2. Im Feeling Firey,0,6,6.54685821700991760346431292506593146334,5.49517667709684805006487064031137907349,7,7,65,65,1048.24,510.58,161.86
154786054,AUS / Leet (AUS) 12th Feb,R2 1758m Pace M,12-02-2019 08:40,8799672,10. The Pix,0,21,18.6055736325149221305956708106333381257,19.9748774509803921568627450980392156863,19,17,270,60,261.12,166.78,26.06
