EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
160019731,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 18:30,863021,Cavaradossi,1,3.175,2.58387387387387387387387387387387387387,1,1,1001,1,1001,0,13.32,0
160019731,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 18:30,17113731,Red Right Hand,1,1.27,1.18876203511864025424920547123290239718,1,1.23,1.17,1,1001,0,2133.34,0
160019739,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 20:40,6491540,French Revolution,0,6.7,4.76281997482165337809483843894250944188,1,1,1001,1,1001,0,95.32,0
160019741,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 21:12,9570508,Performer,1,30.765,1.71875261324041811846689895470383275261,1,1,1001,1,1001,0,28.7,0
160019745,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 22:18,23135087,Dunbar Road,1,1.155,1.12446755994358251057827926657263751763,1,1,1001,1,1001,0,113.44,0
160019737,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 20:08,22558796,Spectator Sport,0,5.6,5.6,1,1,1001,1,1001,0,1.1,0
160019747,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 22:51,19776008,Catsoutofthebag,0,2.2,2.14760493827160493827160493827160493827,1,1,1001,1,1001,0,153.9,0
160019747,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 22:51,23745973,Funny Money Honey,0,1.4369510468048974,1.62363213647393888315726761504816983682,1,1.74,1.66,1,1001,0,1376.38,0
160019735,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 19:34,21584016,Worth A Shot,1,2.94,2.64306586043471155417551887563327341069,1,1,1001,1,1001,0,244.76,0
160019733,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 19:02,18123604,Everyonelovesjames,1,1.145,1.24,1,1,1001,1,1001,0,.02,0
160019737,USA / Belmont (US) 29th Jun,TO BE PLACED,29-06-2019 20:08,30780,Raphael,0,8,6.7745,1,1,1001,1,1001,0,76,0
