EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
174799815,USA / MountP (US) 28th Oct,R2 1m Claim,28-10-2020 23:22,663918,Osvaldo,0,4.812099068,2.70849791512387654061848649844995141947,1,4.9,4.5,5.1,4.4,0,2005.74,953.42
174763342,USA / MountP (US) 27th Oct,R5 1m Claim,28-10-2020 00:28,11557399,Red Alert,0,18.5,16.2111075498421899197881811608807551242,14.7922706642827671571998349608031907578,18.5,17,1,1001,727.1,586.98,5.48
174763341,USA / MountP (US) 27th Oct,R4 1m1f Claim,28-10-2020 00:06,12161004,River Of Champagne,0,2.7535736174348138,1.90313340384257248296948267482098268681,3.22809165413255143864331126938886190234,3.15,2.72,990,1.67,10252.02,8816.42,793.48
174763341,USA / MountP (US) 27th Oct,R4 1m1f Claim,28-10-2020 00:06,10005854,Twentytwentyvision,0,21.730984417663517,6.95336527821201991599723692275137009105,7.90957564728862700071850752627607297726,20,6.2,24,24,5539.26,5348.78,33.7
174763345,USA / MountP (US) 27th Oct,R8 2f Allw,28-10-2020 01:34,11392300,Kellers Gold,0,3.5,2.26130032349496928511467958681971944256,4.99518257474906691276757348317176155436,3.85,3.25,990,990,2448.86,2127.64,27.24
174763345,USA / MountP (US) 27th Oct,R8 2f Allw,28-10-2020 01:34,24750747,Seanshine,0,19.5,18.983235449245747000403297629328807068,19.6996998076611960957020366342506875663,24,16.5,1,1001,1112.62,1061.56,5.24
174763343,USA / MountP (US) 27th Oct,R6 1m Allw Claim,28-10-2020 00:50,13966655,Im An Eight,0,30,24.9378046686372490952623541240872259891,27.0141599777768030761583110370337880316,32,21,720,30,1367.94,1315.36,52.58
174799007,USA / FingL (US) 28th Oct,R5 6f Claim,28-10-2020 18:32,16006251,Encaustic Queen,0,20.81195490659003,18.8319648156463121754352014440294373032,1,23,23,130,7,0,110.08,72.98
174799007,USA / FingL (US) 28th Oct,R5 6f Claim,28-10-2020 18:32,27949662,Funny Pursuit,0,6.4,5.35597391461376121378794798375077309598,1,7,5,990,990,0,1155.9,67.81
174799013,USA / FingL (US) 28th Oct,R7 1m Mdn,28-10-2020 19:28,25314220,Height,0,5.8,4.30533349830047079962861619872844348446,1,5.9,4.7,990,990,0,1344.9,54.34
174799010,USA / FingL (US) 28th Oct,R6 6f Claim,28-10-2020 19:00,10134350,Daggett,0,57.15859926230143,50.8435092062292288206852320295712048847,1,60,48,1,1001,0,67.33,5.53
174799010,USA / FingL (US) 28th Oct,R6 6f Claim,28-10-2020 19:00,10403316,Zababa,0,3.572449287747295,2.86948571308590226233842935852838598087,1,5,3.3,990,990,0,2852.78,167.87
174799010,USA / FingL (US) 28th Oct,R6 6f Claim,28-10-2020 19:00,610475,Tchaikovsky,0,149.30624119876887,152.115500107198553037167708202078814876,1,230,55,330,330,0,142.36,1.95
174799004,USA / FingL (US) 28th Oct,R4 6f Mdn Claim,28-10-2020 18:04,35889161,Pam Dorth Andiamo,0,11.807864927729828,8.61506837706426393913228651857970642047,1,11,8,1,1001,0,1133.7,49.89
174798998,USA / FingL (US) 28th Oct,R2 6f Claim,28-10-2020 17:08,24501061,Cool Quartet,0,15,7.89976152884095099785299954046553232635,1,1,1001,1,1001,0,391.88,18.57
174798998,USA / FingL (US) 28th Oct,R2 6f Claim,28-10-2020 17:08,22904162,Preston Court,0,28,12.6130303803512640500792018152470960305,1,21,21,1,1001,0,222.28,32.53
174798998,USA / FingL (US) 28th Oct,R2 6f Claim,28-10-2020 17:08,219386,Shanghai Noon,0,5.280407131471295,5.10560663671032360286486111804081120317,1,7.8,6.4,1,1001,0,1967.86,112
174799019,USA / FingL (US) 28th Oct,R9 6f Allw Claim,28-10-2020 20:24,19904838,Runningwscissors,0,5.987822432,4.29681624401197536415835088518589066629,1,6.2,5,990,100,0,1956.34,293.22
174799022,USA / FingL (US) 28th Oct,R10 1m Claim,28-10-2020 20:52,11825025,Tale Of A Song,0,12,10.9854205406758808827620635043279515608,1,12.5,11,1,1001,0,989.24,56.33
174799022,USA / FingL (US) 28th Oct,R10 1m Claim,28-10-2020 20:52,9246,Lovers Leap,0,40,32.5015597156705432064051228337556770087,1,44,32,1,1001,0,179.18,11.83
174799022,USA / FingL (US) 28th Oct,R10 1m Claim,28-10-2020 20:52,37936,Thesis,0,5.081051878,5.37022338876978471935981703084584964965,1,12,4.9,18,5.5,0,3269.86,361.96
174803712,USA / Parx (US) 28th Oct,R2 6f Claim,28-10-2020 17:15,23863588,Kid Doro,1,2.4209220992252805,1.24203103659591629445344385244657107334,1,2.4,2.28,1,1001,0,5734.12,2642.36
174803736,USA / Parx (US) 28th Oct,R10 1m Allw Claim,28-10-2020 21:21,24789513,Mr Thrifty,0,2.9480157188128215,1.8238621699799317135698808862305053786,1,3.15,2.38,2.8,2.28,0,9526.38,1970.94
174803736,USA / Parx (US) 28th Oct,R10 1m Allw Claim,28-10-2020 21:21,25004008,Skyscanner,0,5.7,4.06241255460149967376302661185795174674,1,5.6,5.4,690,5.1,0,1489.68,300.76
174803709,USA / Parx (US) 28th Oct,R1 7f Mdn Claim,28-10-2020 16:45,9364733,Hondo,0,26.665097460155376,22.7855957359079454409013426665405838501,1,1,1001,1,1001,0,52.7,11.72
174803727,USA / Parx (US) 28th Oct,R7 6f Claim,28-10-2020 19:51,23059175,Frans Worrier,0,7.2,5.57622169738381654228197925528351599422,1,6.8,6.2,990,990,0,693.88,940.3
174803724,USA / Parx (US) 28th Oct,R6 1m Claim,28-10-2020 19:21,15420024,Under The Graydar,0,44,14.021639534708370589018329170766733395,1,48,27,1000,44,0,158.68,182.45
174803739,USA / Parx (US) 28th Oct,R11 7f Claim,28-10-2020 21:51,5809967,Shaft Of Light,0,6.242407234,4.49564319493584895519083182348596905748,1,5.9,4.8,1,1001,0,2902.28,56.22
174803739,USA / Parx (US) 28th Oct,R11 7f Claim,28-10-2020 21:51,10103490,Pegasus Red,0,11.838364751223708,10.5092841611583239040444419856606448106,1,16,8.8,250,250,0,2008.34,373.68
174803718,USA / Parx (US) 28th Oct,R4 6f Claim,28-10-2020 18:15,24802342,Shatter Me,0,28,16.2482299272392077909132352607137575725,1,30,13,1,1001,0,625.82,264.98
174803718,USA / Parx (US) 28th Oct,R4 6f Claim,28-10-2020 18:15,590330,New Jersey,0,5.842748111516703,3.55356895578247368288078103496988580242,1,6,5.4,60,60,0,1120.94,110.46
174803733,USA / Parx (US) 28th Oct,R9 2m Allw,28-10-2020 20:51,10298394,Seat Of Honor,0,19.736607516497777,19.487475288085159651009020578574053365,1,27,18.5,95,95,0,321.24,159.99
174800359,USA / Emerald (US) 28th Oct,R2 1m Claim,28-10-2020 21:53,26148900,French Coast,0,3.2374120257311727,2.07519172016065359925852184957605300196,1,3.7,3,1,1001,0,4659.96,0
174800361,USA / Emerald (US) 28th Oct,R4 6f Claim,28-10-2020 22:47,28770702,Six Blessings,0,32.77077861063184,23.1258575727181544633901705115346038114,1,44,30,1,1001,0,497.5,0
174800247,USA / Penn (US) 28th Oct,R2 1m Claim,28-10-2020 22:26,10106996,We B Jammin,0,21,16.6095597883572241210730438975807927032,1,24,19,1,1001,0,794.64,84.17
174800249,USA / Penn (US) 28th Oct,R4 1m Claim,28-10-2020 23:18,17031667,Arch You Ready,0,16,13.6191866643320474585907178332650784609,1,17,14,700,700,0,724.12,59.22
174800248,USA / Penn (US) 28th Oct,R3 1m Claim,28-10-2020 22:52,21111343,Dont Fight,0,26.37173059381545,23.1216022667163638159692000328180292518,1,28,21,1,1001,0,655.59,38.59
174800248,USA / Penn (US) 28th Oct,R3 1m Claim,28-10-2020 22:52,27155,Secret Account,0,12.017904968,9.65251261258882659940714780338594666258,1,10.5,10,100,6.4,0,1034.66,861.74
174799814,USA / MountP (US) 28th Oct,R1 6f Claim,28-10-2020 23:00,11775182,Lilys Secret,0,16.5,16.9680033586918330200763588050508753789,1,34,13,1,1001,0,764.25,42.55
174763341,USA / MountP (US) 27th Oct,R4 1m1f Claim,28-10-2020 00:06,12137149,Hondo Gusto,0,23.820622872,29.5439842926662860957673236666545838742,20.4310872630963436865820520758091700203,28,24,1,1001,290.73,178.87,1.86
