EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
178122479,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 18:15,17613273,Kudbegood,1,2.606056670214385,2.32025363017208301768673336347174088108,1,2.44,2,1,1001,0,4609.06,631.06
178122479,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 18:15,26089060,Eloy Damerval,0,10.974204111799484,11.2850559736912497803660674630427233938,9.19996105018501162119479932470320765976,1,1001,1,1001,4,265.84,13.42
178122489,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 19:15,11390516,Polly Douglas,0,42,21.8223314677259011831420221014874307735,1,42,42,1,1001,0,163.12,35.54
178122489,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 19:15,7591576,Togoville,0,2.571750178313887,2.45057371227169604550630689178578673132,1,3.2,2.58,1,1001,0,4457.62,8.48
178122454,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 15:45,23726136,Watch Guard,0,2.4147112213444784,2.50502268584988983406365693911912813559,1,2.28,2.28,2.72,2.28,0,1587.88,554.26
178122454,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 15:45,24232295,Justice Jim,0,80,58.5503789626667334322285836892078942154,1,70,60,50,50,0,26.92,31.22
178122459,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 16:15,22879690,Allure Of Light,0,19.394735,12.8741201866204615059556768095636762821,1,1,1001,1,1001,0,1397.4,0
178122484,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 18:45,25149360,Farnese,0,2.08,2.18045407759134786563497061461021641332,1,2.38,1.98,1,1001,0,3073.82,0
178122469,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 17:15,17336320,Crest Of A Wave,0,7.128817195513983,6.63074715009126162006466340143454848705,1,8.2,5.8,5,5,0,928.72,131.56
178122469,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 17:15,28770660,Florence Thompson,0,7.683058962194483,6.35554874568232527423403307904898978418,1,7,7,1,1001,0,928.26,12.12
178122464,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 16:45,22664076,Canning,0,5.265655188108212,4.95570434078780391755680278480208410514,1,4.9,4.9,1,1001,0,427.54,0
178122464,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 16:45,25092925,Waterville Lady,0,7,5.73267853688093692303542853629578986289,1,6.4,5.7,1,1001,0,1097.16,101.64
178122464,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 16:45,24799215,Ms Thompson,0,2.14,2.27849246409709940518298733808380358276,2.84377846382027317886681504846377514537,2.28,2.18,1,1001,57.88,2696.14,112.84
178122479,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 18:15,13453581,Well Suited,1,4.4,3.89046904753266868443866520925663943568,1,3.95,3.95,1,1001,0,1097.6,50.5
178122479,IRE / Dund  20th Jan,TO BE PLACED,20-01-2021 18:15,27145599,Sister Lola,0,9.468058957287573,9.8925638525133301055231973277841059878,1,9.2,9.2,9,9,0,300.22,36.04
