EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
177450973,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 12:45,26781759,Fiveandtwenty,1,1.0946165211959031,1.10191151363724729209214114718399383276,1.08949995065929444257000342800242051073,1.12,1.08,1.1,1.05,1843.04,27378.7,3224.34
177450983,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 13:55,20085610,Raymond,0,2.58,2.28454185105183897824745240096390460931,2.16825015257067170948416887613290181068,2.54,2.22,1,1001,58.48,4856.78,395.16
177450988,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 14:30,11056952,Acdc,0,3.5,3.5570092946234550165995515481507420374,3.02419994059773511394559579829328723583,3.45,3.4,1,1001,68,3312.92,438.6
177450993,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 15:05,6775532,Garde La Victoire,0,3.95,3.7519773917411773826731104932281638297,3.28802989001920983471123941560728374661,3.95,3.6,29,29,195.5,3556.48,197.98
177450993,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 15:05,15481473,Schiehallion Munro,1,2.7443321282592117,2.76547908546245577520124194177267692565,2.66084004288675446417527792261049456993,2.86,2.66,1,1001,311.16,7535.16,1451.84
177450998,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 15:35,27914018,Oscar Clouds,0,5.957134010161972,4.82110576848818773898960160387463917704,5.39678768177487678333958487641068071583,4.63,4.2,930,930,130.5,1617.02,162.64
177450998,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 15:35,26354227,A Ladies Milan,1,4.115889692603376,3.95515156805507247715560750009108957779,4.86790057176614283028539022079995880202,3.95,3.95,1,1001,67.98,969.54,182.52
177452820,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 12:05,25903056,Thrill Seeker,1,2.0726294086579586,1.93175592148660212168549932464464016399,1.84567764001017865268563668987752529435,2.04,1.79,2.06,2.06,413.04,6100.52,663.22
177452820,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 12:05,10286052,Tukhoom,0,3.7321573395193273,3.99953332133127610064748057135213771688,4.33335156179761810284537338853672475211,4.2,3.85,1,1001,61.04,2604.52,74.66
177452825,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 12:40,36799013,Achill Queen,0,26.348975179849248,18.6848548552813656067192903481284783113,16.0233444367531442513839982045725432878,29,12.5,180,180,26.96,657.1,102.66
177452830,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 13:15,20066394,Fancy Footings,0,10,5.3166973086254451137441460089985262244,7.82611732242617417789367864311481496683,9.4,9.4,1,1001,49,985.42,20.52
177452835,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 13:50,13064625,Giogiobbo,1,2.44,2.32515874908816252207205022428345808634,2.06668752214733972556469331630931755746,2.4,2.18,2.22,2.22,12.06,7714.76,718.4
177452845,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 15:00,5804203,Swooper,0,3.8453345647627386,4.43503655783920010986852666089044908208,3.59539547854787684554086382091618566707,4.3,4.3,1,1001,38,2128.26,26.02
177450973,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 12:45,10172029,Go Bob Go,0,14.50594994717365,13.4270243198231255140284588837215584876,7.07740916354182889756232663186320880438,14,14,15.5,15.5,43.68,439.46,21.2
177450978,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 13:20,9395774,Skiddaw Valleys,0,4.6,3.11623578824196176453999877902249516058,3.43323361982272457930703083583542397629,4.8,3.8,4.1,4.1,145.18,2960.12,421.5
177450978,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 13:20,22854020,Elf De Re,0,3.8586212322891518,2.95153110746977257040246809795758654387,3.15949406846949355512702458724051589199,4.2,4,23,4,113.32,3941.52,341.88
177450988,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 14:30,21734632,Oscar Ceremony,1,1.755044166,1.68376571681587384508568495048464999253,1.55551928080994473525003613707608081237,1.73,1.64,1.65,1.62,63.8,7756.38,2758.2
177450993,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 15:05,790517,Return Ticket,0,4.2,3.68031352851972198281194426232775459699,3.05315576852975637912149560339802359229,3.8,3.5,1,1001,44,2576.98,824.34
177450998,GB / Muss  1st Jan,TO BE PLACED,01-01-2021 15:35,11773418,Tokaramore,0,4.135443211816016,4.54754085003632784794208362399797851994,5.99998023414835915343065483850362932245,5,4,1,1001,15.38,2769.44,241.7
177452850,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 15:30,12819189,Straight Ash,0,2.545579144,2.43047392516253974736069075471408762528,2.32446145042882526231324314624133253576,2.62,2.42,3.9,3.8,121,6012.16,722.38
177452825,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 12:40,12942909,De Bruyne Horse,0,3.1,3.43656871154047597478441474448396613672,3.91901643031105378439193773332488631732,1,1001,3.15,3.15,27.44,2327.66,214.28
177452835,GB / Sthl  1st Jan,TO BE PLACED,01-01-2021 13:50,10058014,Dark Shot,0,3.1,2.7193107659346593094577083195184177151,2.90557706147077917737548370900437468963,3,2.48,1,1001,24.7,5553.84,358.62
