EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
199835670,GB / Chepstow 4th Jun,1m2f Hcap,04-06-2022 20:05,28105081,Hy Eales,1,4.740190480599697,5.71272201488517513410667346602186981238,8.93205602436744518984118115505884617125,7.8,4.3,5,1.01,452.7,36730.68,15998.12
199835646,GB / Chepstow 4th Jun,5f Nov Stks,04-06-2022 18:35,44719859,Union Court,1,1.5620571832306087,1.52078821666175817159029567476069126548,1.62228824017233366421263851756065769436,1.59,1.46,1.6,1.01,941.88,173850.92,29924.56
199835646,GB / Chepstow 4th Jun,5f Nov Stks,04-06-2022 18:35,45580529,Vim And Vigour,0,16.321666976615674,15.5181607571673973694458109496469462721,8.47396994389186128628841873537945927448,18.5,12.5,1000,12,29.42,8567.6,1017.42
199835646,GB / Chepstow 4th Jun,5f Nov Stks,04-06-2022 18:35,45580530,Billys Joy,0,5.450750273727026,5.70930609882661269890983579895868697937,7.44789100706454939425306400275913020603,8,5.2,1000,3.5,203.94,35394.18,4390.56
199835652,GB / Chepstow 4th Jun,5f Hcap,04-06-2022 17:30,20141953,Shesadabber,0,10.5,10.74148265816713010508723826591372569,14.4667201089445463780410101082588060042,15.5,8.4,1000,8.4,248.42,8701.54,1810.82
199835792,GB / Epsom 4th Jun,5f Hcap,04-06-2022 15:45,11180352,A Sure Welcome,0,53.22384869672227,46.3400120536868424711110657291799388991,73.8406956056458565871059463944698307751,100,50,1000,60,1322.64,16044.76,55.41
199835792,GB / Epsom 4th Jun,5f Hcap,04-06-2022 15:45,35808650,Tees Spirit,1,12.916822986637053,10.7811347487674247553341630347492892812,12.9277348504422954673224527298108398727,14.5,8,11.5,1.01,8989.32,71243.72,82635.04
199835792,GB / Epsom 4th Jun,5f Hcap,04-06-2022 15:45,26190046,Lipsink,0,84.98172352651687,46.3194177472634894185137411514862590354,52.3894190199956264424534586877138527678,110,36,1000,70,2316.54,16269.54,117.39
199835799,GB / Epsom 4th Jun,1m4f Grp 1,04-06-2022 16:30,40828199,Grand Alliance,0,48.16827570750611,59.1198136388912401313867376756540659947,127.388461320272099032784776259587248897,210,34,1000,55,2617.28,50414.1,720.41
199835799,GB / Epsom 4th Jun,1m4f Grp 1,04-06-2022 16:30,3398570,Changingoftheguard,0,12.093770947304803,10.3498679272798660906267369521750007624,11.2627748953597705566351105001622150251,13,9,1000,6,41739.26,220949.6,8454.85
199835799,GB / Epsom 4th Jun,1m4f Grp 1,04-06-2022 16:30,5514905,Masekela,0,80.336459248,86.313980555859504830151367488114746318,99.2493585647664599642221555593334366756,140,70,970,70,3063.1,24571.88,184.96
199835799,GB / Epsom 4th Jun,1m4f Grp 1,04-06-2022 16:30,41554458,Desert Crown,1,3.8,3.55655378229159246095617350633869249822,3.29213686944489670548193321326867772305,4.4,2.92,4.1,1.01,289584.86,1767710.84,240388.06
199835813,GB / Epsom 4th Jun,6f Hcap,04-06-2022 17:50,24882841,Punchbowl Flyer,0,24,23.348934348537669844261481873989885346,12.6341374414797933968213616894702760021,30,10.5,1000,26,2510.94,25563.62,215.82
199835813,GB / Epsom 4th Jun,6f Hcap,04-06-2022 17:50,23983742,Full Authority,0,21,18.2847571775254368542789463096678267533,25.3771609511564513268356955651540714367,42,14.5,450,1.5,760.3,24468.1,10520.76
199835813,GB / Epsom 4th Jun,6f Hcap,04-06-2022 17:50,7648062,Regional,0,9.345151903851582,9.77160447026313390998819105930335176365,10.6830107042984603131884122333730539581,12,8.2,1000,2.8,1534.86,54365.4,3513.93
199835771,GB / Epsom 4th Jun,1m2f Hcap,04-06-2022 14:00,39882248,Oh Herberts Reign,0,21.166969694962147764,19.0729280983045529149595336325839000955,15.2027329360844482925087720472612778607,34.1,13.64,1000,2.02,6491.08,29675.88,10441.08
199835771,GB / Epsom 4th Jun,1m2f Hcap,04-06-2022 14:00,40034779,Oneforthegutter,0,29.75476188035993565372,20.7458469418183392292881123885217381269,25.2983535417060576435188744955080815572,32.39,17.9,1000,10,5466.78,30964.06,1617.93
199835771,GB / Epsom 4th Jun,1m2f Hcap,04-06-2022 14:00,528563,Grenoble,0,34.90923244418508,23.2197619087502667055762861339800209366,21.3048830572103230230933520991850693774,40.92,15.34,1000,1.3,3951.52,19781.36,11204.05
199835771,GB / Epsom 4th Jun,1m2f Hcap,04-06-2022 14:00,39481733,Sharp Combo,0,110.8146,62.2648325669862570714769973654617912302,50.1812838815332065003648221329386608848,153.44,19.61,1000,100,2751.4,11286.3,247.09
199835771,GB / Epsom 4th Jun,1m2f Hcap,04-06-2022 14:00,39641069,Sweeping,0,28.79431328448264211092,19.5910229627472539540074864244034503966,21.3368808094523724858693985460104462944,30.69,14.49,1000,26,4914.36,25572.9,643.34
199835771,GB / Epsom 4th Jun,1m2f Hcap,04-06-2022 14:00,41050537,Swilcan Bridge,1,7.842264,8.62824427248971917296649304259320513281,13.3525270724296469766195788538243134696,15.34,7.33,10,1.01,7009.3,94378.48,59617.02
199835778,GB / Epsom 4th Jun,1m Grp 3,04-06-2022 14:35,36868923,Roman Mist,0,14.940454669217948,18.0288479207653803616658834171907666156,15.6423548612993659996977282541333390399,24,12,1000,2.58,2328.82,28129.16,7639.66
199836056,GB / Lingfield 4th Jun,1m Stks,04-06-2022 18:15,12142067,Mister Freeze,0,31.47764112416882,17.9695061122983142669804246545008211476,15.1186836068903385981827420456555303049,34,23,960,480,80,6440.74,86.8
199836082,GB / Lingfield 4th Jun,1m4f Hcap,04-06-2022 20:45,39650719,Doyouknowmyuncles,0,81.51900401582913,62.0965704188894022196090683374327290505,33.5373382599065024514268160328817743441,100,20,1000,30,145.32,2577.76,442.54
199836305,GB / Doncaster 4th Jun,6f Hcap,04-06-2022 13:21,18416804,True Mason,1,8.547987685,7.44366714653805912186490485350731892585,10.2668382021570659667535637130045305447,11.78,8,8,1.01,1591.78,28906.66,33310.94
199836305,GB / Doncaster 4th Jun,6f Hcap,04-06-2022 13:21,39235704,Little Muddy,0,25.380216016,29.7503112476180172220242169746301354068,32.1913438793890203153322728668866796346,60,24,950,29,2806.76,7678.74,204.27
199836305,GB / Doncaster 4th Jun,6f Hcap,04-06-2022 13:21,39971799,Ratafia,0,110,74.0603179341239332187990743161935838224,58.1498666484457307662896851619187878998,110,50,370,130,51.82,1309.14,19.95
199836314,GB / Doncaster 4th Jun,6f Mdn Stks,04-06-2022 13:56,45582068,American Belle,0,14.892369017847415,15.0537732634001951265449159173177166465,14.4057193069602951310232798494383722168,17,14,950,6.6,99.24,5805.28,1686.75
199836333,GB / Doncaster 4th Jun,1m2f Hcap,04-06-2022 15:41,40513939,Adjourn,0,3.256252406629476,3.45926293683459481961042983371582999149,3.48079690537346043749778250249543629918,5.4,3.05,1000,2.02,3509.98,84144.5,19258.58
