EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
210373609,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 16:55,16384,Highbank,1,1.57504195,1.5315,1.0000,1.00,1001.00,1.00,1001.00,0.00,2384.19,97.23
210373584,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 14:00,50513170,Ashger Asser,0,3.47472054,3.4248,1.0000,1.00,1001.00,1.00,1001.00,0.00,83.06,0.00
210373589,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 14:35,40200974,Get Back Goldie,0,2.60306003,1.6587,1.9999,1.00,1001.00,1.00,1001.00,26.00,804.77,52.78
210373584,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 14:00,52636,Morning,1,3.39831202,3.2112,1.0000,1.00,1001.00,1.00,1001.00,0.00,112.20,20.50
210373614,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 17:30,9504722,Bochart,0,6.99650904,5.6420,1.0000,1.00,1001.00,1.00,1001.00,0.00,110.85,0.00
210373584,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 14:00,51602990,FastUno,0,2.76989465,2.8221,1.0000,1.00,1001.00,1.00,1001.00,0.00,56.30,0.00
210373594,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 15:10,11549445,Zainhom,0,5.22278267,5.4856,1.0000,1.00,1001.00,1.00,1001.00,0.00,164.77,1.88
210373594,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 15:10,19477,Ouzo,0,2.76528415,2.2271,1.0000,2.80,2.20,1.00,1001.00,0.00,1018.81,7.76
210373614,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 17:30,41751533,Street Mood,1,1.66000000,1.6285,1.0000,1.67,1.67,1.00,1001.00,0.00,1246.24,207.98
210373609,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 16:55,5454787,Solaire,0,20.15908203,15.1155,1.0000,1.00,1001.00,1.00,1001.00,0.00,21.11,0.00
210373614,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 17:30,25498152,Legionario,0,3.60000000,4.0472,1.0000,1.00,1001.00,1.00,1001.00,0.00,187.86,5.37
210373584,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 14:00,47279988,Ah Jeez,1,1.42818515,1.5756,1.0000,1.00,1001.00,1.00,1001.00,0.00,785.14,24.78
210373594,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 15:10,27024601,Al Salt,0,8.49767253,8.6727,1.0000,1.00,1001.00,1.00,1001.00,0.00,66.28,0.00
210373604,Meydan (UAE) 24th Feb,To Be Placed,24-02-2023 16:20,6241412,Iron Butterfly,0,15.77465148,7.9969,1.0000,1.00,1001.00,1.00,1001.00,0.00,6.59,12.40
