EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
210718361,Meydan (UAE) 4th Mar,7f Cond Stks,04-03-2023 15:10,24075546,Path Of Thunder,0,25.00000000,21.6886,12.0838,30.00,12.00,100.00,100.00,91.40,800.36,156.69
210718366,Meydan (UAE) 4th Mar,1m1f Grp 1,04-03-2023 15:45,36503217,El Drama,0,48.88526120,48.9625,22.9932,70.00,22.00,30.00,25.00,54.00,774.07,363.49
210718366,Meydan (UAE) 4th Mar,1m1f Grp 1,04-03-2023 15:45,27062487,Alfareeq,1,35.27581998,28.2889,19.8264,38.00,21.00,21.00,10.00,111.64,1330.02,594.74
210718336,Meydan (UAE) 4th Mar,1m4f Grp 2,04-03-2023 12:05,40034777,Green Team,0,80.32632440,94.8784,79.8664,180.00,55.00,920.00,920.00,3.78,158.73,59.20
210718341,Meydan (UAE) 4th Mar,1m Grp 3,04-03-2023 12:40,25493221,Discovery Island,1,9.00016869,6.8180,7.2508,9.80,7.00,6.00,5.00,511.05,3822.91,3295.86
210718346,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 13:15,23731033,Miqyaas,0,12.45773071,19.4532,33.6694,42.00,12.00,890.00,100.00,34.26,1108.05,686.07
210718371,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 16:20,28087016,Tuz,0,7.36000000,1.0000,6.1719,1.00,1001.00,1.00,1001.00,17.56,0.00,0.00
210718361,Meydan (UAE) 4th Mar,7f Cond Stks,04-03-2023 15:10,13564738,Shining Blue,0,12.75756028,14.7951,13.9844,16.50,13.00,190.00,190.00,42.66,1461.16,117.79
210718341,Meydan (UAE) 4th Mar,1m Grp 3,04-03-2023 12:40,437125,On The Warpath,0,33.38884380,24.0992,26.3504,34.00,23.00,60.00,42.00,23.68,922.20,170.63
210718336,Meydan (UAE) 4th Mar,1m4f Grp 2,04-03-2023 12:05,38014808,Senor Toba,0,8.31713226,8.1436,7.2189,10.00,6.80,940.00,5.00,306.40,3529.33,549.50
210718356,Meydan (UAE) 4th Mar,1m2f Grp 1,04-03-2023 14:25,6698433,Marshall Plan,0,202.03534889,125.4562,1.0000,200.00,85.00,120.00,90.00,0.00,104.44,62.03
210718371,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 16:20,21081646,Manjeer,0,108.23000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210718336,Meydan (UAE) 4th Mar,1m4f Grp 2,04-03-2023 12:05,39439338,Kemari,0,3.20505538,3.6201,4.2296,5.50,3.30,880.00,1.61,1506.26,10618.01,4851.36
210718341,Meydan (UAE) 4th Mar,1m Grp 3,04-03-2023 12:40,20108820,Everfast,0,12.96185944,10.5607,9.1059,14.50,13.00,1.00,1001.00,115.75,1223.21,171.08
210718361,Meydan (UAE) 4th Mar,7f Cond Stks,04-03-2023 15:10,9153434,Ajwad,0,194.52337370,197.9936,1.0000,250.00,170.00,930.00,930.00,0.00,38.50,32.27
210718351,Meydan (UAE) 4th Mar,1m1f Listed,04-03-2023 13:50,52966530,Southern Artist,0,12.95139233,11.6636,11.8648,13.50,9.40,40.00,6.00,156.34,1597.53,1094.09
210718341,Meydan (UAE) 4th Mar,1m Grp 3,04-03-2023 12:40,12136629,Royal Mews,0,3.95000000,3.7808,5.0992,8.60,3.70,5.90,3.85,1032.17,8714.83,1624.92
210718346,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 13:15,19436239,Motafaawit,0,17.87371493,25.0932,32.3840,32.00,21.00,910.00,26.00,24.78,644.30,133.42
210718356,Meydan (UAE) 4th Mar,1m2f Grp 1,04-03-2023 14:25,42441803,Bendoog,0,2.79638338,2.5250,3.0817,3.25,2.22,880.00,2.20,638.77,27597.32,8399.16
210718371,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 16:20,36362297,Ponntos,0,15.93000000,1.0000,19.4986,1.00,1001.00,1.00,1001.00,53.26,0.00,0.00
210718341,Meydan (UAE) 4th Mar,1m Grp 3,04-03-2023 12:40,51602991,King Of The Match,0,190.00000000,55.4926,1.0000,200.00,90.00,1.00,1001.00,0.00,108.86,38.36
210718361,Meydan (UAE) 4th Mar,7f Cond Stks,04-03-2023 15:10,20423062,Syrtis,0,305.48793953,155.5115,1.0000,200.00,120.00,160.00,160.00,0.00,44.61,20.22
210718361,Meydan (UAE) 4th Mar,7f Cond Stks,04-03-2023 15:10,11338548,Taamol,0,98.78190958,113.2987,1.0000,160.00,90.00,1.00,1001.00,0.00,106.52,32.26
210718351,Meydan (UAE) 4th Mar,1m1f Listed,04-03-2023 13:50,45120897,Priyanka,0,49.76072056,41.4993,1.0000,60.00,46.00,1.00,1001.00,0.00,202.50,172.83
210718346,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 13:15,44401848,Al Dasim,1,4.40371889,4.1463,2.3525,6.00,2.22,4.00,1.01,5008.03,17748.26,8862.95
210718356,Meydan (UAE) 4th Mar,1m2f Grp 1,04-03-2023 14:25,28743173,Ides Of August,0,106.40131685,82.4480,1.0000,110.00,70.00,920.00,570.00,0.00,120.94,65.53
210718371,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 16:20,50513174,Magic Petition,0,62.62000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
210718341,Meydan (UAE) 4th Mar,1m Grp 3,04-03-2023 12:40,41751533,Street Mood,0,27.43346603,21.6374,28.0857,32.00,21.00,910.00,21.00,102.09,837.58,160.46
210718351,Meydan (UAE) 4th Mar,1m1f Listed,04-03-2023 13:50,47133296,Ami Please,0,5.20000000,4.8569,4.0946,5.40,4.10,1000.00,2.72,244.16,3838.27,6173.43
210718371,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 16:20,4954627,Isolate,0,3.24000000,1.0000,3.6198,1.00,1001.00,1.00,1001.00,306.74,0.00,0.00
210718366,Meydan (UAE) 4th Mar,1m1f Grp 1,04-03-2023 15:45,36517475,Real World,0,2.82951727,3.0904,3.1584,3.85,2.88,6.00,3.20,1631.10,20868.12,3939.28
210718346,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 13:15,38872984,Meishar,0,107.54055540,80.8237,1.0000,120.00,75.00,920.00,280.00,0.00,99.28,23.38
210718336,Meydan (UAE) 4th Mar,1m4f Grp 2,04-03-2023 12:05,20749608,Global Heat,0,11.36757578,11.5740,10.5213,12.50,9.40,190.00,190.00,72.02,1166.38,421.28
210718351,Meydan (UAE) 4th Mar,1m1f Listed,04-03-2023 13:50,50513171,Flying Hunter,0,58.08415119,44.2512,1.0000,48.00,48.00,910.00,730.00,0.00,124.74,47.05
210718356,Meydan (UAE) 4th Mar,1m2f Grp 1,04-03-2023 14:25,28616702,Atletico El Culano,0,26.54439480,26.2044,16.6852,28.00,21.00,1.00,1001.00,13.00,653.74,125.99
210718361,Meydan (UAE) 4th Mar,7f Cond Stks,04-03-2023 15:10,25001355,Al Suhail,1,1.77357772,1.8381,2.0818,2.60,1.70,1.26,1.01,4007.05,34106.07,10836.34
210718346,Meydan (UAE) 4th Mar,6f Grp 3,04-03-2023 13:15,28641382,Coachello,0,8.50303463,7.2675,8.1416,9.00,6.20,1.00,1001.00,246.59,5381.97,251.18
210718341,Meydan (UAE) 4th Mar,1m Grp 3,04-03-2023 12:40,1026510,Celtic Prince,0,93.32077914,51.4497,1.0000,140.00,75.00,1000.00,920.00,0.00,148.51,34.76
