EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
218594696,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:45,26517410,Situmeledemandais,0,3.45000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594672,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 16:27,37520594,Monsieur Emile,0,14.90198621,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594698,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 17:20,41720742,Shatterhand,1,2.16134710,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594698,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 17:20,52509568,Baiona,0,10.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594698,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 17:20,40763067,Tennessee John,0,4.10000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594690,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:00,226455,Bumble Bee,0,9.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594680,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:50,39171638,O Gre Des Saisons,0,1.67000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594676,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:38,39291100,Feng Shui Du Pecos,0,3.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594676,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:38,40211182,Tao De Cajus,0,13.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594698,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 17:20,33672146,Fernoboy,0,3.55000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594698,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 17:20,16648818,Beleave You,0,4.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594688,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 14:25,56940643,Kamaro Dhuez,1,1.52000000,1.4738,1.0000,1.00,1001.00,1.00,1001.00,0.00,620.50,1.03
218594676,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:38,59781403,Simplex Heros,0,7.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594696,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:45,22201901,Royal Monarch,0,3.90000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594668,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 15:17,2296848,Belgravia,0,4.70000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594672,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 16:27,26791008,Zippere,1,3.35000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594670,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 15:52,58720659,Commanders Way,1,2.54000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594686,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:50,49515508,Caliyza,1,1.85000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594682,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 12:40,56129561,Bonny Love,0,12.47003745,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594674,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:02,17435631,Qatar River,0,3.43288944,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594672,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 16:27,41322175,Arcos Vancouver,1,5.57782713,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594692,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:35,46118285,Sandy Creek,1,2.93403775,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594676,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:38,57412315,Emerys De Larachi,1,2.50205738,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594680,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:50,41491041,Petite Coquine,0,3.05000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594682,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 12:40,57380307,Zvalikova,0,2.64000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594696,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:45,338977,Quick Flash,0,6.52458362,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594680,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:50,42115571,Shamasun,0,6.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594678,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:15,42386218,Notre Histoire,1,4.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594678,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:15,24158839,Levant,0,7.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594670,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 15:52,763059,Sahara Mist,1,1.29500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594696,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:45,1189533,Port Au Prince,0,13.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594670,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 15:52,60817293,Kerroch,0,1.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594692,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:35,47296239,Eternal Dance,0,7.03145337,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594688,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 14:25,56358315,Kao Bang,0,15.00000000,12.0691,1.0000,1.00,1001.00,1.00,1001.00,0.00,23.85,2.51
218594678,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:15,16915115,Le Parrain,0,2.49541948,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594686,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:50,48874235,Guet Apens,0,1.75000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594684,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:15,58220646,Mr Kodiac,0,3.95000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594676,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:38,45788938,Maldives Pompadour,0,9.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594684,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:15,58571491,Timber Light,1,1.71000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594678,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:15,27230831,Grinta,0,10.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594694,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:10,24351105,Cordey Rose,0,2.18000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594682,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 12:40,1222737,Bauhinia,1,1.29269131,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594690,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:00,39863060,Dilawar,1,2.74000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594678,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:15,2237692,Patchou,0,9.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594692,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:35,49515510,Kamiyah,0,2.72784528,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594672,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 16:27,9072806,Waipa,0,2.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594684,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:15,56530764,Fou Furieux,0,3.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594686,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:50,57917278,Flora Queen,0,9.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594692,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:35,919946,Atakama,0,3.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594684,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:15,59651843,Rooster Crowing,0,9.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594676,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:38,28700925,Voix Divine,1,4.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594698,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 17:20,11413552,Sandstorm,1,2.24000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594698,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 17:20,32858864,Oser,0,12.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594670,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 15:52,60817294,Dalyakhanie,0,204.44740347,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594670,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 15:52,54739896,Daydreams,0,6.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594672,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 16:27,27401396,La Catella,0,4.50971958,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594684,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:15,58220648,Mondrial,1,1.30000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594682,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 12:40,5437018,Babette,1,4.64615683,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594688,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 14:25,56940639,Karrots,0,1.59860542,1.6631,1.0000,1.00,1001.00,1.00,1001.00,0.00,739.14,17.60
218594688,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 14:25,59851040,Korona Phil,1,3.80000000,3.3036,1.0000,1.00,1001.00,1.00,1001.00,0.00,54.71,10.91
218594690,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:00,43672057,Honguemare,0,2.10915693,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594680,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:50,20790350,Izakaya,0,6.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594686,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:50,57266861,Presage Nocturne,1,4.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594680,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:50,28642470,Force Cat,1,1.84000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594682,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 12:40,1362252,Opera Mundi,0,2.09693443,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594672,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 16:27,37634095,Gout Sucre,0,5.70000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594690,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:00,36842401,Yquelon,0,5.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594680,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:50,40083647,Bowdragon,0,50.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594688,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 14:25,58571861,Kiki Moriviere,0,3.60000000,3.0416,1.0000,1.00,1001.00,1.00,1001.00,0.00,264.27,15.35
218594678,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 18:15,26827809,Larchet,0,3.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594694,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:10,54635904,Gabija,0,2.22000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594672,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 16:27,451960,Kings Caprice,0,7.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594692,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:35,47296242,Ashiya,0,4.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594674,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:02,41110286,Agador,1,1.58197025,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594688,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 14:25,59850889,Kir Sacre,0,3.96714534,3.1284,1.0000,1.00,1001.00,1.00,1001.00,0.00,82.16,11.76
218594686,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 13:50,48640029,Rosir,0,2.94000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594692,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 15:35,51961901,Belle Et Grise,0,3.51390902,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594696,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:45,10047306,Replenish,0,8.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594696,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:45,38410516,Sweetest Thing,0,10.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594694,Saint-Cloud (FRA) 22nd Sep,To Be Placed,22-09-2023 16:10,26757124,Stormy Night,1,3.05000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594676,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:38,59781405,Halandjila,0,2.28667433,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
218594676,Toulouse (FRA) 22nd Sep,To Be Placed,22-09-2023 17:38,29276843,Caline De Cajus,0,14.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
