EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,46715889,Karmina Bella,0,9.75046214,10.7690,1.0000,1.00,1001.00,1.00,1001.00,0.00,525.18,321.61
218408456,Compiegne (FRA) 18th Sep,1m Stks,18-09-2023 14:35,13400854,Ponty,0,3.41564229,3.4746,2.5199,1.00,1001.00,1.00,1001.00,8.08,1334.43,165.67
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,49089960,Pasiphae,0,30.90691600,25.8315,1.0000,28.00,28.00,1.00,1001.00,0.00,103.64,15.65
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,53449455,Cala Moli,0,77.86073421,68.5193,1.0000,70.00,44.00,1.00,1001.00,0.00,25.94,25.67
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,44330513,Bolt Of Thunder,0,40.00000000,30.6002,1.0000,1.00,1001.00,1.00,1001.00,0.00,47.24,21.15
218408386,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 13:25,59958878,Way To Marbella,0,32.88838134,34.1640,1.0000,36.00,32.00,90.00,90.00,0.00,141.18,110.21
218408512,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 15:45,11413552,Sandstorm,0,4.08145571,3.9927,1.0000,4.70,4.00,1.00,1001.00,0.00,1777.39,230.36
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,58272,Hadleigh,0,12.50000000,13.0571,1.0000,11.50,11.00,1.00,1001.00,0.00,646.32,58.00
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,455251,Mindset,0,6.20000000,6.3538,1.0000,1.00,1001.00,3.00,3.00,0.00,346.29,264.53
218408386,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 13:25,58920336,Semenovka,0,10.83274483,12.0245,1.0000,12.00,11.50,1.00,1001.00,0.00,662.94,123.77
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,59588082,Shirbawi,0,6.68876759,6.5835,1.0000,6.80,6.40,1.00,1001.00,0.00,1042.75,55.20
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,59588080,Welcome Charly,0,20.60579941,14.8840,9.5998,21.00,13.50,1.00,1001.00,2.00,537.30,56.91
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,43311230,Thats My Power,0,50.42131632,83.4241,1.0000,120.00,65.00,1.00,1001.00,0.00,212.41,375.33
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,43672043,Ak Ishan,0,26.71477626,23.0091,1.0000,1.00,1001.00,1.00,1001.00,0.00,72.60,11.04
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,48640033,Bahayra,0,8.20000000,7.6652,8.1998,1.00,1001.00,1.00,1001.00,2.00,516.66,204.99
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,45466,Day Trader,0,21.00000000,17.8914,1.0000,29.00,19.50,1.00,1001.00,0.00,481.27,41.15
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,3782847,Green Spirit,0,36.00000000,30.4705,1.0000,1.00,1001.00,1.00,1001.00,0.00,17.80,13.17
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,55573880,Marelie,0,5.46476437,5.3522,6.3997,1.00,1001.00,4.00,4.00,1.62,1098.47,626.90
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,12454200,Almagro,0,13.12444253,12.2629,1.0000,12.00,12.00,1.00,1001.00,0.00,489.44,19.74
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,50562253,Mr Le Philosophe,1,13.97880859,18.0541,1.0000,19.50,16.50,1.00,1001.00,0.00,252.27,191.96
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,52356748,Helles,0,15.00000000,16.1544,9.1333,22.00,15.50,1.00,1001.00,15.00,186.46,34.94
218408386,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 13:25,6564436,Monteille,1,3.55965237,4.3445,2.9651,5.00,3.60,1.00,1001.00,4.76,3625.76,2435.03
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,60654505,Maitre De Chant,0,3.43423588,2.4751,1.0000,3.55,3.30,1.00,1001.00,0.00,6418.92,1590.22
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,49872125,Libaneta,0,6.80000000,6.8917,1.0000,1.00,1001.00,1.00,1001.00,0.00,659.53,334.14
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,56693040,Hantano,0,9.66799664,8.3699,7.8499,9.60,8.00,1.00,1001.00,8.00,1862.48,105.03
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,703209,Cortado,1,205.28200427,94.6420,1.0000,190.00,60.00,70.00,1.01,0.00,137.69,2572.63
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,51054693,Cueros,0,11.20903261,13.0614,1.0000,1.00,1001.00,1.00,1001.00,0.00,582.40,68.59
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,50596147,Waitara,0,6.16290840,8.0920,1.0000,7.00,5.90,1.00,1001.00,0.00,1752.10,87.78
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,42102579,Thunderheart,0,29.11994858,26.2935,1.0000,34.00,30.00,1.00,1001.00,0.00,332.80,47.09
218408512,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 15:45,12690954,April Angel,0,42.54785610,27.7384,1.0000,55.00,44.00,1.00,1001.00,0.00,94.26,12.28
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,49872127,Apalain,0,12.50000000,14.3910,13.6457,17.00,14.00,1.00,1001.00,7.34,310.45,38.04
218408512,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 15:45,39438103,Nipper,0,13.00000000,10.8696,1.0000,13.50,13.50,1.00,1001.00,0.00,495.88,33.69
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,35462128,Not So Silly,0,205.60836243,86.1363,1.0000,1.00,1001.00,580.00,580.00,0.00,1.93,4.82
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,24608275,Brave Shiina,0,15.04445356,16.8145,1.0000,1.00,1001.00,1.00,1001.00,0.00,177.24,46.97
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,48326685,White Wine,0,5.92237610,5.7500,1.0000,5.90,5.00,1.00,1001.00,0.00,1805.96,61.46
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,60654504,Piu Dream,0,54.27028113,26.1777,1.0000,75.00,36.00,1.00,1001.00,0.00,1054.43,374.40
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,45677362,Golden Pharaoh,0,211.28282657,141.9720,1.0000,540.00,85.00,44.00,44.00,0.00,115.68,52.39
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,10748334,Save Your Breath,0,9.69265488,9.9912,1.0000,10.00,10.00,1.00,1001.00,0.00,404.33,32.81
218408512,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 15:45,24930837,Black Morning,0,4.85658178,3.8839,1.0000,4.50,4.00,1.00,1001.00,0.00,2614.33,281.27
218408456,Compiegne (FRA) 18th Sep,1m Stks,18-09-2023 14:35,16932341,Tremblant,0,3.07551319,3.1983,1.0000,3.50,2.94,1.00,1001.00,0.00,3934.07,276.71
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,46473364,Volcan,0,19.00000000,12.6717,1.0000,17.00,11.00,1.00,1001.00,0.00,350.95,21.87
218408512,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 15:45,12805392,Myfriendrich,0,229.30631485,116.0751,1.0000,280.00,140.00,1.00,1001.00,0.00,25.50,4.44
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,50911479,Rue De Laude,0,7.34679107,6.7577,8.9999,7.00,6.20,1.00,1001.00,5.00,1142.09,120.61
218408512,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 15:45,37520593,Bech River,0,16.25017402,13.8872,1.0000,1.00,1001.00,1.00,1001.00,0.00,186.58,19.38
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,2101056,Only Him,0,40.99568456,42.9683,1.0000,48.00,48.00,1.00,1001.00,0.00,60.69,55.42
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,891804,Dream Alive,0,80.00000000,65.5296,1.0000,60.00,60.00,1.00,1001.00,0.00,41.98,24.67
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,38781181,Villa Darya,0,4.36923877,5.8485,1.0000,15.00,4.50,1.00,1001.00,0.00,1090.48,102.38
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,587045,Clair De Lune,0,18.49271320,17.5950,1.0000,1.00,1001.00,1.00,1001.00,0.00,84.98,38.44
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,57186256,Goldroschen,1,7.40000000,6.5138,7.0343,5.90,5.90,1.00,1001.00,13.48,892.48,689.40
218408456,Compiegne (FRA) 18th Sep,1m Stks,18-09-2023 14:35,8170295,Dancing Goddess,1,3.25950355,2.6360,2.0267,2.04,2.04,1.00,1001.00,1147.98,3039.96,923.17
218408386,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 13:25,60654500,Maywe,0,18.83839689,20.1176,16.1044,21.00,19.00,1.00,1001.00,3.44,321.11,103.38
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,46905084,Gamechanger,0,5.49824114,6.6523,1.0000,6.20,5.70,1.00,1001.00,0.00,1427.21,31.76
218408456,Compiegne (FRA) 18th Sep,1m Stks,18-09-2023 14:35,47250743,Al Alaali,0,16.38111338,17.5766,1.0000,23.00,13.21,1.00,1001.00,0.00,431.41,63.79
218408384,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 14:00,59588083,Black Gangster,0,2.76073603,2.5612,1.0000,3.65,2.66,1.00,1001.00,0.00,7942.80,1698.14
218408386,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 13:25,60654502,Mme Jourdain,0,3.41810581,4.1624,1.0000,4.80,4.50,4.00,4.00,0.00,2469.87,1881.27
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,19463634,White Glory,1,4.64855964,4.5297,1.0000,4.50,4.00,1.00,1001.00,0.00,2537.76,900.47
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,53381882,Squasha,0,17.00000000,17.8062,9.8999,17.50,17.50,1.00,1001.00,4.00,152.54,37.30
218408386,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 13:25,221962,Ovation,0,4.80000000,5.5677,1.0000,6.20,5.60,1.00,1001.00,0.00,2105.20,1762.50
218408514,Compiegne (FRA) 18th Sep,1m2f Claim,18-09-2023 16:20,50939957,Bow Lane,0,9.49440301,11.0971,1.0000,11.00,10.00,1.00,1001.00,0.00,745.81,79.19
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,54370637,Authodidacte,0,9.31531740,9.5808,7.3998,9.60,9.60,1.00,1001.00,2.00,351.24,212.59
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,42493048,Orange Vif,0,11.25185453,9.1473,1.0000,1.00,1001.00,1.00,1001.00,0.00,360.41,11.36
218408516,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 16:55,6648469,Kingdom,1,9.25002157,11.0948,1.0000,15.00,9.00,1.00,1001.00,0.00,725.49,601.43
218408512,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 15:45,5914583,So You Say,1,32.00000000,28.0313,1.0000,55.00,27.00,1.00,1001.00,0.00,162.35,851.77
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,56646501,Sweep Away,0,34.00000000,36.4184,1.0000,44.00,30.00,23.00,23.00,0.00,144.43,49.37
218408512,Compiegne (FRA) 18th Sep,1m2f Hcap,18-09-2023 15:45,36664379,Zillipom,0,13.50000000,10.6057,1.0000,1.00,1001.00,1.00,1001.00,0.00,347.73,29.28
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,50324654,Nekoleto,0,42.00000000,34.9216,1.0000,34.00,34.00,1.00,1001.00,0.00,84.37,24.39
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,45759740,Masken,0,42.14459399,41.7700,1.0000,48.00,48.00,1.00,1001.00,0.00,27.16,39.26
218408510,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 15:10,28277883,One Point,0,5.79567480,6.2020,1.0000,8.00,5.30,1.00,1001.00,0.00,1065.18,96.10
218408386,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 13:25,60654499,Marjane,0,10.47901880,15.3313,10.4023,21.00,11.00,1.00,1001.00,4.00,1122.68,153.38
218408456,Compiegne (FRA) 18th Sep,1m Stks,18-09-2023 14:35,12407238,Cameron,0,19.50000000,22.6553,1.0000,28.00,28.00,1.00,1001.00,0.00,332.26,106.34
218408386,Compiegne (FRA) 18th Sep,7f Mdn Stks,18-09-2023 13:25,59588084,Etel,0,100.16432501,72.0292,1.0000,110.00,60.00,1.00,1001.00,0.00,101.74,44.92
218408382,Compiegne (FRA) 18th Sep,1m4f Hcap,18-09-2023 12:50,5865506,Pure Power,0,38.00000000,33.1031,1.0000,32.00,32.00,1.00,1001.00,0.00,105.64,23.50
