EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
110387340,BAGS cards / Nott 6th Aug,TO BE PLACED,06-08-2013 11:19,4653205,6. Salacres Robbery,1,,1,1.98895456868119106238677010266177358666,1,1001,1,1001,861.08,0,0
110387453,BAGS cards / Crayfd 6th Aug,TO BE PLACED,06-08-2013 15:48,4927063,6. Wozniacki,1,,1,1,1,1001,1,1001,0,0,0
100728456,AUS / Wgul (AUS) 6th Aug,TO BE PLACED,06-08-2013 13:08,5158171,8. Super Payment,0,,1,1,1,1001,1,1001,0,0,0
110387486,BAGS cards / Sund 6th Aug,TO BE PLACED,06-08-2013 14:18,5359683,4. Oran Fancy,0,,1,1,1,1001,1,1001,0,0,0
100728456,AUS / Wgul (AUS) 6th Aug,TO BE PLACED,06-08-2013 13:08,5509151,1. Pure Instinct,1,,1,1,1,1001,1,1001,0,0,0
100728632,AUS / Town (AUS) 6th Aug,TO BE PLACED,06-08-2013 13:12,5693109,7. Jazz Heart,0,,1,1,1,1001,1,1001,0,0,0
110387543,BAGS cards / Newc 6th Aug,TO BE PLACED,06-08-2013 20:22,5809375,6. Target Neeson,0,,1,1,1,1001,1,1001,0,0,0
110387547,BAGS cards / Newc 6th Aug,TO BE PLACED,06-08-2013 20:51,6014367,1. Jewel Fantasy,0,,1,1,1,1001,1,1001,0,0,0
100728602,AUS / Gosf (AUS) 6th Aug,TO BE PLACED,06-08-2013 11:20,6058654,6. Bolt Lock Bolt,1,,1,3.88557902403495994173343044428259286235,1,1001,1,1001,27.46,0,0
110387407,BAGS cards / PBarr 6th Aug,TO BE PLACED,06-08-2013 13:27,5961098,3. Miss Scolari,0,,1,1,1,1001,1,1001,0,0,0
100728510,AUS / Lism (AUS) 6th Aug,TO BE PLACED,06-08-2013 10:23,6166326,6. Tears Of Shiraz,0,,1,3.2827342283816948173812617294644146095,1,1001,1,1001,138.54,0,0
110387445,BAGS cards / Crayfd 6th Aug,TO BE PLACED,06-08-2013 14:27,6154326,4. Grogeen Josie,0,,1,1,1,1001,1,1001,0,0,0
110387569,BAGS cards / Sheff 6th Aug,TO BE PLACED,06-08-2013 18:38,6202898,1. Farloe Barracuda,1,,1,1,1,1001,1,1001,0,0,0
100728508,AUS / Lism (AUS) 6th Aug,TO BE PLACED,06-08-2013 10:05,6222673,7. Cool Leaf,0,,1,2.82876761465539328721496284909044324878,1,1001,1,1001,78.06,0,0
110387393,BAGS cards / PBarr 6th Aug,TO BE PLACED,06-08-2013 11:42,6308172,6. Jimmy Turbo,1,,1,2.34513904338153503893214682981090100111,1,1001,1,1001,35.96,0,0
110387344,BAGS cards / Nott 6th Aug,TO BE PLACED,06-08-2013 11:48,6291629,5. Mandys Event,0,,1,3.1121688115064345193035579106737320212,1,1001,1,1001,52.84,0,0
110387510,BAGS cards / Sund 6th Aug,TO BE PLACED,06-08-2013 18:04,6255679,2. Two Step Blue,0,,1,1,1,1001,1,1001,0,0,0
110387492,BAGS cards / Sund 6th Aug,TO BE PLACED,06-08-2013 15:17,6378347,1. Camlin Tiny,0,,1,1,1,1001,1,1001,0,0,0
110387338,BAGS cards / Nott 6th Aug,TO BE PLACED,06-08-2013 11:03,6445766,3. Downton Molly,0,,1,2.21254569405565618310554915198419232669,1,1001,1,1001,242.92,0,0
110387405,BAGS cards / PBarr 6th Aug,TO BE PLACED,06-08-2013 13:12,6416975,5. Uncle Matty,0,,1,1,1,1001,1,1001,0,0,0
110387589,BAGS cards / Sheff 6th Aug,TO BE PLACED,06-08-2013 21:14,6556883,2. Southwind Jet,1,,1,1,1,1001,1,1001,0,0,0
110387463,BAGS cards / Crayfd 6th Aug,TO BE PLACED,06-08-2013 17:22,6769593,3. Lookingfor Libby,0,,1,1,1,1001,1,1001,0,0,0
110387537,BAGS cards / Newc 6th Aug,TO BE PLACED,06-08-2013 19:37,6853308,1. Jasons Belle,0,,1,1,1,1001,1,1001,0,0,0
