EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
128432163,Forecast / Sheff (FC) 24th Nov,Forecast,24/11/2016 11:57,522739,01-Feb,0,,1,1,1,1001,1,1001,0,0,0
128432144,Forecast / Sund (FC) 24th Nov,Forecast,24/11/2016 12:18,522740,01-Mar,0,,1,1,1,1001,1,1001,0,0,0
128433276,Televised Cards / BVue (FC) 24th Nov,Forecast,24/11/2016 19:25,6953192,01-May,0,,1,1,1,1001,1,1001,0,0,0
128431648,BAGS Cards / Hove 24th Nov,A4 515m,24/11/2016 20:04,8628658,2. Rowfolds Snowy,0,4.1,1,1,1,1001,1,1001,0,0,0
128431820,BAGS Cards / Newc 24th Nov,A1 480m,24/11/2016 21:17,8802327,1. Queenies One,1,13.04804661,1,1,1,1001,1,1001,0,0,0
128421879,AUS / SPrk (AUS) 24th Nov,R8 595m Gr4/5,24/11/2016 10:37,8898215,1. City Rambler,0,41.97525994,1,24.00318099,1,1001,1,1001,308.08,0,0
128421911,AUS / Shep (AUS) 24th Nov,R6 450m Gr5,24/11/2016 06:12,9075686,5. Fawn Pursuit,0,60,1,33.38141361,1,1001,1,1001,76.4,0,0
128435638,Match Bets / Henl (AvB) 24th Nov,Sit And Suffer v Gordons Alive,24/11/2016 21:24,9432492,6. Gordons Alive,0,,1,1,1,1001,1,1001,0,0,0
128430650,BAGS Cards / Sund 24th Nov,A1 450m,24/11/2016 12:04,9490217,2. Riverside Bolt,0,3.301937453,1,1,1,1001,1,1001,0,0,0
128430689,BAGS Cards / Sheff 24th Nov,A6 500m,24/11/2016 13:44,9545786,5. Droopys Yale,0,6,1,1,1,1001,1,1001,0,0,0
128432911,Televised Cards / BVue 24th Nov,OR 470m,24/11/2016 19:39,9939925,3. Sunbeam Dreams,0,8.807623793,1,1,1,1001,1,1001,0,0,0
128421986,NZL / Mkau (NZL) 24th Nov,R8 527m C2,24/11/2016 04:53,10139195,5. Mr Mumbles,0,,1,18.1871779,1,1001,1,1001,97.02,0,0
128421955,AUS / Warr (AUS) 24th Nov,R12 450m Gr6,24/11/2016 11:31,10394626,3. Ma Ma Keogh,0,42,1,1,1,1001,1,1001,0,0,0
128421969,AUS / Hoba (AUS) 24th Nov,R7 461m Final,24/11/2016 10:52,10288824,4. Hat Trick Babe,0,60,1,35.27626558,1,1001,1,1001,78.62,0,0
128421774,AUS / Dubb (AUS) 24th Nov,R5 318m N/G,24/11/2016 03:12,10259487,2. Rodney Keeping,0,16.01147348,1,9.78166215,1,1001,1,1001,110.7,0,0
128421987,NZL / Mkau (NZL) 24th Nov,R9 318m C3,24/11/2016 05:18,10527387,3. Simply Sam,0,,1,14,1,1001,1,1001,11.86,0,0
128431491,BAGS Cards / Crayfd 24th Nov,A7 380m,24/11/2016 15:38,10519125,4. Faiths Dancer,0,4.831068498,1,1,1,1001,1,1001,0,0,0
128421999,NZL / Addi (NZL) 24th Nov,R11 295m C5,24/11/2016 02:01,10598584,4. Kihael Kaluna,0,,1,4.937543098,1,1001,1,1001,156.62,0,0
128421923,AUS / APrk (AUS) 24th Nov,R8 520m FFA,24/11/2016 11:16,10706401,4. Premier Jet,0,8.646215781,1,1,1,1001,1,1001,0,0,0
