event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223783750,Gawler (AUS) 21st Jan,R7 400m Gr6,21-01-2024 08:24,65121855,8. Call Me Jacques,1,2.92000000,1.0000,1.8004,1.00,1001.00,1.00,1001.00,1723.92,1723.92,0.00
223783055,Albion Park (AUS) 21st Jan,R5 331m Gr5,21-01-2024 09:10,40658418,2. Out Of Cash,0,4.30000000,1.0000,3.0634,1.00,1001.00,1.00,1001.00,1557.40,1557.40,0.00
223784284,Mandurah (AUS) 21st Jan,R7 300m Gr4/5,21-01-2024 10:23,56980073,2. Bracton,0,14.50144718,1.0000,7.1128,1.00,1001.00,1.00,1001.00,548.64,548.64,0.00
223807942,Sunderland 21st Jan,A7 450m,21-01-2024 10:54,49473257,2. Motorbar Time,0,47.50148929,1.0000,27.4615,1.00,1001.00,1.00,1001.00,417.12,417.12,0.00
223808435,Crayford 21st Jan,OR 380m,21-01-2024 19:37,65106272,6. Spartan Wolf,0,14.51885858,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,2393.10,0.00
223836718,Ascot Park (NZL) 22nd Jan,R3 390m C2,21-01-2024 23:46,46732415,2. Southern Hope,0,4.09906643,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1282.72,0.00
223783478,Richmond (AUS) 21st Jan,R3 401m Mdn,21-01-2024 08:02,65121801,5. Zipping Nagini,0,10.50000000,1.0000,7.9601,1.00,1001.00,1.00,1001.00,1638.12,1638.12,0.00
223783745,Gawler (AUS) 21st Jan,R6 400m Gr6,21-01-2024 08:07,60735639,7. No Sugar Thanks,0,14.00000000,1.0000,7.7285,1.00,1001.00,1.00,1001.00,429.57,429.57,0.00
223807988,Doncaster 21st Jan,D2 275m,21-01-2024 12:38,40802990,5. Moss Rosie,0,15.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,703.84,0.00
223808441,Crayford 21st Jan,A4 380m,21-01-2024 20:32,65106275,4. Runaway Wildcat,0,51.84573785,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,671.29,0.00
223784264,Mandurah (AUS) 21st Jan,R3 300m Gr5/6,21-01-2024 09:02,60988026,8. Pad Up Sonic,0,16.27340205,1.0000,9.3052,1.00,1001.00,1.00,1001.00,383.28,383.28,0.00
223784328,Manukau (NZL) 21st Jan,R8 527m Heat,21-01-2024 02:22,50740277,1. Space Boy,1,2.14000000,1.0000,1.6421,1.00,1001.00,1.00,1001.00,4238.85,4238.85,0.00
223783153,Healesville (AUS) 21st Jan,R12 300m Gr5,21-01-2024 03:20,43351510,3. Turbo Inferno,0,9.36402168,1.0000,4.2429,1.00,1001.00,1.00,1001.00,1357.76,1357.76,0.00
223807912,Yarmouth 21st Jan,A2 462m,21-01-2024 11:32,58002500,5. Legsbeavingyou,0,4.65893405,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,7200.23,0.00
223808771,Kinsley 21st Jan,A4 462m,21-01-2024 18:54,58110968,3. Glencorbry Luigi,1,2.52000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,8855.06,0.00
223808895,Valley 21st Jan,D4 260m,21-01-2024 19:28,64852044,2. Pandy Morgan,0,10.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,862.50,0.00
223783388,Sandown Park (AUS) 21st Jan,R11 595m Gr5,21-01-2024 05:57,49244594,6. Tinker Mike,0,13.50000000,1.0000,9.0285,1.00,1001.00,1.00,1001.00,1343.89,1343.89,0.00
223783045,Albion Park (AUS) 21st Jan,R3 331m Heat,21-01-2024 08:27,65121948,6. Royal Rose,0,15.51526153,1.0000,7.3324,1.00,1001.00,1.00,1001.00,404.92,404.92,0.00
