event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
226188050,Ipswich (AUS) 16th Mar,To Be Placed,16-03-2024 07:17,60607853,8. Looks Good,0,60.00000000,1.0000,19.6654,1.00,1001.00,1.00,1001.00,32.64,32.64,0.00
226188494,The Meadows (AUS) 16th Mar,To Be Placed,16-03-2024 07:52,65388335,3. Daintree Granite,0,2.28231093,1.0000,1.7196,1.00,1001.00,1.00,1001.00,357.34,357.34,0.00
226205769,Perry Barr 16th Mar,To Be Placed,16-03-2024 19:41,64536784,2. Flyhigh Sophie,0,2.33119864,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,854.22,0.00
226188090,Ipswich (AUS) 16th Mar,To Be Placed,16-03-2024 09:58,42425006,6. My Genie,0,2.09011284,1.0000,1.7128,1.00,1001.00,1.00,1001.00,701.60,701.60,0.00
226188070,Ipswich (AUS) 16th Mar,To Be Placed,16-03-2024 08:39,44161134,3. Ring Me,1,1.41233455,1.0000,1.2593,1.00,1001.00,1.00,1001.00,339.14,339.14,0.00
226205426,Central Park 16th Mar,To Be Placed,16-03-2024 19:14,42668229,1. Swift Yasmin,0,14.68674793,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,270.20,0.00
226188000,Cannington (AUS) 16th Mar,To Be Placed,16-03-2024 11:49,67117389,5. All About Coal,0,4.90000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,69.68,0.00
226187876,Dubbo (AUS) 16th Mar,To Be Placed,16-03-2024 09:29,61671371,6. Ash Tray Change,1,2.44727753,1.0000,2.1466,1.00,1001.00,1.00,1001.00,922.00,922.00,0.00
226204606,Romford 16th Mar,To Be Placed,16-03-2024 10:54,63095527,1. Aero Title,1,2.40697410,1.0000,2.5387,1.00,1001.00,1.00,1001.00,343.36,343.36,0.00
226188519,The Meadows (AUS) 16th Mar,To Be Placed,16-03-2024 09:41,55013151,8. Starburst Candy,0,6.20000000,1.0000,1.5682,1.00,1001.00,1.00,1001.00,40.14,40.14,0.00
226205326,Swindon 16th Mar,To Be Placed,16-03-2024 17:14,61420746,1. Rathin Rosie,1,1.76692294,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,3926.85,0.00
226205316,Swindon 16th Mar,To Be Placed,16-03-2024 15:39,66266591,1. Ravenswell Freja,0,3.70585826,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1194.96,0.00
226205306,Swindon 16th Mar,To Be Placed,16-03-2024 14:04,54983439,2. Rathronan Shadow,1,4.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,603.51,0.00
226205346,Hove 16th Mar,To Be Placed,16-03-2024 18:27,44746189,3. Completely Cleo,1,2.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1570.10,0.00
226205354,Hove 16th Mar,To Be Placed,16-03-2024 19:37,66840202,4. Bolgers Bullet,0,3.28074751,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,948.13,0.00
226189553,Richmond (AUS) 16th Mar,To Be Placed,16-03-2024 00:20,62326943,5. Rapido Vito,0,2.98104350,1.0000,2.0611,1.00,1001.00,1.00,1001.00,583.72,583.72,0.00
226187896,Dubbo (AUS) 16th Mar,To Be Placed,16-03-2024 10:49,55572812,3. Silvers Fury,0,2.84000000,1.0000,2.7955,1.00,1001.00,1.00,1001.00,323.62,323.62,0.00
226204614,Romford 16th Mar,To Be Placed,16-03-2024 11:54,37096273,4. Indigo Duncan,0,4.07302210,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,78.70,0.00
226188232,The Gardens (AUS) 16th Mar,To Be Placed,16-03-2024 10:43,45565866,4. Supreme Identity,1,1.96496913,1.0000,1.3171,1.00,1001.00,1.00,1001.00,509.92,509.92,0.00
226204642,Oxford 16th Mar,To Be Placed,16-03-2024 11:04,54092371,3. Corrin Audrey,1,1.89000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,1060.55,0.00
226189548,Richmond (AUS) 16th Mar,To Be Placed,16-03-2024 00:04,66544426,3. Tilly The Filly,1,6.20000000,1.0000,3.1630,1.00,1001.00,1.00,1001.00,119.91,119.91,0.00
