EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
101042725,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 03:18,5558134,1. Bolero Dancer,0,4.3,1,3.98211424140604807443783923494443008529,1,1001,1,1001,154.76,0,0
101042725,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 03:18,8009968,10. Rushman,0,18.548268617726862,1,15.4643683479870430356316520129569643684,1,1001,1,1001,43.22,0,0
101042727,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 03:53,6632468,6. Heza Clown,0,2.3,1,2.04271842052246323282519642737223826472,1,1001,1,1001,297.82,0,0
101042727,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 03:53,8774739,3. Bel Esandy,0,3.35,1,2.98971803964885762455671181908028602988,1,1001,1,1001,344.02,0,0
101042731,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 05:03,8386669,4. On The Way Coming,0,1.55,1,1.51140353486000764753367039129880613502,1,1001,1,1001,941.48,0,0
101042731,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 05:03,8887063,11. Rain Or Shine,0,6.841325503788102,1,5.05727848101265822784810126582278481013,1,1001,1,1001,101.12,0,0
101042739,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 07:23,7423879,11. Octantis,0,4.8,1,3.96900894928737156115346370566788200199,1,1001,1,1001,181.02,0,0
101042729,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 04:28,7580723,5. Balkans Clang,0,4.4,1,3.24523946912867859203693017888055395268,1,1001,1,1001,34.66,0,0
101042729,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 04:28,8855711,12. Lucky Speed Date,0,4.9,1,4.5035075273902419799795065815401592181,1,1001,1,1001,253.74,0,0
101042735,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 06:13,8453470,14. Courage To Dance,0,17.5,1,13.2667839085513299626291492635744119587,1,1001,1,1001,90.98,0,0
101042735,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 06:13,8887079,3. Roman Desire,0,2.86,1,2.46674176690987970814435022677972786433,1,1001,1,1001,405.68,0,0
101042737,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 06:48,8855707,5. Liabilityadjuster,1,1.7166159541279187,1,1.62365858069766916103361743494675920693,1,1001,1,1001,1769.32,0,0
101042737,AUS / Nowr (AUS) 7th Oct,TO BE PLACED,07-10-2014 06:48,8887083,4. Thewayoumakemefeel,0,13,1,8.25371747211895910780669144981412639405,1,1001,1,1001,96.84,0,0
101042753,AUS / Echu (AUS) 7th Oct,TO BE PLACED,07-10-2014 07:05,7994350,4. Like A Bought One,0,3.8,1,3.58980085143228227144815643264304783895,1,1001,1,1001,277.18,0,0
101042745,AUS / Echu (AUS) 7th Oct,TO BE PLACED,07-10-2014 04:45,8887024,6. Inala Angel,0,3.05,1,2.43243971780562282826155628093082025903,1,1001,1,1001,379.88,0,0
101042747,AUS / Echu (AUS) 7th Oct,TO BE PLACED,07-10-2014 05:20,8887034,11. With Reflection,0,1.36,1,1.26319360669174670561778861310186839285,1,1001,1,1001,1903.24,0,0
101042755,AUS / Echu (AUS) 7th Oct,TO BE PLACED,07-10-2014 07:40,7246187,9. Jillamatong,0,12,1,7.50741002117148906139731827805222300635,1,1001,1,1001,28.34,0,0
