event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223944364,Stawell (AUS) 26th Jan,R2 1785m Pace M,26-01-2024 02:45,9140527,6. Irishmurphy,0,17.96346325,8.2120,9.9766,1.00,1001.00,970.00,970.00,773.65,620.55,153.10
223948961,Darwin (AUS) 26th Jan,R2 1300m Hcap,26-01-2024 05:48,19648610,1. Noir De Rue,1,11.88966662,10.5488,8.0220,12.50,9.20,7.00,5.10,3398.04,2319.56,605.86
223947128,Carrick (AUS) 26th Jan,R7 2150m Pace M,26-01-2024 06:37,26532183,9. Sea Hawke,0,70.00000000,62.8569,24.7470,1.00,1001.00,1.00,1001.00,140.09,43.66,26.14
223947128,Carrick (AUS) 26th Jan,R7 2150m Pace M,26-01-2024 06:37,35586030,1. Blackjack Jim,1,1.71000000,1.8019,1.4279,1.97,1.73,1.01,1.01,12694.84,4714.86,6124.46
223940899,Launceston (AUS) 26th Jan,R2 1400m Mdn,26-01-2024 07:27,41988759,2. Geegees Sunshine,0,130.00000000,112.2689,46.4467,140.00,80.00,1.00,1001.00,454.24,175.22,82.10
223949170,Tamworth (AUS) 26th Jan,R5 1980m Pace M,26-01-2024 09:10,35595147,4. Bettor Keep Rocking,0,4.10000000,3.5330,3.5370,4.10,4.00,1.00,1001.00,2688.50,2336.05,352.45
223945874,Albion Park (AUS) 26th Jan,R5 2138m Pace M,26-01-2024 09:33,43326822,5. Bad Boy Boris,1,14.69875683,19.1477,3.2055,21.00,15.00,30.00,1.01,7196.01,596.11,5751.32
223949174,Tamworth (AUS) 26th Jan,R7 1609m Pace M,26-01-2024 10:10,41948164,2. Manic Mia,0,148.76581148,34.7014,31.9427,150.00,95.00,1.00,1001.00,70.36,45.24,25.12
223945548,Albany (AUS) 26th Jan,R1 2265m Pace M,26-01-2024 10:07,53186725,9. Lizzie Thorpe,0,53.29717651,54.9715,21.1540,70.00,44.00,1.00,1001.00,278.46,91.55,62.99
223940845,Caulfield (AUS) 26th Jan,R3 1000m Grp3,26-01-2024 03:30,65260408,3. Cool Star,0,65.72428708,72.0516,43.1118,170.00,60.00,220.00,75.00,2597.57,1360.10,350.89
223944388,Cranbourne (AUS) 26th Jan,R4 1609m Pace M,26-01-2024 08:52,36849726,1. Montana Flash,1,6.80000000,7.7299,3.6542,7.40,7.40,20.00,14.00,4677.56,1159.25,3064.49
223940955,Hanging Rock (AUS) 26th Jan,R2 1600m Mdn,26-01-2024 02:36,1079346,5. William,0,3.10791430,2.4924,2.5094,3.40,2.90,3.10,2.98,15308.79,12807.26,2501.53
223940800,Murray Bridge (AUS) 26th Jan,R8 900m Hcap,26-01-2024 06:12,46108665,11. Emerald Court,0,11.70530497,8.0508,7.0428,15.00,11.00,1.00,1001.00,6541.58,5469.65,1071.93
223945414,Eagle Farm (AUS) 26th Jan,R7 1200m Hcap,26-01-2024 06:32,51032523,2. I Promise You,0,21.00000000,13.2322,11.6326,32.00,11.00,1.00,1001.00,6449.69,5268.75,1180.94
223945307,Wagga (AUS) 26th Jan,R8 1200m Hcap,26-01-2024 06:45,65260221,15. Witness To Love,0,960.35167076,450.4426,394.5152,1000.00,270.00,230.00,230.00,147.89,124.54,23.35
223953714,Parkes (AUS) 26th Jan,R5 2040m Pace M,26-01-2024 09:28,38618966,2. Ideal Denny,0,15.00000000,18.6108,12.5866,22.00,15.50,20.00,20.00,496.99,247.83,110.44
223953716,Parkes (AUS) 26th Jan,R6 1660m Pace M,26-01-2024 09:58,11309802,1. Mach Charm,0,2.68000000,2.8078,2.5645,4.60,2.54,3.60,1.85,5219.44,3776.10,833.66
