event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
224856923,Canterbury (AUS) 16th Feb,To Be Placed,16-02-2024 10:30,43034837,10. Damaged,1,2.74668139,1.0000,2.2259,1.00,1001.00,1.00,1001.00,1477.54,0.00,0.00
224861954,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 13:30,48300253,2. Chaco Eagle,1,3.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224859795,Rockhampton (AUS) 16th Feb,To Be Placed,16-02-2024 05:55,66032865,15. Cyber Jam,0,93.25934888,1.0000,12.0316,1.00,1001.00,1.00,1001.00,38.50,0.00,0.00
224863368,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 02:40,66032442,14. Joyful Jink,0,90.00000000,1.0000,6.6128,1.00,1001.00,1.00,1001.00,47.32,0.00,0.00
224860660,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 12:50,40534728,7. Batavia Streamline,0,7.99247689,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224859775,Rockhampton (AUS) 16th Feb,To Be Placed,16-02-2024 03:22,66032847,15. Andiron,0,2.80000000,1.0000,2.7707,1.00,1001.00,1.00,1001.00,2598.26,0.00,0.00
224859996,Moonee Valley (AUS) 16th Feb,To Be Placed,16-02-2024 07:15,51312610,9. Sheza Snake,0,42.00000000,1.0000,15.7066,1.00,1001.00,1.00,1001.00,235.34,0.00,0.00
224863385,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 04:25,36332179,2. Gidgee Guy,0,12.50000000,1.0000,6.2036,1.00,1001.00,1.00,1001.00,276.21,0.00,0.00
224861939,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 10:57,26825438,6. Middlepage,0,5.40000000,1.0000,5.5175,1.00,1001.00,1.00,1001.00,141.18,0.00,0.00
224859973,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 08:04,66005502,11. Im Shipping Steel,0,6.43904414,1.0000,3.4530,1.00,1001.00,1.00,1001.00,180.80,0.00,0.00
224859991,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 11:05,44144808,8. Whats The Tea,0,9.96301171,1.0000,10.4921,1.00,1001.00,1.00,1001.00,2.56,0.00,0.00
224860660,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 12:50,40119250,5. Gypsy Dragon,0,1.50500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224860658,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 12:15,42290254,4. Beyond Bling,0,1.52825456,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224859765,Rockhampton (AUS) 16th Feb,To Be Placed,16-02-2024 02:13,66032828,2. Chimera Magic,1,1.47000000,1.0000,1.3567,1.00,1001.00,1.00,1001.00,3878.43,0.00,0.00
224859970,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 07:34,62394977,2. Myshania,0,4.00000000,1.0000,3.2869,1.00,1001.00,1.00,1001.00,507.13,0.00,0.00
224856875,Canterbury (AUS) 16th Feb,To Be Placed,16-02-2024 07:30,66032376,4. Invader Zim,1,2.14699099,1.0000,1.7360,1.00,1001.00,1.00,1001.00,1221.63,0.00,0.00
224856875,Canterbury (AUS) 16th Feb,To Be Placed,16-02-2024 07:30,60451574,6. Life Coach,1,2.46990949,1.0000,2.1386,1.00,1001.00,1.00,1001.00,1382.80,0.00,0.00
224860652,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 10:48,49919367,2. Galeocerdo Cuvier,1,3.50000000,1.0000,2.2339,1.00,1001.00,1.00,1001.00,222.89,0.00,0.00
224863390,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 05:05,66032460,11. Jakat,0,8.39259167,1.0000,5.3338,1.00,1001.00,1.00,1001.00,202.62,0.00,0.00
224861954,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 13:30,62104211,3. Balingup Boy,0,4.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224859810,Rockhampton (AUS) 16th Feb,To Be Placed,16-02-2024 07:40,54973924,3. I Promise You,1,3.09427183,1.0000,2.5117,1.00,1001.00,1.00,1001.00,960.73,0.00,0.00
224859996,Moonee Valley (AUS) 16th Feb,To Be Placed,16-02-2024 07:15,66032881,1. Sconaero,0,38.00000000,1.0000,20.2996,1.00,1001.00,1.00,1001.00,292.28,0.00,0.00
224859982,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 09:34,40508674,13. Tophut Johny,0,80.00000000,1.0000,27.5132,1.00,1001.00,1.00,1001.00,253.67,0.00,0.00
224863363,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 02:05,42147451,2. Karaoke King,0,2.78707743,1.0000,2.3243,1.00,1001.00,1.00,1001.00,311.58,0.00,0.00
224860654,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 11:16,47430141,3. Your Grace,0,3.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224856899,Canterbury (AUS) 16th Feb,To Be Placed,16-02-2024 09:00,64546297,5. Command Approved,0,3.95000000,1.0000,2.6220,1.00,1001.00,1.00,1001.00,724.90,0.00,0.00
224860664,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 13:46,52879547,2. Lowlands Beach Boy,0,25.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224863401,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 06:25,66032471,8. Eighty Eight Stars,0,4.37153791,1.0000,2.9262,1.00,1001.00,1.00,1001.00,227.27,0.00,0.00
224859967,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 07:03,41988654,9. Treacheroustimes,0,3.60000000,1.0000,2.1979,1.00,1001.00,1.00,1001.00,276.70,0.00,0.00
224863401,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 06:25,66032472,9. Sacred Delago,0,5.30000000,1.0000,3.7474,1.00,1001.00,1.00,1001.00,354.11,0.00,0.00
224861936,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 10:22,35620878,2. Rupert Of Lincoln,0,5.40000000,1.0000,3.3849,1.00,1001.00,1.00,1001.00,87.36,0.00,0.00
224860041,Moonee Valley (AUS) 16th Feb,To Be Placed,16-02-2024 09:45,37829270,1. Saving,0,32.02822675,1.0000,14.5589,1.00,1001.00,1.00,1001.00,355.60,0.00,0.00
224863401,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 06:25,66032476,18. Sapphire Step,0,55.00000000,1.0000,7.5105,1.00,1001.00,1.00,1001.00,68.67,0.00,0.00
224863396,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 05:45,38545308,11. Previso,0,32.00000000,1.0000,11.2629,1.00,1001.00,1.00,1001.00,94.25,0.00,0.00
224863379,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 03:50,61407995,11. Dance Off,0,3.88278684,1.0000,2.6169,1.00,1001.00,1.00,1001.00,269.25,0.00,0.00
224859991,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 11:05,39858999,9. Settle The Bill,0,19.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224861933,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 09:54,25979865,4. Illawong Mustang,0,5.30000000,1.0000,4.2509,1.00,1001.00,1.00,1001.00,100.60,0.00,0.00
224859973,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 08:04,26493298,12. Chu Chits,0,5.98090639,1.0000,5.7188,1.00,1001.00,1.00,1001.00,319.15,0.00,0.00
224861957,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 14:00,66019401,3. Off The Charts,0,15.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224859988,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 10:37,43882784,8. Stir Me Up,1,1.59000000,1.0000,1.5212,1.00,1001.00,1.00,1001.00,5565.48,0.00,0.00
224859800,Rockhampton (AUS) 16th Feb,To Be Placed,16-02-2024 06:35,66032867,5. Azure De Lago,0,5.93773134,1.0000,3.4461,1.00,1001.00,1.00,1001.00,273.22,0.00,0.00
224859991,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 11:05,36255272,7. Jahbella,0,5.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224860005,Moonee Valley (AUS) 16th Feb,To Be Placed,16-02-2024 07:45,66032889,2. Vilnius,1,1.21866081,1.0000,1.1287,1.00,1001.00,1.00,1001.00,3120.58,0.00,0.00
224863390,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 05:05,59683958,5. Night Patra,1,2.05724220,1.0000,1.5358,1.00,1001.00,1.00,1001.00,1183.49,0.00,0.00
224860654,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 11:16,66019310,9. American Monarch,1,1.57000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224859976,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 08:34,60987496,3. Aberdene,0,21.00000000,1.0000,10.7346,1.00,1001.00,1.00,1001.00,343.24,0.00,0.00
224856915,Canterbury (AUS) 16th Feb,To Be Placed,16-02-2024 10:00,1214718,2. Special Envoy,0,2.90000000,1.0000,1.7780,1.00,1001.00,1.00,1001.00,1601.39,0.00,0.00
224856923,Canterbury (AUS) 16th Feb,To Be Placed,16-02-2024 10:30,66032396,7. Mr Kennedy,0,2.36000000,1.0000,1.7139,1.00,1001.00,1.00,1001.00,1868.82,0.00,0.00
224861945,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 12:05,40785384,9. Swingband,0,9.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224861933,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 09:54,28392425,1. Sidstrepo,0,16.00000000,1.0000,7.0101,1.00,1001.00,1.00,1001.00,42.26,0.00,0.00
224859970,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 07:34,49766880,3. Rockin Charmer,0,4.20000000,1.0000,2.3985,1.00,1001.00,1.00,1001.00,223.90,0.00,0.00
224859795,Rockhampton (AUS) 16th Feb,To Be Placed,16-02-2024 05:55,66032864,14. Cerared,0,8.40000000,1.0000,3.6046,1.00,1001.00,1.00,1001.00,300.43,0.00,0.00
224859785,Rockhampton (AUS) 16th Feb,To Be Placed,16-02-2024 04:35,44037786,9. Soften It Up,1,6.33124710,1.0000,3.2943,1.00,1001.00,1.00,1001.00,1102.24,0.00,0.00
224863368,Tamworth (AUS) 16th Feb,To Be Placed,16-02-2024 02:40,54138945,7. Keitany,1,1.30221429,1.0000,1.2244,1.00,1001.00,1.00,1001.00,2415.34,0.00,0.00
224861936,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 10:22,39098570,5. Tiger Royal,1,2.17978542,1.0000,1.8482,1.00,1001.00,1.00,1001.00,796.28,0.00,0.00
224856875,Canterbury (AUS) 16th Feb,To Be Placed,16-02-2024 07:30,66032379,11. Yayoi,0,2.17152253,1.0000,1.8707,1.00,1001.00,1.00,1001.00,4050.04,0.00,0.00
224860032,Moonee Valley (AUS) 16th Feb,To Be Placed,16-02-2024 09:15,61631139,11. Sir Peter,0,38.00000000,1.0000,10.7867,1.00,1001.00,1.00,1001.00,369.18,0.00,0.00
224861936,Gloucester Park (AUS) 16th Feb,To Be Placed,16-02-2024 10:22,55178861,7. Onesmartfella,0,14.00000000,1.0000,4.2083,1.00,1001.00,1.00,1001.00,4.32,0.00,0.00
224860032,Moonee Valley (AUS) 16th Feb,To Be Placed,16-02-2024 09:15,55013365,5. Roaring Engine,1,1.46661169,1.0000,1.3548,1.00,1001.00,1.00,1001.00,3880.89,0.00,0.00
224859979,Melton (AUS) 16th Feb,To Be Placed,16-02-2024 09:04,36227954,6. Bona Khan,0,11.71309994,1.0000,7.8155,1.00,1001.00,1.00,1001.00,190.76,0.00,0.00
224860658,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 12:15,1167606,2. Tinseltown,0,5.11657683,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224860658,Albany (AUS) 16th Feb,To Be Placed,16-02-2024 12:15,26237620,5. Highly Flammable,1,6.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
