EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
211762968,SENONNES-POUANCE (FRA) 24th Mar,6f Hcap,24-03-2023 14:07,35898458,Skade,1,4.62308499,4.7835,1.0000,5.50,4.50,1.01,1.01,0.00,1415.49,1530.91
211762982,Le Croise-Laroche (FRA) 24th Mar,1m1f Mdn Stks,24-03-2023 18:15,52675642,La Cerdagne,0,15.04623235,13.6825,1.0000,16.00,16.00,1.00,1001.00,0.00,255.36,12.06
211762972,Le Croise-Laroche (FRA) 24th Mar,1m4f Hcap,24-03-2023 15:20,28547475,Magic Legs,0,44.00000000,20.1842,1.0000,1.00,1001.00,1.00,1001.00,0.00,38.42,38.28
211762958,SENONNES-POUANCE (FRA) 24th Mar,1m3f Stks,24-03-2023 11:25,53947974,Katakana,1,3.31435801,3.6577,5.8399,4.00,3.40,1.00,1001.00,10.00,1914.92,651.71
211762974,Le Croise-Laroche (FRA) 24th Mar,1m4f Mdn Stks,24-03-2023 15:55,1476045,Mystic,1,2.20214971,2.1262,1.0000,2.26,2.26,1.00,1001.00,0.00,1784.88,703.05
211762960,SENONNES-POUANCE (FRA) 24th Mar,1m6f Stks,24-03-2023 11:55,47296226,Insolite Kandidate,0,39.47099645,34.9553,9.9998,1.00,1001.00,30.00,30.00,1.80,29.40,39.56
211762964,SENONNES-POUANCE (FRA) 24th Mar,6f Stks,24-03-2023 12:57,46604171,First Lady Time,0,4.00000000,3.6246,1.0000,3.75,3.40,1.00,1001.00,0.00,3571.81,162.31
211762960,SENONNES-POUANCE (FRA) 24th Mar,1m6f Stks,24-03-2023 11:55,46948143,Joker Du Lys,0,35.50909037,42.4796,9.9999,1.00,1001.00,1.00,1001.00,1.80,17.82,27.02
211762962,SENONNES-POUANCE (FRA) 24th Mar,1m6f Hcap,24-03-2023 12:25,39223809,Yemaska,0,7.13212802,8.2356,1.0000,8.00,8.00,1.00,1001.00,0.00,701.68,80.78
211762966,SENONNES-POUANCE (FRA) 24th Mar,6f Mdn Stks,24-03-2023 13:33,46135997,Grand Fetard,0,8.26451794,8.3416,1.0000,8.40,8.40,1.00,1001.00,0.00,785.52,41.45
211762976,Le Croise-Laroche (FRA) 24th Mar,1m4f Hcap,24-03-2023 16:30,12984463,Lie High,0,202.19602044,99.5532,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.78,2.91
211762978,Le Croise-Laroche (FRA) 24th Mar,5f Stks,24-03-2023 17:05,30714,Jojo,0,19.60807366,23.1139,1.0000,40.00,17.00,1.00,1001.00,0.00,626.19,37.89
211762960,SENONNES-POUANCE (FRA) 24th Mar,1m6f Stks,24-03-2023 11:55,44163709,Jouvencia,0,141.36760569,55.2007,9.9999,55.00,55.00,1.00,1001.00,1.80,12.19,22.61
211762956,SENONNES-POUANCE (FRA) 24th Mar,2m2f Mdn Hrd,24-03-2023 10:55,28489494,Joinville Le Pont,0,14.50000000,18.0330,15.6476,24.00,15.50,1.00,1001.00,482.41,401.04,60.54
211762978,Le Croise-Laroche (FRA) 24th Mar,5f Stks,24-03-2023 17:05,23342288,Throttle Control,0,77.21358417,56.2549,1.0000,90.00,46.00,1.00,1001.00,0.00,35.84,26.36
211762982,Le Croise-Laroche (FRA) 24th Mar,1m1f Mdn Stks,24-03-2023 18:15,53947990,Dorianello,0,120.00000000,62.6636,1.0000,130.00,100.00,1.00,1001.00,0.00,22.19,9.15
211762956,SENONNES-POUANCE (FRA) 24th Mar,2m2f Mdn Hrd,24-03-2023 10:55,52388738,Great Coco Feather,0,130.00000000,158.2840,89.1268,220.00,220.00,1.00,1001.00,22.47,12.59,9.43
211762984,Le Croise-Laroche (FRA) 24th Mar,1m1f Stks,24-03-2023 18:50,40475461,Nacoma,0,5.70852520,6.2913,1.0000,1.00,1001.00,1.00,1001.00,0.00,526.43,76.34
211762956,SENONNES-POUANCE (FRA) 24th Mar,2m2f Mdn Hrd,24-03-2023 10:55,50744404,Le Voyage,0,7.84163907,7.5699,7.3509,8.00,8.00,1.00,1001.00,695.25,659.58,24.57
211762978,Le Croise-Laroche (FRA) 24th Mar,5f Stks,24-03-2023 17:05,21821277,Hello Is You,0,9.15351310,9.1671,1.0000,11.00,9.00,1.00,1001.00,0.00,975.42,57.23
211762972,Le Croise-Laroche (FRA) 24th Mar,1m4f Hcap,24-03-2023 15:20,28541853,Skip Chop,0,27.48363740,13.1709,1.0000,1.00,1001.00,1.00,1001.00,0.00,58.66,24.42
211762962,SENONNES-POUANCE (FRA) 24th Mar,1m6f Hcap,24-03-2023 12:25,20695363,Monsieur George,0,16.34616211,16.6878,9.9998,16.00,15.50,1.00,1001.00,1.80,180.73,17.87
211762970,SENONNES-POUANCE (FRA) 24th Mar,6f Hcap,24-03-2023 14:43,40134950,Just In Time Game,0,4.46707603,4.3922,1.0000,1.00,1001.00,1.00,1001.00,0.00,566.88,68.62
211762974,Le Croise-Laroche (FRA) 24th Mar,1m4f Mdn Stks,24-03-2023 15:55,43381374,Banana Shot,0,12.60367655,10.4089,1.0000,1.00,1001.00,1.00,1001.00,0.00,151.23,20.76
211762968,SENONNES-POUANCE (FRA) 24th Mar,6f Hcap,24-03-2023 14:07,26325454,Stranger,0,4.48232342,4.1930,1.0000,4.70,4.40,1.00,1001.00,0.00,950.58,50.06
211762982,Le Croise-Laroche (FRA) 24th Mar,1m1f Mdn Stks,24-03-2023 18:15,46579461,Darling Jay,0,70.00000000,22.8202,1.0000,1.00,1001.00,1.00,1001.00,0.00,12.69,5.39
211762960,SENONNES-POUANCE (FRA) 24th Mar,1m6f Stks,24-03-2023 11:55,53947983,Juggle On,0,35.42946520,32.6871,9.9999,1.00,1001.00,1.00,1001.00,1.80,49.48,22.65
211762970,SENONNES-POUANCE (FRA) 24th Mar,6f Hcap,24-03-2023 14:43,11162156,Predetermined,0,69.16080000,50.9892,8.6499,1.00,1001.00,1.00,1001.00,1.80,11.85,16.20
211762958,SENONNES-POUANCE (FRA) 24th Mar,1m3f Stks,24-03-2023 11:25,53947971,King Danjou,0,7.80000000,8.8553,8.0888,1.00,1001.00,1.00,1001.00,21.08,245.78,32.22
211762968,SENONNES-POUANCE (FRA) 24th Mar,6f Hcap,24-03-2023 14:07,39171638,O Gre Des Saisons,0,6.58149458,6.9260,1.0000,8.40,7.80,4.90,4.90,0.00,900.22,102.00
211762970,SENONNES-POUANCE (FRA) 24th Mar,6f Hcap,24-03-2023 14:43,38609191,Estacity,1,9.94186500,12.5077,8.6498,13.83,9.94,1.00,1001.00,1.80,598.02,1014.44
211762960,SENONNES-POUANCE (FRA) 24th Mar,1m6f Stks,24-03-2023 11:55,53947982,Iza De Mael,0,266.76784284,117.7107,9.9999,1.00,1001.00,1.00,1001.00,1.80,6.03,16.99
211762976,Le Croise-Laroche (FRA) 24th Mar,1m4f Hcap,24-03-2023 16:30,24120169,Fee Historique,0,196.31773830,78.7737,1.0000,80.00,80.00,65.00,65.00,0.00,5.14,13.82
211762970,SENONNES-POUANCE (FRA) 24th Mar,6f Hcap,24-03-2023 14:43,43971026,Premiere Etoile,0,39.40621299,9.1521,1.0000,1.00,1001.00,1.00,1001.00,0.00,46.56,36.44
211762962,SENONNES-POUANCE (FRA) 24th Mar,1m6f Hcap,24-03-2023 12:25,28528531,Goldy Maker,0,44.00000000,42.5470,9.9999,1.00,1001.00,1.00,1001.00,1.80,33.63,10.87
211762976,Le Croise-Laroche (FRA) 24th Mar,1m4f Hcap,24-03-2023 16:30,17612763,Sun De Lorme,0,8.34456329,7.1090,1.0000,1.00,1001.00,1.00,1001.00,0.00,439.02,32.83
211762972,Le Croise-Laroche (FRA) 24th Mar,1m4f Hcap,24-03-2023 15:20,23520908,Lord Spirit,0,15.32697093,13.4568,1.0000,1.00,1001.00,1.00,1001.00,0.00,168.80,31.97
211762982,Le Croise-Laroche (FRA) 24th Mar,1m1f Mdn Stks,24-03-2023 18:15,11019160,White Swan,1,4.80708375,5.0397,1.0000,5.80,5.80,1.00,1001.00,0.00,1186.74,810.54
211762974,Le Croise-Laroche (FRA) 24th Mar,1m4f Mdn Stks,24-03-2023 15:55,43473127,Maguro,0,34.00000000,9.1222,1.0000,1.00,1001.00,1.00,1001.00,0.00,48.02,16.70
211762972,Le Croise-Laroche (FRA) 24th Mar,1m4f Hcap,24-03-2023 15:20,45301991,Plasnes,0,60.00000000,18.1025,1.0000,1.00,1001.00,1.00,1001.00,0.00,9.36,7.36
211762954,SENONNES-POUANCE (FRA) 24th Mar,2m2f Hrd,24-03-2023 10:25,138561,Morticia,0,38.00000000,36.0034,30.6533,38.00,38.00,1.00,1001.00,43.16,23.04,5.87
211762958,SENONNES-POUANCE (FRA) 24th Mar,1m3f Stks,24-03-2023 11:25,53947972,Karla Viva,0,8.02060003,8.4466,1.0000,1.00,1001.00,1.00,1001.00,0.00,114.53,104.65
211762984,Le Croise-Laroche (FRA) 24th Mar,1m1f Stks,24-03-2023 18:50,3922476,Dear Mr Fantasy,0,280.00000000,62.1425,1.0000,1.00,1001.00,1.00,1001.00,0.00,7.00,6.53
