EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
212153024,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:50,54245970,Funny Berry,1,5.46524822,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212152928,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 12:58,48617417,Jessi Sei,0,1.58500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212152928,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 12:58,43510046,Jaborosa,0,1.98000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153028,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:00,42974410,Igloo Igloo,0,44.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153032,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 17:10,18267119,Pinaclouddown,0,3.45000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153028,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:00,40251924,Odela,0,5.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153030,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:35,49515004,Secret Detat,0,1.32000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212152928,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 12:58,49366996,Jolidee,0,1.28000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153032,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 17:10,39438091,Marechal Desjy,1,3.77611671,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153032,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 17:10,42115552,My Blue Ridge,0,6.20500373,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153024,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:50,54245968,Saga Girl,0,3.73000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153022,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:15,25427987,Gai Luron,0,5.70000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153032,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 17:10,23148035,Rimpoche,1,1.73735490,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212152930,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 13:33,54245961,Winstonpresident,1,2.16000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153030,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:35,50816426,Joyeuse Roque,0,12.57715246,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212152928,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 12:58,44163714,Jonca De Thaix,1,1.85000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153022,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:15,40411719,Harry Conti,0,3.02058966,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153028,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:00,9274412,Gibralfaro,1,2.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153030,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:35,44435335,Just A Princess,1,9.05709661,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153026,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 15:25,41147422,Winteriscoming,0,2.88500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153028,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:00,7386752,Igor,0,2.48715634,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212152930,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 13:33,54245965,Balki Day,0,6.61120672,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153032,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 17:10,36702265,Hoplaboum,0,12.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153022,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:15,16174617,Polinuit,0,12.45000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153022,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:15,39932316,Harmonie Dainay,0,5.38450333,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153024,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:50,54245966,La Pompadour,0,2.28000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153030,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:35,47908219,Politha,1,2.96000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153022,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:15,20339043,Echo De Champdoux,1,2.78000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212152930,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 13:33,28321070,Henri Quatre,0,1.65911146,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153030,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:35,48402621,Authoryty Seven,1,2.92500000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153028,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:00,40083633,Altesse Du Berlais,1,1.77000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153028,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:00,40337680,Icare Du Seuil,1,1.41000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212152930,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 13:33,54245959,Jeu Du Gouet,0,7.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153026,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 15:25,43311214,Bon Conseil,0,2.10000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153032,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 17:10,13243991,Dernier Cri,0,2.90000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153024,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:50,54245969,Meme Pas Kap,1,1.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153030,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 16:35,50464528,Klitchko De Belair,0,6.10006146,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
212153024,Auteuil (FRA) 2nd Apr,To Be Placed,02-04-2023 14:50,54245971,Graine De Beaute,0,2.38000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
