event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
223949843,Pau (FRA) 25th Jan,1m4f Hcap,25-01-2024 13:47,50939948,Roi Mercure,0,105.75783874,54.5269,1.0000,80.00,55.00,1.00,1001.00,0.00,54.30,32.23
223949847,Pau (FRA) 25th Jan,1m2f Stks,25-01-2024 14:57,12280398,Mrs Robinson,0,22.00000000,31.2257,1.0000,34.00,32.00,1.00,1001.00,0.00,204.73,45.20
223949741,Deauville (FRA) 25th Jan,1m1f Hcap,25-01-2024 20:00,27881529,Parfaite Merill,0,3.35000000,3.1393,1.0000,4.90,3.05,2.12,2.12,0.00,3510.44,387.05
223949729,Deauville (FRA) 25th Jan,1m4f Mdn Stks,25-01-2024 16:45,54482444,Cocktail Prince,0,4.35419581,4.1748,1.0000,4.10,3.95,1.00,1001.00,0.00,2199.78,158.37
223949847,Pau (FRA) 25th Jan,1m2f Stks,25-01-2024 14:57,65262162,Betty Nelson,0,11.21113956,13.0447,1.0000,1.00,1001.00,1.00,1001.00,0.00,537.39,32.28
223949733,Deauville (FRA) 25th Jan,1m1f Hcap,25-01-2024 17:54,48617364,Polminhac,1,2.23267834,2.2582,1.0000,2.50,2.10,1.91,1.85,0.00,5632.51,2327.56
223949835,Pau (FRA) 25th Jan,2m2f Claim Chs,25-01-2024 11:19,58345662,Anne De Beaujeu,0,11.58960000,10.9613,13.2269,10.62,9.66,8.60,8.60,87.56,633.58,103.24
223949847,Pau (FRA) 25th Jan,1m2f Stks,25-01-2024 14:57,63825596,Tornilla,0,10.11806255,11.5653,1.0000,12.50,9.60,1.00,1001.00,0.00,982.50,227.77
223949837,Pau (FRA) 25th Jan,2m7f Chs,25-01-2024 11:51,40804970,Iridia,1,5.60000000,5.2537,1.0000,6.80,6.80,1.00,1001.00,0.00,1088.22,1196.70
223949841,Pau (FRA) 25th Jan,2m3f Hcap Chs,25-01-2024 13:12,51811433,Inaya Jones,0,8.03564260,10.2601,1.0000,15.00,14.50,1.00,1001.00,0.00,612.48,101.87
223949727,Deauville (FRA) 25th Jan,6f Hcap,25-01-2024 16:10,56256380,Maizieres,1,18.50000000,17.0930,1.0000,1.00,1001.00,1.00,1001.00,0.00,186.50,22.34
223949733,Deauville (FRA) 25th Jan,1m1f Hcap,25-01-2024 17:54,38555170,Vertismann,0,50.00000000,48.0572,1.0000,50.00,48.00,1.00,1001.00,0.00,49.93,10.28
223949835,Pau (FRA) 25th Jan,2m2f Claim Chs,25-01-2024 11:19,64697708,Bonita De La Serre,0,12.61117709,9.0525,8.0232,9.66,9.08,1.00,1001.00,111.40,615.09,51.17
223949837,Pau (FRA) 25th Jan,2m7f Chs,25-01-2024 11:51,42190059,Gravity Blue,0,110.00000000,32.8368,1.0000,140.00,140.00,1.00,1001.00,0.00,18.28,12.57
223949739,Deauville (FRA) 25th Jan,1m1f Hcap,25-01-2024 18:58,43473127,Maguro,0,6.65220331,8.7609,1.0000,10.50,7.60,1.00,1001.00,0.00,2440.61,78.12
