event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
226695401,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 17:15,50269706,Jolek Lises,0,4.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695403,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 17:45,67506735,Fortune Pink,0,2.28304620,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695397,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 16:07,2657228,Tortola,0,10.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695401,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 17:15,25067669,Dream In Normandy,0,4.62647861,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695407,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 18:45,17909949,By The Way,0,4.77568322,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695405,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 18:15,44712686,Pipers Hill,0,4.90382328,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695409,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 19:15,56609294,Lily Ofthe Kingdon,1,1.94000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695405,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 18:15,44591941,Touz The Stars,0,6.39271510,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695405,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 18:15,41287230,Anong,0,2.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695395,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 15:32,17596204,Raise The Stakes,0,2.90000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695405,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 18:15,64124198,Belle Fisher,0,22.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695399,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 16:42,28332633,Kew Bridge,1,8.90000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695407,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 18:45,9362543,Nabunga,1,3.25000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
226695399,Pornichet (FRA) 27th Mar,To Be Placed,27-03-2024 16:42,65824909,Lovecayan,1,5.80000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
