
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,       400627,Iron Duke                     ,      0.000000,367.570673,123.174477,12.4749294,       770,        65,         1,      1001,               4,     269.72,          0
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      2935077,Ah Joe                        ,      0.000000,64.4049661,41.6516185,8.98989373,        65,        26,        44,        44,               4,    1142.14,         24
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3020870,Tarrsille                     ,      0.000000,48.5847276,41.5530096,7.98986998,        60,        34,      1000,      1.81,               4,     979.31,    3053.96
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3040765,Cape West                     ,      0.000000,       260,161.638879,38.0579874,       330,       100,         1,      1001,           11.02,     315.99,        0.8
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3043206,Hawk Junior                   ,      0.000000,296.071004,196.485833,18.9748606,       300,        55,         1,      1001,               4,      456.7,          0
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3107720,Alyazwa                       ,      0.000000,      3.15,3.45334464,3.59974860,       4.5,         3,      1000,       3.1,               4,   81068.37,    3812.96
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3107723,Born To Rock                  ,      0.000000,15.4756996,19.7445495,8.59884346,        30,      14.5,        60,        16,               4,    3080.85,      74.28
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3133341,Tomas An Tsioda               ,      0.000000,6.64595820,7.16181375,4.03868245,       8.2,         6,         5,      1.01,               4,   14172.69,   153829.3
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3145970,Rip Van Winkle                ,      1.000000,4.13787985,3.71430005,2.47925742,       5.1,       1.9,        80,      1.36,          1965.8,   92220.96,   63276.24
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3145971,Popspeed                      ,      0.000000,        38,25.2425456,5.19491715,        38,        13,         1,      1001,               4,    2187.01,       9.48
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3145972,Tarankali                     ,      0.000000,20.7843887,13.7897099,5.47287721,        21,      11.5,        13,        13,               4,    4712.96,      104.9
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3145973,Man Of Iron                   ,      0.000000,        38,22.7868809,13.2756444,        36,        15,        48,        48,              14,    2053.22,      27.92
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3145974,Drumbeat                      ,      0.000000,22.2960442,18.5436780,19.3314481,        30,        16,      1000,      1.31,            11.7,    5392.52,    5669.56
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3145975,Force Of Habit                ,      0.000000,164.795551,69.4897066,21.1698315,      1000,        48,         1,      1001,               4,     516.84,          0
     21064591,IRE / Curr 27th Jun                                                             ,7f Mdn                                            ,27-06-2008 18:00,      3145976,Barizan                       ,      0.000000,59.1696926,38.0950324,26.3052346,        65,        27,         1,      1001,             5.5,     1093.1,        0.1
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,       635833,Kaprun                        ,      0.000000,      15.5,15.7644489,10.3087309,        20,        14,        60,       9.2,           23.78,    2870.71,     217.68
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,       948307,Grand Bay                     ,      0.000000,112.087535,49.6736230,         1,       120,        30,        80,        23,               0,     853.26,        269
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,       958167,Tangible                      ,      0.000000,17.1719221,15.6135207,12.7780272,        19,         8,        60,         8,          101.92,    4233.37,     610.76
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,      1097986,Miss Ailbhe                   ,      0.000000,126.905093,97.8492108,14.6135168,       130,        70,       130,       110,            6.36,     434.71,      35.92
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,      1115337,Qassas                        ,      0.000000,33.9203860,26.8667578,16.4398139,        40,        22,        60,        60,               4,    1500.13,      46.38
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,      1158205,Masamiyr                      ,      0.000000,55.2157048,39.9469020,         1,        55,        28,        48,        26,               0,     929.43,      49.72
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,      1164730,Prince Picasso                ,      0.000000,        15,12.9732416,7.64636590,      15.5,        12,        85,        16,             140,    5412.17,      195.2
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,      1447974,El Cerro                      ,      0.000000,97.1227519,76.4060552,         1,       100,        55,       110,        19,               0,     360.85,     155.02
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,      1479536,Malande                       ,      0.000000,       8.4,7.71859478,8.64078328,         9,       6.2,      1000,       5.4,          101.66,   21803.98,    2766.02
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,      1479540,Porto Calero                  ,      0.000000,        70,49.8020847,14.5892804,        70,        34,        60,        60,               4,     723.71,      21.92
     21064593,IRE / Curr 27th Jun                                                             ,1m4f Stks                                         ,27-06-2008 18:30,      1526549,Carlowsantana                 ,      0.000000,        70,44.5625745,         1,        70,        32,        65,        60,               0,    1002.23,      34.26
