EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
112314510,IRE / Leop 27th Dec,2m Mdn Hrd,27-12-2013 12:20,6911889,Circes Island,0,177.128413679,137.902094962889161299231938569318133382,65.6166734867944596838910612546205819257,210,55,1000,60,28.36,677.88,136.16
112314510,IRE / Leop 27th Dec,2m Mdn Hrd,27-12-2013 12:20,7272328,Golden Silence,0,170,158.417498422512687066573001263521787794,132.332612329839141487806421177290852725,260,100,1000,23,9.42,514.38,267.66
112314522,IRE / Leop 27th Dec,2m4f INHF,27-12-2013 15:30,7821355,Kisha Lad,0,212.50826113855464,212.955339297234283856073977109432295365,77.4210698298832612231692142099332192277,310,70,350,75,13.58,801.26,342.2
112314522,IRE / Leop 27th Dec,2m4f INHF,27-12-2013 15:30,7131006,Flags Pass,0,23.946037569,21.141365619886956399858896781802899281,14.8255154438342697027355137622928821627,26,18,570,15,66.46,7141.72,1544.64
112314516,IRE / Leop 27th Dec,2m Nov Hrd,27-12-2013 13:50,7220355,Gambling Girl,0,27.076309615,26.54502957893362241598621048570067729,20.0181274256369015598883011304713863021,40,17,1000,26,397.26,11675.72,797.4
112314520,IRE / Leop 27th Dec,3m Hcap Chs,27-12-2013 14:55,3575450,Sumkindasuprstar,0,249.887818952,266.794301820036199113386871768157505098,98.7316359440071278922042789542086562258,330,79.48,1000,40,17.54,727.36,484.02
112314520,IRE / Leop 27th Dec,3m Hcap Chs,27-12-2013 14:55,4679807,The Shepherd King,0,43.453399414,55.3145970124861619925995619773100049759,66.8915009266458274928959978435970002287,80,44,200,22,126.48,3239.02,343.76
112314520,IRE / Leop 27th Dec,3m Hcap Chs,27-12-2013 14:55,5216614,Undertheboardwalk,0,60,53.673449166966714457673503313602967371,60.6952265665405503535369734678402321564,80,40,210,44,96.3,3008.68,252.18
112314520,IRE / Leop 27th Dec,3m Hcap Chs,27-12-2013 14:55,5406927,Daring Article,0,14.776337409898698,11.0906210736965309719626742420434473424,11.2839817051487589744304971351175938071,14.5,9.4,1000,10,12544.8,54311.44,3870.6
112314520,IRE / Leop 27th Dec,3m Hcap Chs,27-12-2013 14:55,4271745,Questions Answered,0,28,23.9870782398892532110859403990744868672,22.0803056437055598521231055658959610838,28,20,990,20,473.5,7366.4,1197.64
112314525,IRE / Lim 27th Dec,2m Mdn Hrd,27-12-2013 12:30,7869179,Deano,0,43.90238252147333,37.0043954080545455609050182074422983806,34.2062205251939443343810651259854787583,60,34,1000,28,21.26,1379.88,466.86
112314527,IRE / Lim 27th Dec,2m3f Hrd,27-12-2013 13:05,5195393,Flycorn,0,30.785525538390793,30.840934767534593086323887835571382241,20.4250835544508106174731848340064032608,36,23,1000,20,18.84,4646.24,3761.32
112314531,IRE / Lim 27th Dec,2m Hcap Hrd,27-12-2013 14:05,5959520,Mooneys Cottage,0,25.077022838044695635,19.8962582380535029446135969247043263686,19.7882717342111355971104638820185988015,38.6,19.3,990,21.14,8.36,3097.82,538.9
112314529,IRE / Lim 27th Dec,2m4f Hcap Hrd,27-12-2013 13:35,6142261,Vincent Row,0,26.731236949310553036,23.4227220511834327399112699861889716261,27.1091068993804171215979224873822499017,34.96,23.3,160,3.05,19.9,4347.4,3484.26
112314533,IRE / Lim 27th Dec,2m3f Hcap Chs,27-12-2013 14:35,6946422,Dick Dundee,0,20,17.7973374931781736226775651717036513001,9.3900099552335787198679752413124311793,23,9.8,1000,5.4,67.04,5453.8,4762.98
112314535,IRE / Lim 27th Dec,2m6f Mdn Chs,27-12-2013 15:10,5971275,Clear Hills,0,19.902378950108243,16.1674013328146762762148983319352102109,19.7181984016175677641852708792446207679,26,19,990,22,14,2227.52,614.66
112314535,IRE / Lim 27th Dec,2m6f Mdn Chs,27-12-2013 15:10,6614045,Shingle Bay,0,171.50588831747072,129.523464972747319127013922586193053715,1,250,120,1000,50,0,495.66,406.12
112314537,IRE / Lim 27th Dec,2m INHF,27-12-2013 15:45,7743269,Lenora,0,11.950560120536682,10.2079702711896080280700346520699924699,9.83804303708964675455044682174735177913,15,10.5,900,9.8,32.12,6390.56,3319.38
112314537,IRE / Lim 27th Dec,2m INHF,27-12-2013 15:45,8156878,Missed Cloud,0,36.37253141330971,24.8007652613102905574692581911820049245,1,40,17.36,1000,24,0,1781.06,1509.84
112314510,IRE / Leop 27th Dec,2m Mdn Hrd,27-12-2013 12:20,4869132,Blackball,0,546.0553544724727,601.189175225627124185292801323726655806,174.626927837368542641566129151041534114,940,170,530,450,4.88,135.22,21.14
112314510,IRE / Leop 27th Dec,2m Mdn Hrd,27-12-2013 12:20,8168083,Sea Beat,0,70.93230972513135,67.4847270064017525946944825407703072356,21.221396016977720721861448556817283418,110,42,1000,5.3,16.82,978.86,1994.06
112314512,IRE / Leop 27th Dec,2m Mdn Hrd,27-12-2013 12:50,5547992,Rich Coast,0,4.4,4.52616044288241912666008760339775336131,5.88086697465696415499786722677153534779,6.2,4.4,1000,4.3,534.28,44864.82,15801
112314522,IRE / Leop 27th Dec,2m4f INHF,27-12-2013 15:30,8168086,Subtle Ben,0,25.810316494256266,30.3460572036970575372249846864095783187,24.447220542925278727210509022527091218,42,26,95,26,23.48,4415.52,1031.78
112314514,IRE / Leop 27th Dec,2m1f Grd1 Chs,27-12-2013 13:20,4382219,Rubi Light,0,25.244643235638943,27.3509420990535663419363457082141331833,38.7857518703679598122111916783319117282,48,22,1000,28,428.66,9047.72,1404.6
112314514,IRE / Leop 27th Dec,2m1f Grd1 Chs,27-12-2013 13:20,4593589,Hidden Cyclone,0,10.215297766867767,11.2920819398896921852199087130558765996,13.3829066575291301030675187975795808983,14.5,10,1000,4.1,12858.98,49902.72,11080.06
112314516,IRE / Leop 27th Dec,2m Nov Hrd,27-12-2013 13:50,6936059,Moyle Park,0,2.3743814022690266,2.39258537512300695997333965586692270353,2.64213882166705859843239977523015315662,2.9,2.34,1000,1.33,12115.7,337910.22,58709.24
112314520,IRE / Leop 27th Dec,3m Hcap Chs,27-12-2013 14:55,3551234,Rockyaboya,1,8.826086809,10.3762984772096687238317569127148202034,13.209931007486010799175863118489308501,14.41,9,9.4,1.01,2063.52,43377.94,104311.58
112314520,IRE / Leop 27th Dec,3m Hcap Chs,27-12-2013 14:55,5678803,Sin Palo,0,99.66575222638201,98.167681532929177737176122078326518376,91.7766331169188498015867417870183829979,153.07,50,700,40,121.5,1600.08,318.36
112314518,IRE / Leop 27th Dec,2m Hcap Hrd,27-12-2013 14:20,4670165,Rocky Wednesday,1,16,15.9382573237090112318309009626317341315,10.3953038631388361554746152882964822603,18,11,140,1.01,80.22,10155.5,37610.14
112314525,IRE / Lim 27th Dec,2m Mdn Hrd,27-12-2013 12:30,6520541,Theos Well,0,3.8622071955367074,3.40986838867933331102639687743944129289,3.33367816753616779956647297011821758771,4,3.2,100,3.2,543.68,67378.38,22060.58
112314525,IRE / Lim 27th Dec,2m Mdn Hrd,27-12-2013 12:30,8079323,Paddys Faith,0,34.90447901338368,32.9445531747579544665167591613331187597,30.4655367679415543153348987691601518043,51.24,25.62,1000,30,67.82,1855.66,568.12
112314525,IRE / Lim 27th Dec,2m Mdn Hrd,27-12-2013 12:30,8168089,Big Bad Wolf,0,59.479660129256075,64.0648578023092722418641562372401027013,1,200,40,1000,55,0,923.86,202.06
