EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
204224550,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 14:45,40662566,Winning Rascal,1,2.139350398237756,1.92891894849330130004313179750668789363,1,2.16,2.16,1,1001,0,5854.72,376.28
204224550,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 14:45,41952357,Twoplustwo Equals,1,3,1.94991974276893115403310398887445336053,2.35997928031567048478496709961889404156,1,1001,1,1001,6.8,3162.9,192.28
204224550,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 14:45,41050258,Ocojohn,1,2.14,1.72512148271986952283064139564016444605,1,1,1001,1,1001,0,3747.5,526.38
204224550,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 14:45,41695408,Paddy Rocket,0,5.393159521,3.01268036983500394985685906976584193964,3.41725528386675835875123039673894047851,1,1001,1,1001,52.06,1306.46,1.8
204224565,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 16:30,4985394,King Ferdinand,1,4.341837947,3.1313233566061243747403950429807126139,1.81277971643007380486822987592624735335,1,1001,2.16,2.16,38.98,1900.84,232
204224570,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 17:05,43823515,Cracklinrose,0,1.708076626,1.60355486166882089923229276975236396494,1.58984103441627687259153660864354861806,1,1001,1,1001,4,1464.8,38.48
204224535,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 13:00,45067420,Still Ciel,1,1.12,1.13288771571251629593749265767746745849,1.2008958481477790708514984776321903872,1.12,1.11,1,1001,245.78,6796.64,487.94
204224555,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 15:20,22071713,Ricky Langford,1,4.6,3.90600772810638945386628936802831654041,1,1,1001,1,1001,0,810.76,166.88
204224555,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 15:20,16598410,Ena Baie,0,2.4035436501892393,2.43660160644455519568639072542985259122,2.21997597017028452469875593359524736634,2.4,2.4,2.36,2.36,3.3,1837.74,173.72
204224560,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 15:55,35424236,Getaclan,0,3.3729101366904803,1.65084327691954618849547176097607134159,1,1,1001,300,3.1,0,1548.66,593.4
204224560,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 15:55,38537415,Moakland,0,12.84219448,7.08714755785778557055528136643173671669,1,20,15,1,1001,0,447.4,74.44
204224560,IRE / Killarney 2nd Oct,To Be Placed,02-10-2022 15:55,20085302,Arverne,1,2.720598588602152,1.77439933299810786367610721200689874277,1,1,1001,1,1001,0,2586.84,144.54
204224673,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 13:50,36468482,New Hill,0,4.6,4.13450774699980646595652466639945829785,10.6530099071531768878729316908897259327,4.5,4.5,1,1001,44.02,2087.24,47.22
204224673,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 13:50,38163153,Star Harbour,0,3.595573634,2.24687301168674897390673677617155949693,2.97021131573028019176676454163708041574,1,1001,1,1001,7.94,2426.68,0
204224693,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 16:10,14058034,Big Island,0,1.897646175285372,2.08207688469448844873472198127217208723,2.24997973782844980082872856630994011587,1.93,1.93,7,7,20,4022.26,551.64
204224693,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 16:10,11436511,Brookie,0,4.9,4.88644156526474648703061259266306085497,1,1,1001,1,1001,0,984.42,69.32
204224678,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 14:25,16553528,Belle Image,0,11,11.181216616930964943091803092960700118,1,10.5,10.5,1,1001,0,681.06,8.7
204224678,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 14:25,29970171,Snapraeterea,0,5.3,4.98186301638732480057020386550417656157,3.09481516103846390382830452950557822331,5.7,5.7,1,1001,29.34,1043.68,.06
204224678,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 14:25,108205,Sh Boom,0,11.497778737,9.18199111059931848171047899052790883354,5.55006631214816050731217800219700447565,1,1001,1,1001,13.9,197.58,.02
204224668,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 13:15,1468921,Newport,1,4.641609431203932,2.83453435839805413860084949122829880215,2.88937576851584868380629316993865252987,4.5,4.3,1,1001,40.18,2019.38,10
204224683,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 15:00,41136392,Marvel De Cerisy,0,1.64,1.69198077524766286903192804610467043649,2.2614924794803391118178661729539930754,1,1001,1.45,1.45,26.46,3469.82,502
204224703,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 17:20,44604347,Jessqueen,1,5.758202015104469,5.21604263273762734556379376867694272829,1,1,1001,1,1001,0,458.24,384.76
204224703,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 17:20,46274030,Kalahari Diamond,0,4.2,4.26396984351247960998907295042199336839,1,4,4,1,1001,0,1429.76,198.74
204224703,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 17:20,46821541,First Dare,0,10.05656644717092,9.94575151595552870940507178725413486036,1,1,1001,760,760,0,163.92,11.78
204224703,IRE / Tipperary 2nd Oct,To Be Placed,02-10-2022 17:20,48945992,Fox In The Park,0,2.0077770274074274,2.28989593337820273236443412044975564728,3.27476558781166945930602798523374620669,2.54,2.06,1.57,1.57,7.94,4939.8,513.14
