event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
224789299,Dundalk 14th Feb,7f Mdn,14-02-2024 15:10,58108998,Andalusian Star,1,1.63106101,1.7456,2.2978,3.10,1.62,2.02,1.01,4073.27,173930.32,47365.80
224789314,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:40,51039529,Emperor Of Silk,0,69.63436676,36.8832,28.7445,70.00,28.00,780.00,75.00,16.86,1308.36,282.91
224789284,Dundalk 14th Feb,1m Mdn,14-02-2024 13:40,59966069,Miss Aytan,0,437.58937273,247.0930,94.2453,440.00,55.00,1000.00,140.00,90.53,526.57,127.50
224789314,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:40,39882480,Gracesolution,0,21.85667914,15.2782,16.5194,22.00,16.00,1000.00,9.00,97.98,4187.03,1808.42
224789294,Dundalk 14th Feb,6f Hcap,14-02-2024 14:40,28583483,Patsy Fagan,0,75.00000000,53.0059,62.6031,95.00,60.00,1000.00,32.00,0.32,949.28,230.52
224789284,Dundalk 14th Feb,1m Mdn,14-02-2024 13:40,61940268,Easy Way,0,14.59748107,18.0985,19.4993,22.00,14.00,1000.00,600.00,100.94,4637.77,1306.11
224789309,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:10,19746592,Wojood,0,22.36736598,24.1270,10.6475,36.00,17.50,1000.00,14.00,14.00,2511.65,1078.03
224789284,Dundalk 14th Feb,1m Mdn,14-02-2024 13:40,65992630,Star With A Spark,0,380.00000000,205.3224,76.9696,370.00,75.00,1000.00,350.00,28.22,298.94,92.99
224789294,Dundalk 14th Feb,6f Hcap,14-02-2024 14:40,49696618,Below Deck,0,5.41301372,4.2706,2.7897,5.50,4.10,1000.00,4.30,197.17,27249.81,3516.23
224789314,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:40,45030332,Goonyaboyya,0,15.71899001,10.1960,9.1180,20.00,9.00,1000.00,14.00,298.32,12907.23,2896.06
224789299,Dundalk 14th Feb,7f Mdn,14-02-2024 15:10,63867601,Get Your Groove On,0,1000.00000000,749.5350,156.5019,1000.00,100.00,1000.00,710.00,26.02,381.59,85.85
224789309,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:10,35872490,Sioux Grit,0,226.00623187,151.0420,1.0000,270.00,44.00,1000.00,330.00,0.00,417.80,115.35
224789284,Dundalk 14th Feb,1m Mdn,14-02-2024 13:40,28527166,Little Empire,0,280.00000000,140.6624,58.3908,280.00,60.00,1000.00,80.00,67.92,527.02,189.44
224789284,Dundalk 14th Feb,1m Mdn,14-02-2024 13:40,50008627,Gioiella,0,5.83500912,4.5405,4.1732,5.80,3.60,1000.00,5.40,877.14,22830.13,3214.83
224789299,Dundalk 14th Feb,7f Mdn,14-02-2024 15:10,64778510,Mm Dragonfly,0,18.00000000,14.1569,13.4141,19.00,10.00,1000.00,17.00,45.56,5533.94,2573.35
224789299,Dundalk 14th Feb,7f Mdn,14-02-2024 15:10,64935746,Posh Maisie,0,10.50000000,10.6049,6.7438,12.50,6.00,1000.00,3.80,295.18,10762.53,6426.98
224789309,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:10,28261416,Mille Miglia,0,45.02770484,41.0917,26.1525,55.00,16.50,1000.00,29.00,46.80,1612.94,560.73
224789309,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:10,26486480,Curious Bride,0,17.04040696,20.3310,19.9665,27.00,16.00,1000.00,20.00,108.90,3049.47,1017.05
224789319,Dundalk 14th Feb,1m2f Hcap,14-02-2024 17:15,39101324,Seattle Creek,0,5.70000000,5.2293,4.3043,6.60,3.90,1000.00,5.20,735.16,16610.57,4230.49
224789309,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:10,40115393,Alphonse Le Grande,0,6.20000000,6.3284,4.4064,7.60,3.75,1000.00,4.80,1249.48,19726.42,4312.87
224789314,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:40,175463,Picpoul,0,8.12299738,6.5325,6.5437,11.00,7.37,14.50,7.80,517.39,11806.90,2978.24
224789309,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:10,59391306,Sunny Dude,0,12.65417475,12.6535,16.0496,16.00,9.80,1000.00,11.50,130.04,6416.95,1551.40
224789289,Dundalk 14th Feb,2m Hcap,14-02-2024 14:10,52680358,Firm Belief,0,106.16175784,80.8262,84.4621,130.00,55.00,1000.00,9.60,7.28,1034.84,1543.99
224789319,Dundalk 14th Feb,1m2f Hcap,14-02-2024 17:15,28074391,Pachmena,0,25.16144705,15.8728,25.2402,32.00,21.00,1000.00,21.00,59.72,5602.09,1997.84
224789289,Dundalk 14th Feb,2m Hcap,14-02-2024 14:10,51623314,Honketonk Angel,0,43.17643580,31.0705,25.2765,60.00,20.00,1000.00,60.00,136.48,2720.67,741.51
224789284,Dundalk 14th Feb,1m Mdn,14-02-2024 13:40,52720286,Vector Belle,0,681.55433440,428.9283,205.4673,880.00,80.00,1000.00,1000.00,68.62,577.39,111.17
224789314,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:40,39542826,In The Cheap Seats,0,200.00000000,140.1608,40.1754,250.00,100.00,1000.00,130.00,7.38,576.82,134.79
224789284,Dundalk 14th Feb,1m Mdn,14-02-2024 13:40,376967,Morse,0,3.68803001,3.6791,3.4546,3.90,3.30,1000.00,3.30,2437.43,61720.84,5752.83
224789289,Dundalk 14th Feb,2m Hcap,14-02-2024 14:10,41324810,Riyami,1,6.60000000,5.2768,4.4647,6.80,3.90,13.00,1.01,1360.28,26990.37,21363.08
224789314,Dundalk 14th Feb,1m4f Hcap,14-02-2024 16:40,24711315,General Idea,0,60.00000000,26.0240,22.3749,75.00,32.00,510.00,55.00,5.96,2089.47,533.08
