event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,44798386,Dutch Glory,0,5.00000000,3.7458,1.0000,4.30,4.30,1.00,1001.00,0.00,3059.96,99.26
227333610,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:45,35977126,Kool One,0,23.27406786,13.0842,1.0000,22.00,11.00,1.00,1001.00,0.00,970.64,19.50
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,53159734,Ranko Express,0,3.45000000,2.8991,1.0000,1.00,1001.00,1.00,1001.00,0.00,956.28,44.06
227333615,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:15,47281856,Lord Massusus,0,2.27441192,2.2241,1.5699,2.30,2.30,1.00,1001.00,12.00,6631.13,429.95
227333558,Leopardstown 10th Apr,To Be Placed,10-04-2024 13:15,59778805,Our Lil,0,100.00000000,37.8084,32.6443,95.00,22.64,1.00,1001.00,53.12,389.62,55.68
227333615,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:15,40628198,Goldana,1,1.17247834,1.1691,1.2399,1.27,1.18,1.00,1001.00,2.00,11425.40,2225.24
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,10936345,Atlas,0,9.00000000,6.0587,1.0000,1.00,1001.00,1.00,1001.00,0.00,1148.39,74.74
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,48604349,Sneddy Eddie,0,2.82076352,2.4125,1.0000,2.82,2.82,1.00,1001.00,0.00,3126.72,360.37
227333602,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:15,47884177,Broad Daylight,0,2.88000000,2.4768,3.1010,2.82,2.82,1.00,1001.00,126.44,7110.46,322.93
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,45254963,Play It Again Zaam,0,2.58000000,2.3289,2.9096,1.00,1001.00,1.00,1001.00,8.48,3471.26,387.29
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,54982099,Sunday Evening,0,3.20000000,2.6592,4.4113,1.00,1001.00,1.00,1001.00,46.56,1608.75,107.23
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,49278662,Merisi Diamond,1,1.26730179,1.2525,1.2999,1.26,1.23,1.20,1.20,3.44,5929.32,2901.94
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,43310047,Eyeshadow,0,8.31541884,6.2224,1.0000,1.00,1001.00,1.00,1001.00,0.00,1184.60,89.13
227333615,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:15,26451320,Big Gossey,0,13.96335961,8.6565,2.7413,1.00,1001.00,1.00,1001.00,21.64,1143.04,115.55
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,10007447,Cage Rattler,1,7.80000000,8.1199,1.0000,10.00,7.40,1.00,1001.00,0.00,2618.36,217.78
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,10097614,Captured,0,15.50000000,13.4618,1.0000,19.00,14.50,1.00,1001.00,0.00,852.23,41.23
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,39947038,Laurens Company,0,5.19887469,5.2557,1.0000,6.60,5.00,1.00,1001.00,0.00,1994.06,156.20
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,40980710,Racing Royalty,0,1.94000000,2.1635,2.6322,1.00,1001.00,1.00,1001.00,10.38,2313.56,512.44
227333558,Leopardstown 10th Apr,To Be Placed,10-04-2024 13:15,5581,Flight Of Fancy,1,1.50000000,1.5678,1.8292,1.80,1.75,1.00,1001.00,539.62,8975.82,1055.58
227333602,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:15,20377742,The Names Jock,0,36.00000000,15.0165,1.0000,36.00,12.50,980.00,980.00,0.00,927.80,62.47
227333558,Leopardstown 10th Apr,To Be Placed,10-04-2024 13:15,61762061,Galileo Dame,1,1.17000000,1.1802,1.2885,1.27,1.19,1.00,1001.00,119.26,7431.80,617.65
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,41101523,Man Is King,0,16.50000000,10.1790,1.0000,12.50,11.50,1.00,1001.00,0.00,1077.10,56.03
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,59966069,Miss Aytan,0,3.65000000,3.1072,1.0000,1.00,1001.00,1.00,1001.00,0.00,1502.75,81.86
227333558,Leopardstown 10th Apr,To Be Placed,10-04-2024 13:15,62228255,Rubies Are Red,1,1.15000000,1.0964,1.1255,1.10,1.10,1.00,1001.00,131.82,10939.09,1449.40
227333580,Leopardstown 10th Apr,To Be Placed,10-04-2024 13:45,68072919,Inner Success,0,7.60000000,5.1690,3.6157,1.00,1001.00,1.00,1001.00,10.92,1599.87,61.56
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,28723446,Clear Quartz,0,6.34430079,6.0167,1.0000,7.00,5.40,1.00,1001.00,0.00,2864.14,177.96
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,43790508,Gobi Star,0,14.50000000,7.9050,1.0000,9.60,6.60,1.00,1001.00,0.00,2484.83,29.91
227333602,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:15,39422626,Mollys Gamble,0,14.50000000,13.2394,1.0000,18.00,12.00,980.00,980.00,0.00,1765.81,69.66
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,13446565,Pale Ale,0,25.86138253,14.4935,1.0000,30.00,25.00,1.00,1001.00,0.00,548.10,100.03
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,57385452,Saffronandblue,1,2.63731532,2.3818,1.0000,1.00,1001.00,2.28,2.28,0.00,3644.77,636.13
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,13582903,Brains,1,3.30000000,3.5208,3.9610,1.00,1001.00,1.00,1001.00,9.64,2767.49,493.28
227333610,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:45,56365996,Norwalk Havoc,1,3.90000000,4.3393,1.0000,6.20,5.50,1.05,1.05,0.00,2950.88,725.63
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,25396987,Manhattan Dandy,1,2.96316735,2.4872,1.0000,1.00,1001.00,1.00,1001.00,0.00,2740.10,690.79
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,38275315,Perseids,0,55.00000000,32.3400,7.9998,1.00,1001.00,1.00,1001.00,1.04,127.62,30.73
227333580,Leopardstown 10th Apr,To Be Placed,10-04-2024 13:45,401215,Himalayan Heights,0,3.65000000,3.5284,3.9546,1.00,1001.00,1.00,1001.00,11.02,2084.48,39.52
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,56134894,Velvet And Vine,0,3.72785029,3.2332,1.0000,3.65,3.50,1.00,1001.00,0.00,3033.06,52.91
227333602,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:15,40562998,Mr Rango,1,1.94350378,1.7296,1.8392,1.88,1.88,1.00,1001.00,40.24,6646.23,939.00
227333602,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:15,26351705,Belgoprince,0,11.00000000,8.8068,5.2999,12.00,12.00,1.00,1001.00,4.00,1138.81,39.57
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,35576009,Orandi,0,4.15459757,3.7492,3.0201,3.90,3.90,980.00,980.00,17.10,2341.07,450.34
227333615,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:15,36436324,Power Under Me,1,2.48000000,2.4883,1.9651,2.56,2.44,1.00,1001.00,6.00,4905.20,1345.85
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,13125226,Lisieux,0,2.42000000,2.2178,3.0141,2.52,2.52,1.00,1001.00,53.52,3916.50,685.35
227333602,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:15,28633412,Laelaps,0,10.00000000,10.5836,4.9998,16.50,11.50,1.00,1001.00,2.00,1686.76,142.45
227333558,Leopardstown 10th Apr,To Be Placed,10-04-2024 13:15,15708068,Ob La Di,0,3.20000000,2.7857,3.1923,3.20,2.90,1.00,1001.00,9.34,3244.37,124.06
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,45501358,Hes Justagent,0,9.94489649,8.6264,1.0000,11.50,10.00,1.00,1001.00,0.00,1899.24,107.51
227333558,Leopardstown 10th Apr,To Be Placed,10-04-2024 13:15,68072916,Luxurious Princess,0,12.50000000,7.6411,3.5883,12.00,5.00,1.00,1001.00,10.98,1079.75,35.73
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,48213860,Atbay,1,2.04778682,1.7431,1.0000,2.34,2.34,1.00,1001.00,0.00,3557.75,1064.18
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,46434444,Desert Haven,1,3.68738559,3.4402,2.5615,1.00,1001.00,1.00,1001.00,4.08,1745.60,582.15
227333620,Leopardstown 10th Apr,To Be Placed,10-04-2024 15:45,23742624,Mogwli,0,1.91000000,1.9296,1.9299,1.94,1.81,1.00,1001.00,15.82,6644.62,440.46
227333625,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:15,47059328,Trident Star,0,6.79323227,4.8223,6.1962,6.20,6.20,1.00,1001.00,51.32,763.54,76.22
227333602,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:15,13401123,Walhaan,0,4.10000000,3.2983,4.0169,1.00,1001.00,1.00,1001.00,7.56,1302.11,80.96
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,53920048,So Messi,1,2.86059652,2.5239,1.0000,1.00,1001.00,1.00,1001.00,0.00,3021.00,581.69
227333610,Leopardstown 10th Apr,To Be Placed,10-04-2024 14:45,59393083,Gallantly,1,1.12198008,1.0999,1.1354,1.15,1.14,1.00,1001.00,22.50,15779.77,1997.12
227333630,Leopardstown 10th Apr,To Be Placed,10-04-2024 16:50,44798388,Lisamaria,0,1.87000000,1.7354,2.1454,1.93,1.82,980.00,980.00,50.18,6270.61,626.89
