EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
122680185,RSA / Fair (RSA) 22nd Jan,R7 1200m Hcap,22-01-2016 13:35,4875405,Cup Cake,1,5.008818139,1,1,1,1001,1,1001,0,0,0
122680185,RSA / Fair (RSA) 22nd Jan,R7 1200m Hcap,22-01-2016 13:35,8145897,Mystic Express,0,4,1,1,1,1001,1,1001,0,0,0
122680185,RSA / Fair (RSA) 22nd Jan,R7 1200m Hcap,22-01-2016 13:35,8935623,Kumiko,0,11,1,1,1,1001,1,1001,0,0,0
122680187,RSA / Fair (RSA) 22nd Jan,R8 1200m Hcap,22-01-2016 14:15,8493514,Summer Cruise,1,6.108005933798849,1,1,1,1001,1,1001,0,0,0
122680187,RSA / Fair (RSA) 22nd Jan,R8 1200m Hcap,22-01-2016 14:15,9391030,Picardi Pink,0,12.5,1,1,1,1001,1,1001,0,0,0
122680187,RSA / Fair (RSA) 22nd Jan,R8 1200m Hcap,22-01-2016 14:15,8532832,Tales Of Silver,0,10.400296533161018,1,1,1,1001,1,1001,0,0,0
122680189,RSA / Fair (RSA) 22nd Jan,R9 1200m Plt,22-01-2016 14:55,8456627,Captain Blackwater,0,38,1,1,1,1001,1,1001,0,0,0
122680189,RSA / Fair (RSA) 22nd Jan,R9 1200m Plt,22-01-2016 14:55,7148289,Zander,0,4.757259136775247,1,1,1,1001,1,1001,0,0,0
122680189,RSA / Fair (RSA) 22nd Jan,R9 1200m Plt,22-01-2016 14:55,9163531,Paulus,0,53.388743082322186,1,1,1,1001,1,1001,0,0,0
122680175,RSA / Fair (RSA) 22nd Jan,R2 1200m Plt,22-01-2016 10:35,10706738,Quera,0,14.356750097493642,1,8.40175516882344191581139372304030938569,1,1001,1,1001,134.46,0,0
122680175,RSA / Fair (RSA) 22nd Jan,R2 1200m Plt,22-01-2016 10:35,1104537,Salinger,1,3.4,1,2.99681018953332614820859443563411291937,1,1001,1,1001,2597.96,0,0
122680179,RSA / Fair (RSA) 22nd Jan,R4 1600m Plt,22-01-2016 11:45,8193658,Quick Step Rosie,0,15.893248355,1,1,1,1001,1,1001,0,0,0
122680181,RSA / Fair (RSA) 22nd Jan,R5 1000m Hcap,22-01-2016 12:25,8603578,Skrik Vir Niks,1,8.2,1,1,1,1001,1,1001,0,0,0
122680181,RSA / Fair (RSA) 22nd Jan,R5 1000m Hcap,22-01-2016 12:25,17016,Flicker,0,8.243473646751337,1,1,1,1001,1,1001,0,0,0
122680183,RSA / Fair (RSA) 22nd Jan,R6 1200m Hcap,22-01-2016 13:00,8744601,Sail Intotheclouds,0,17.72290342751399396793,1,1,1,1001,1,1001,0,0,0
122680235,RSA / Grey (RSA) 22nd Jan,R2 1800m Hcap,22-01-2016 16:25,10155975,The Gingerman,0,5.916092219708808,1,1,1,1001,1,1001,0,0,0
122680235,RSA / Grey (RSA) 22nd Jan,R2 1800m Hcap,22-01-2016 16:25,10413993,Jama,0,4.3,1,1,1,1001,1,1001,0,0,0
122680237,RSA / Grey (RSA) 22nd Jan,R3 1800m Hcap,22-01-2016 16:55,7766705,Secret Lover,0,30,1,1,1,1001,1,1001,0,0,0
122680239,RSA / Grey (RSA) 22nd Jan,R4 1400m Plt,22-01-2016 17:25,10110156,Seattle Wolf,0,19,1,1,1,1001,1,1001,0,0,0
