event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
224070771,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:10,52509770,Avoontoast,0,4.10000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070765,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 12:25,527341,Follow The Sun,0,1.74000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070759,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 10:40,65328060,Silver Parasol,0,1.34177964,1.0000,1.1327,1.00,1001.00,1.00,1001.00,2095.27,0.00,0.00
224070763,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 11:50,13676265,Tyrconnell,1,1.09495451,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070771,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:10,38869595,Kwazzis Lady,0,14.99925705,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070763,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 11:50,59385201,Sovereigns Call,0,7.41820120,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070769,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:35,43403305,Star Coin,0,3.75000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070767,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:00,36600793,Cosmic Star,1,2.21490748,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070771,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:10,50985027,Spring In Heaven,0,3.28291036,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070771,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:10,13218235,Bonete,1,2.64000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070763,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 11:50,55681356,Mvelelo,1,1.93000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070763,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 11:50,65328068,Forest God,0,2.18077423,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070767,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:00,507189,Cornwall,0,3.35662598,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070763,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 11:50,61373993,Force De Dieu,0,3.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070769,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:35,1065462,Crimson King,1,6.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070759,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 10:40,19918504,Across The Pond,1,11.59258791,1.0000,1.4963,1.00,1001.00,1.00,1001.00,173.62,0.00,0.00
224070767,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:00,7704458,Angel Of War,0,4.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070767,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:00,48490329,Champion Warrior,0,2.96307912,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070759,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 10:40,65328062,Too Late My Mate,0,4.70000000,1.0000,2.9919,1.00,1001.00,1.00,1001.00,1072.22,0.00,0.00
224070771,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:10,36204547,Red Maple,1,3.03205667,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070773,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:45,2560302,Nuclear Force,0,2.10000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070765,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 12:25,61227189,Empressofnormandy,1,1.26543551,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070769,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:35,40251364,Whafeef,0,6.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070773,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:45,40365868,Indian War Dance,0,2.74966902,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070765,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 12:25,64523053,Dimakos Jet,1,1.79172189,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070763,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 11:50,63094770,Battle Of Gergovia,0,16.94448878,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070767,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:00,967681,Back In Business,0,1.47857100,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070763,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 11:50,56776755,Breath Of Magic,0,6.20000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070771,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:10,260004,Mount Etna,0,7.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070767,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:00,1144756,Power Broker,1,4.40000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070773,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:45,56019310,Twenty Drachmas,1,1.81709318,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070759,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 10:40,65328059,Captains Clover,0,5.00000000,1.0000,2.7449,1.00,1001.00,1.00,1001.00,1119.71,0.00,0.00
224070769,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:35,41691404,Emirate Gina,1,3.50000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070769,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 13:35,12942982,Litigation,1,3.46524672,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070759,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 10:40,63760974,Sapphire Rain,0,19.00000000,1.0000,3.2920,1.00,1001.00,1.00,1001.00,108.50,0.00,0.00
224070759,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 10:40,40388615,Intro,0,3.93795929,1.0000,3.0356,1.00,1001.00,1.00,1001.00,724.39,0.00,0.00
224070773,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 14:45,40941577,Corapi,0,3.35000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
224070765,Turffontein (RSA) 28th Jan,To Be Placed,28-01-2024 12:25,49951526,Kiss Of Fire,0,10.00000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
