event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
225227389,Kenilworth (RSA) 24th Feb,R6 1400m Grd 3,24-02-2024 13:00,42037051,Miss Marguerite,0,60.96499621,70.7720,1.0000,70.00,65.00,1.00,1001.00,0.00,66.56,125.85
225227397,Kenilworth (RSA) 24th Feb,R10 1200m Mdn,24-02-2024 15:30,55534779,Champonelle,0,17.69992454,15.1656,1.0000,1.00,1001.00,1.00,1001.00,0.00,506.72,52.17
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,45759729,Wiccan Warrior,0,90.00000000,65.7648,1.0000,100.00,34.00,1.00,1001.00,0.00,98.44,18.72
225227395,Kenilworth (RSA) 24th Feb,R9 1200m Stks,24-02-2024 14:50,11053060,Double Dream,0,41.92832772,51.4925,1.0000,120.00,38.00,1.00,1001.00,0.00,74.68,30.82
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,45759725,Usas Hope,0,61.27551926,51.3689,1.0000,70.00,36.00,1.00,1001.00,0.00,159.46,32.96
225227397,Kenilworth (RSA) 24th Feb,R10 1200m Mdn,24-02-2024 15:30,50479879,Otis The Brave,0,53.13256871,45.7882,1.0000,1.00,1001.00,1.00,1001.00,0.00,25.61,15.75
225227387,Kenilworth (RSA) 24th Feb,R5 1600m Listed,24-02-2024 12:25,11685425,Baratheon,0,15.07196152,16.0694,1.0000,21.00,21.00,12.00,12.00,0.00,447.45,136.33
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,8729665,Charlie Croker,0,256.70720857,115.7185,1.0000,150.00,90.00,1.00,1001.00,0.00,48.84,5.68
225227397,Kenilworth (RSA) 24th Feb,R10 1200m Mdn,24-02-2024 15:30,63374114,The Us Of A,0,11.00000000,9.5911,1.0000,11.50,8.80,1.00,1001.00,0.00,824.96,234.25
225227379,Kenilworth (RSA) 24th Feb,R1 1200m Mdn,24-02-2024 10:05,64563585,Mauritius Kestrel,0,25.00000000,22.6552,10.9943,23.00,20.00,1.00,1001.00,224.97,84.15,49.76
225227379,Kenilworth (RSA) 24th Feb,R1 1200m Mdn,24-02-2024 10:05,63875677,Un Bel Di,0,3.46540219,3.4903,3.0006,3.50,3.45,1.00,1001.00,2812.71,2014.78,215.59
225227395,Kenilworth (RSA) 24th Feb,R9 1200m Stks,24-02-2024 14:50,52388801,Ticket To Vegas,0,36.60214581,37.9130,1.0000,1.00,1001.00,1.00,1001.00,0.00,92.08,54.98
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,20723227,Cafe Culture,1,9.20000000,8.4381,1.0000,12.00,4.90,1.00,1001.00,0.00,4804.85,391.94
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,41245913,Pomodoros Jet,0,2.13803043,2.1434,1.0000,2.22,2.00,3.00,3.00,0.00,13810.56,1062.65
225227395,Kenilworth (RSA) 24th Feb,R9 1200m Stks,24-02-2024 14:50,56415437,Pineapplemintgreen,1,12.78724065,9.9880,1.0000,1.00,1001.00,1.00,1001.00,0.00,453.02,450.93
225227393,Kenilworth (RSA) 24th Feb,R8 2000m Grd 1,24-02-2024 14:15,463120,Rapidash,0,8.37118802,8.2048,1.0000,1.00,1001.00,1.00,1001.00,0.00,608.60,198.06
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,60817715,Big Unit,0,36.00000000,35.6578,1.0000,38.00,34.00,1.00,1001.00,0.00,205.30,47.70
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,39200653,Sun Dazed,0,350.00000000,119.4551,1.0000,350.00,110.00,1.00,1001.00,0.00,52.14,3.80
225227379,Kenilworth (RSA) 24th Feb,R1 1200m Mdn,24-02-2024 10:05,15440058,French Flame,0,160.00000000,125.7457,53.4166,140.00,140.00,1.00,1001.00,59.95,24.26,14.36
225227379,Kenilworth (RSA) 24th Feb,R1 1200m Mdn,24-02-2024 10:05,64276795,Gimmethegoodlife,0,240.00000000,166.8183,70.0998,250.00,110.00,1.00,1001.00,58.16,23.45,15.20
225227393,Kenilworth (RSA) 24th Feb,R8 2000m Grd 1,24-02-2024 14:15,4812665,Green With Envy,1,2.54415261,2.5200,1.0000,2.78,2.42,1.00,1001.00,0.00,4402.38,840.77
225227383,Kenilworth (RSA) 24th Feb,R3 1200m Grd 3,24-02-2024 11:15,3138958,Golden Destiny,0,75.00000000,50.8913,22.3356,1.00,1001.00,1.00,1001.00,14.30,67.73,48.07
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,41513242,Beyondtheboundary,0,84.72952921,50.4478,1.0000,150.00,38.00,1.00,1001.00,0.00,484.69,42.94
225227383,Kenilworth (RSA) 24th Feb,R3 1200m Grd 3,24-02-2024 11:15,64563582,One Stripe,1,3.94026915,3.9683,4.7466,4.30,3.50,1.00,1001.00,214.28,5434.86,1897.31
225227379,Kenilworth (RSA) 24th Feb,R1 1200m Mdn,24-02-2024 10:05,1544270,Torres,0,440.00000000,194.6992,86.0587,370.00,110.00,1.00,1001.00,54.68,21.49,15.41
225227385,Kenilworth (RSA) 24th Feb,R4 1400m Stks,24-02-2024 11:50,11823260,Solomons Seal,0,140.00000000,77.8640,1.0000,60.00,60.00,1.00,1001.00,0.00,65.44,21.02
225227389,Kenilworth (RSA) 24th Feb,R6 1400m Grd 3,24-02-2024 13:00,47872774,Asiye Phambili,0,27.25632142,29.8097,1.0000,1.00,1001.00,1.00,1001.00,0.00,121.54,164.18
225227389,Kenilworth (RSA) 24th Feb,R6 1400m Grd 3,24-02-2024 13:00,43654005,Golden Hostess,0,23.00000000,18.4957,1.0000,26.00,11.00,1.00,1001.00,0.00,440.23,204.55
225227395,Kenilworth (RSA) 24th Feb,R9 1200m Stks,24-02-2024 14:50,61373988,Girl Like Us,0,19.95675676,17.2983,1.0000,16.00,16.00,1.00,1001.00,0.00,94.07,87.14
225227397,Kenilworth (RSA) 24th Feb,R10 1200m Mdn,24-02-2024 15:30,51150722,Noon Day Gun,0,12.00000000,11.2242,1.0000,10.50,10.50,1.00,1001.00,0.00,619.13,124.43
225227383,Kenilworth (RSA) 24th Feb,R3 1200m Grd 3,24-02-2024 11:15,63163136,Lion Rampart,0,10.69670200,10.2741,12.5429,10.50,10.50,1.00,1001.00,235.50,1225.89,265.45
225227393,Kenilworth (RSA) 24th Feb,R8 2000m Grd 1,24-02-2024 14:15,55136318,Beach Bomb,0,4.30000000,3.9316,1.0000,4.20,3.95,1.00,1001.00,0.00,2580.76,291.67
225227391,Kenilworth (RSA) 24th Feb,R7 1200m Grd 2,24-02-2024 13:35,53107456,Future Variety,0,10.42079527,9.4212,1.0000,10.00,10.00,1.00,1001.00,0.00,632.98,150.66
225227381,Kenilworth (RSA) 24th Feb,R2 1800m Listed,24-02-2024 10:40,53584202,Fatal Gem,0,3.80826711,3.7961,3.5279,4.10,3.60,3.55,3.00,8809.38,7506.68,446.38
225227389,Kenilworth (RSA) 24th Feb,R6 1400m Grd 3,24-02-2024 13:00,53395402,Cala Muretta,0,101.03934222,93.8164,1.0000,120.00,65.00,200.00,140.00,0.00,251.52,129.99
225227387,Kenilworth (RSA) 24th Feb,R5 1600m Listed,24-02-2024 12:25,13148630,Somerset Maugham,0,46.00000000,40.7086,1.0000,44.00,40.00,1.00,1001.00,0.00,78.82,57.83
225227395,Kenilworth (RSA) 24th Feb,R9 1200m Stks,24-02-2024 14:50,54057914,Green Valkyrie,0,24.16882859,28.2326,1.0000,1.00,1001.00,1.00,1001.00,0.00,57.76,96.69
