EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
222262899,Meydan (UAE) 8th Dec,1m3f Hcap,08-12-2023 14:40,43023872,Aldhaja,0,65.00000000,26.8619,1.0000,65.00,50.00,1.00,1001.00,0.00,247.55,74.89
222262914,Meydan (UAE) 8th Dec,6f Listed,08-12-2023 16:25,25557,Freedom Fighter,0,6.23168080,4.3654,1.0000,6.20,3.40,1.00,1001.00,0.00,3736.55,742.84
222262894,Meydan (UAE) 8th Dec,1m Mdn,08-12-2023 14:05,57150331,El Introvertido,0,110.00000000,28.3602,1.0000,110.00,40.00,30.00,30.00,0.00,142.90,67.82
222262894,Meydan (UAE) 8th Dec,1m Mdn,08-12-2023 14:05,63579876,Lost Paula,0,26.21482844,26.1066,1.0000,32.00,20.00,120.00,120.00,0.00,510.81,276.68
222262914,Meydan (UAE) 8th Dec,6f Listed,08-12-2023 16:25,64910,Leading Spirit,0,7.60000000,7.7664,1.0000,9.40,8.20,200.00,50.00,0.00,2144.20,722.75
222262894,Meydan (UAE) 8th Dec,1m Mdn,08-12-2023 14:05,18389752,Sikorsky,0,18.00000000,11.6397,1.0000,19.00,15.50,1.00,1001.00,0.00,768.62,205.00
222262899,Meydan (UAE) 8th Dec,1m3f Hcap,08-12-2023 14:40,1045557,Dubai Vision,0,12.50000000,7.4922,1.0000,12.50,8.00,200.00,140.00,0.00,1125.22,251.38
222262899,Meydan (UAE) 8th Dec,1m3f Hcap,08-12-2023 14:40,24449294,Saqqara King,0,37.15647329,19.5720,1.0000,38.00,36.00,1.00,1001.00,0.00,313.23,139.22
222262894,Meydan (UAE) 8th Dec,1m Mdn,08-12-2023 14:05,62395836,Akaarim,0,78.00191419,38.5583,1.0000,95.00,40.00,1.00,1001.00,0.00,253.06,56.12
222262919,Meydan (UAE) 8th Dec,1m1f Hcap,08-12-2023 17:00,39942260,Aeonian,0,31.59301465,40.3921,1.0000,50.00,34.00,1000.00,1000.00,0.00,113.75,82.40
222262894,Meydan (UAE) 8th Dec,1m Mdn,08-12-2023 14:05,3415952,Benzema,0,54.30269236,25.1581,1.0000,80.00,34.00,30.00,30.00,0.00,295.23,75.17
