EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
223234760,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 10:30,21749375,Alla Mahlak,1,3.31356000,1.1119,1.1119,1.00,1001.00,1.00,1001.00,423.80,423.80,0.00
223234780,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 12:30,40503637,Poster Paint,0,1.78246659,1.6987,1.0000,1.00,1001.00,1.00,1001.00,0.00,32.58,0.00
223234780,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 12:30,50917740,Imperial Ace,0,3.30845544,2.9599,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.40,3.00
223234760,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 10:30,23568917,Little Raven,0,5.44720591,1.0251,1.0244,1.00,1001.00,1.00,1001.00,237.07,230.65,6.42
223234765,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 11:00,64588750,Hobalsalam,0,2.59607741,2.2019,2.2019,1.00,1001.00,1.00,1001.00,8.00,8.00,0.53
223234775,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 12:00,62395825,Mozahim,1,1.35325311,1.3000,1.0000,1.00,1001.00,1.00,1001.00,0.00,250.55,0.00
223234770,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 11:30,39459040,Al Shibli,1,3.63505337,3.3483,1.0000,1.00,1001.00,1.00,1001.00,0.00,52.76,0.00
223234765,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 11:00,62395829,Turjman,1,1.44463888,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
223234780,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 12:30,25024664,Ghost Of The Mambo,1,3.55000000,3.8333,1.0000,1.00,1001.00,1.00,1001.00,0.00,10.20,3.81
223234785,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 13:00,49471074,Dark Candy,0,2.39993414,2.3248,1.0000,1.00,1001.00,1.00,1001.00,0.00,37.56,0.00
223234775,Jebel Ali (UAE) 6th Jan,To Be Placed,06-01-2024 12:00,16740453,Imprison,0,5.20000000,5.1133,1.0000,1.00,1001.00,1.00,1001.00,0.00,5.26,0.00
