event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,13483765,Yaas,0,5.06337691,6.4759,1.0000,1.00,1001.00,1.00,1001.00,0.00,37.16,10.02
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,64351359,Special Cigar,0,15.00000000,16.3674,1.0000,1.00,1001.00,1.00,1001.00,0.00,8.00,6.61
224609177,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:35,55063,Border Edge,0,1.83000000,2.0118,1.0000,1.00,1001.00,1.00,1001.00,0.00,416.86,14.09
224609182,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 18:10,45580655,Eye On The Prize,1,9.04135574,7.4859,1.0000,6.60,6.60,1.00,1001.00,0.00,162.86,5.70
224609167,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 16:25,61868700,Frost At Dawn,1,4.47619348,5.1405,1.0000,1.00,1001.00,1.00,1001.00,0.00,96.18,74.68
224609157,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:15,39281298,Alhezabr,0,2.83782165,2.5199,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.90,1.00
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,52966532,Mulhim,0,20.00000000,15.5221,1.0000,1.00,1001.00,1.00,1001.00,0.00,4.06,0.44
224609157,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:15,50513179,Silent Defense,0,5.98786127,6.7530,1.0000,1.00,1001.00,1.00,1001.00,0.00,22.64,2.56
224609182,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 18:10,27388541,Al Maysan,0,5.47268485,5.2604,1.0000,1.00,1001.00,1.00,1001.00,0.00,22.24,15.51
224609177,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:35,62395828,Al Arbed,1,2.04873274,1.9900,1.0000,1.00,1001.00,1.00,1001.00,0.00,1175.70,30.88
224609172,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:00,20749608,Global Heat,0,6.00000000,4.5894,1.0000,1.00,1001.00,1.00,1001.00,0.00,68.10,11.79
224609152,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:40,21067813,Thunder Blue,0,2.05400662,1.9609,1.0000,1.00,1001.00,1.00,1001.00,0.00,800.07,2.00
224609157,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:15,35493174,Branwell,0,4.25352635,3.7595,1.0000,1.00,1001.00,1.00,1001.00,0.00,54.34,8.68
224609172,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:00,25194134,Military March,0,5.90000000,6.4228,1.0000,1.00,1001.00,1.00,1001.00,0.00,33.76,18.98
224609172,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:00,45788934,Webinar,0,2.14000000,2.2215,1.0000,1.00,1001.00,1.00,1001.00,0.00,55.45,4.06
224609182,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 18:10,24530178,Exciting Days,0,8.40000000,8.1999,1.0000,1.00,1001.00,1.00,1001.00,0.00,3.04,16.90
224609182,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 18:10,50398354,Intricacy,1,2.29225686,2.0871,1.0000,2.08,2.08,1.00,1001.00,0.00,946.38,171.01
224609172,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:00,9222449,Ruling Dynasty,1,1.64385322,1.5205,1.0000,1.42,1.42,1.00,1001.00,0.00,924.50,0.00
224609157,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:15,36503218,Kaheall,0,4.63226083,4.5148,1.0000,1.00,1001.00,1.00,1001.00,0.00,20.90,10.84
224609157,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:15,21307308,Mostawaa,0,2.10000000,2.0899,1.0000,1.00,1001.00,1.00,1001.00,0.00,186.66,6.59
224609157,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:15,46536067,Jewel Genie Lamp,0,22.00000000,18.0453,1.0000,1.00,1001.00,1.00,1001.00,0.00,2.20,4.84
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,32658153,Algernon,1,2.97210899,2.1235,1.0000,1.86,1.86,1.00,1001.00,0.00,421.69,59.50
224609177,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:35,41751531,Mr Kafoo,1,1.70186613,1.7013,1.0000,1.00,1001.00,1.00,1001.00,0.00,318.46,112.99
224609152,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:40,62395833,Wheres The Wayya,0,2.32218073,2.4996,1.0000,1.00,1001.00,1.00,1001.00,0.00,352.04,34.73
224609157,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:15,38114577,Al Maroom,0,4.90000000,3.6274,1.0000,1.00,1001.00,1.00,1001.00,0.00,25.86,4.77
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,63866525,Al Pastor,0,17.50000000,16.2499,1.0000,1.00,1001.00,1.00,1001.00,0.00,4.00,4.25
224609167,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 16:25,59120904,Salvuccio,0,7.35517183,6.6634,1.0000,6.80,6.80,1.00,1001.00,0.00,78.42,0.00
224609172,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:00,28782732,Tides Of War,0,4.50000000,4.4714,1.0000,1.00,1001.00,1.00,1001.00,0.00,141.90,51.98
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,47855440,Daahes,1,2.74740769,2.9505,1.0000,1.00,1001.00,1.00,1001.00,0.00,60.44,0.00
224609177,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 17:35,28610751,Meshakel,1,6.49317388,6.2754,1.0000,1.00,1001.00,1.00,1001.00,0.00,14.50,17.01
224609162,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:50,22598938,Simjangui Godong,0,51.54825914,27.2911,1.0000,1.00,1001.00,1.00,1001.00,0.00,24.18,5.59
224609167,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 16:25,56817135,Chandigah,0,5.54920990,5.4283,1.0000,1.00,1001.00,1.00,1001.00,0.00,36.72,7.00
224609167,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 16:25,53915071,Myconian,0,9.55752743,8.4356,1.0000,1.00,1001.00,1.00,1001.00,0.00,3.70,8.51
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,3415952,Benzema,0,2.64313198,2.7402,1.0000,1.00,1001.00,1.00,1001.00,0.00,104.02,4.00
224609157,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 15:15,401208,Perfect Balance,0,5.57015796,4.8499,1.0000,1.00,1001.00,1.00,1001.00,0.00,50.86,50.84
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,45475542,Ezaj,0,2.44585939,2.1499,1.0000,1.00,1001.00,1.00,1001.00,0.00,138.37,0.00
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,40426075,Chef De Partie,0,3.40000000,3.3431,1.0000,1.00,1001.00,1.00,1001.00,0.00,107.20,21.32
224609182,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 18:10,666657,One World,0,6.40000000,6.3369,1.0000,1.00,1001.00,1.00,1001.00,0.00,23.51,10.06
224609147,Meydan (UAE) 9th Feb,To Be Placed,09-02-2024 14:05,21826004,Condor Pasa,1,2.24576422,2.3528,1.0000,1.00,1001.00,1.00,1001.00,0.00,223.82,31.05
