event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
224911185,Meydan (UAE) 16th Feb,1m3f Hcap,16-02-2024 15:50,42441801,Golden Arch,0,5.44398293,7.4547,8.1998,14.50,5.10,5.30,5.30,10.00,2551.79,1294.87
224911195,Meydan (UAE) 16th Feb,6f Hcap,16-02-2024 17:00,40475462,Aram,0,32.61789740,45.7661,1.0000,120.00,23.00,140.00,140.00,0.00,330.25,83.08
224911190,Meydan (UAE) 16th Feb,1m1f Hcap,16-02-2024 16:25,55743,Ursa Minor,0,73.16354081,61.9153,1.0000,90.00,48.00,21.00,17.00,0.00,485.43,354.85
224911195,Meydan (UAE) 16th Feb,6f Hcap,16-02-2024 17:00,62395830,Ras Al Hadd,0,8.33491654,7.7736,1.0000,8.40,6.80,170.00,170.00,0.00,1182.10,297.82
224911185,Meydan (UAE) 16th Feb,1m3f Hcap,16-02-2024 15:50,27636923,Ramaah,0,161.05131931,136.2082,1.0000,190.00,65.00,450.00,100.00,0.00,67.34,68.72
224911185,Meydan (UAE) 16th Feb,1m3f Hcap,16-02-2024 15:50,21077780,Ahesta Bero,0,7.40000000,7.2862,1.0000,7.80,7.00,6.60,5.00,0.00,1258.85,3484.07
224911180,Meydan (UAE) 16th Feb,7f Hcap,16-02-2024 15:15,45325623,Mutaany,0,55.88413738,41.7114,1.0000,120.00,55.00,22.00,11.00,0.00,334.41,274.71
224911170,Meydan (UAE) 16th Feb,1m Stks,16-02-2024 14:05,61793749,Cabrit,0,30.00000000,35.9525,1.0000,75.00,28.00,1.00,1001.00,0.00,604.45,1046.27
224911190,Meydan (UAE) 16th Feb,1m1f Hcap,16-02-2024 16:25,306932,Good Fortune,0,60.00000000,63.4798,1.0000,210.00,48.00,1.00,1001.00,0.00,501.31,100.52
224911175,Meydan (UAE) 16th Feb,1m Mdn,16-02-2024 14:40,42014029,Shinyar,0,19.94139916,19.9549,1.0000,15.00,15.00,190.00,190.00,0.00,353.86,122.83
224911190,Meydan (UAE) 16th Feb,1m1f Hcap,16-02-2024 16:25,43066089,King Of Time,0,35.77932155,21.2193,24.2258,36.00,16.00,1.00,1001.00,54.96,1809.84,225.27
224911190,Meydan (UAE) 16th Feb,1m1f Hcap,16-02-2024 16:25,19199408,All The Kings Men,0,43.53981799,47.2401,1.0000,90.00,36.00,34.00,34.00,0.00,845.78,275.66
224911195,Meydan (UAE) 16th Feb,6f Hcap,16-02-2024 17:00,50005606,Onda Ruggente,0,20.69288136,21.9529,1.0000,23.00,21.00,22.00,22.00,0.00,316.47,88.84
224911170,Meydan (UAE) 16th Feb,1m Stks,16-02-2024 14:05,64548541,Tohoku,0,81.02495550,97.4677,1.0000,350.00,60.00,880.00,11.00,0.00,184.12,365.40
