
     EVENT_ID,MENU_HINT                                                                       ,EVENT_NAME                                        ,EVENT_DT        , SELECTION_ID,SELECTION_NAME                ,      WIN_LOSE,       BSP,     PPWAP,MORNINGWAP,     PPMAX,     PPMIN,     IPMAX,     IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
-------------,--------------------------------------------------------------------------------,--------------------------------------------------,----------------,-------------,------------------------------,--------------,----------,----------,----------,----------,----------,----------,----------,----------------,-----------,-----------
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,       782748,Tiffin Deano                  ,      0.000000,        30,30.5523340,30.8743868,        40,        22,        38,       6.6,               8,       4626,    2508.02
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,       902605,Cordage                       ,      1.000000,       100,80.1541965,         1,       100,        60,       120,      1.01,               0,    1310.18,   53135.02
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,       941182,Limit                         ,      0.000000,6.87372850,6.69061667,6.90133223,        12,         5,        48,         6,           240.6,   29297.67,     3565.1
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,      1154564,Safari                        ,      0.000000,       400,487.865596,112.354441,      1000,     114.6,       690,       100,               4,     422.88,      60.72
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,      1164453,Night Groove                  ,      0.000000,       8.6,9.14840373,4.99921116,        13,       6.2,      1000,         9,            50.2,   30353.93,    3112.26
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,      1300487,Lord Adonis                   ,      0.000000,8.79088411,8.13689182,6.03540682,       9.6,       6.6,      1000,       6.8,            91.3,   25968.37,     2300.3
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,      2079539,Dr Dream                      ,      0.000000,5.01351190,4.54261274,5.71499608,      7.83,       4.1,      1000,      1.27,          443.52,   92425.06,   38082.02
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,      2224012,Amir El Jabal                 ,      0.000000,         8,7.31723595,5.40561620,       9.8,       5.8,      1000,         8,          104.22,   28358.36,    3331.72
     21000500,GB / Towc 12th May                                                              ,2m Sell Hrd                                       ,12-05-2008 18:35,      2618933,Red Odonnell                  ,      0.000000,4.28297101,4.06732994,4.52389174,       5.4,      3.75,      1000,         2,          690.32,  156102.39,   36369.32
     21000344,GB / Redc 12th May                                                              ,5f Mdn Stks                                       ,12-05-2008 14:20,      2965834,Common Diva                   ,      0.000000,        48,56.4583349,173.843493,       210,        46,         1,      1001,            44.8,    2141.14,       8.06
     21000344,GB / Redc 12th May                                                              ,5f Mdn Stks                                       ,12-05-2008 14:20,      2986876,Asian Tale                    ,      0.000000,8.14329402,9.36665764,10.0835109,      13.5,         8,       190,         7,          754.84,    31475.2,     735.84
     21000344,GB / Redc 12th May                                                              ,5f Mdn Stks                                       ,12-05-2008 14:20,      3008041,Fitzolini                     ,      0.000000,8.94549632,8.95048145,14.0484416,      15.5,       7.4,      1000,         7,          343.64,   24740.61,     1045.6
     21000344,GB / Redc 12th May                                                              ,5f Mdn Stks                                       ,12-05-2008 14:20,      3010560,Sloop Johnb                   ,      0.000000,3.25436274,2.64590969,2.70825491,       3.4,      2.14,      1000,         3,        14617.82,   515265.1,   22185.48
