EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3008022,Red Rossini,0,3.0445891212933924,2.88338719271649569430320850174474662076,3.26996277261052918732132793022194436011,3.85,2.94,1,1001,4,9733.36,84.18
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3020209,Dancing Welcome,0,1.824807236274788,1.76790173346852960642521889083512290109,1.62022481979662046318475301218555199484,1.97,1.53,1.93,1.87,1347.5,25464.84,717.9
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3045866,Private Passion,0,5.082095186121004,4.38259968406749339230433808529209096908,2.98460585932409828706961118509227497346,5.8,4.3,1,1001,80.4,3642.44,6
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3176488,Diddums,1,2.8991730615016302,2.73026811806302610030713628032930604112,1,2.94,2.64,2.92,1.02,0,11365.86,1578.46
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3186318,Zelos Girl,0,4.4,4.10318896180887574104838249964844684035,4.97180166704936946038817196590221441029,4.7,4.1,1,1001,18,3830.9,4
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3193158,Miss Pusey Street,0,1.86,1.76554808152887635549173479106905563362,1.96992269667608856810680779336061689863,1.91,1.77,5.6,1.03,4,22359.92,2757.9
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3377203,Equinity,1,5.7,5.27856269013429871324023489554543650277,1,6.4,5.7,1.05,1.05,0,2157.54,1097.28
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3462106,Theta Wave,0,2.5602965671189146,2.28459089249647844966326614675361804231,1.71931672683993827035583588710964244784,2.78,1.79,2.32,2.32,230.18,14603.24,731.98
100738400,GB / Folk 19th Aug,TO BE PLACED,19-08-2009 19:20,3558423,Sky High Kid,1,3.55,3.41252033318098140543495809167165539326,3.08375091484601127139085673586463163021,3.95,3.5,1.01,1.01,10,3613.27,1365.7
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,1267481,Strategic Mount,0,20.703455839702514,18.4286066022677971730199623997728989132,14.9945588958187861141273869701105489177,23,14,25,25,306.92,2103,14
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,1540337,Sahrati,0,8.2,8.09053603580211087029873178631988073814,7.03477357962747486361418160915737498021,9.4,6.8,7,7,698.82,4054.08,179.24
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,2006929,Seeking The Buck,0,2.96,3.06389038565149381150414808675950560424,3.16738661798057288343870697945697098012,3.3,2.9,2.72,2.72,6073.18,22162.28,540.42
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,2013358,Amanda Carter,0,12.5,12.6174798175928643698234617782396572968,10.3647161949164225260836850902542600101,15.5,9.8,11,11,420.28,2808.08,28
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,2370223,Boz,0,8.387501293689713,6.15111571288601422094360082417653819991,4.99056423239860187713966359485113773044,8.2,5.2,1,1001,519.56,3141.92,32
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,2454871,Resplendent Light,0,3.059229137645308,3.76281524719890832033292074593259431099,3.98096791953959833676626403457589607699,4.7,3,2.4,2.4,1935.08,18900.8,459.28
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,2485643,Presbyterian Nun,0,6.9648342983029226,7.24248499612997968731146864871172293742,7.76257436926069121253593476089002645063,8.2,6.4,1,1001,1121.44,6869,89.48
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,2723646,Yes Mr President,1,5.656880542254221,4.5334920218051045867553301801144502884,4.0908231022259940830144293908581938253,5.9,4.2,4.8,4.8,1286,7553.86,1756
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,2972101,Coin Of The Realm,0,5.5,4.44459051507227414855554555380959623394,4.09122129435332111352521713635898357742,5.7,3.75,5.6,5.6,1541.86,10728.86,231.76
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,3099938,Topolski,0,5.8,6.97235860885729343450814728044185760478,7.02593238377267952106201791458848647996,8.2,6,5.5,5.5,541.78,3967.76,130
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,3109108,Dazzling Light,0,7.2,7.75520185333000599342233951203797484753,7.65851037157054278179644888809045958839,9.4,7,1,1001,756.66,4758.58,12
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,3411793,Class Is Class,1,1.5164686018774,1.48820973539945413569994772906390438474,1.5695686469171958759384689042511119518,1.69,1.43,5,1.01,10546.66,82457.88,10157.6
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,3634271,Bucked Off,0,17.62632242322165,18.0817609425469952458817559693384509545,16.5470412501441601302221165166786491253,23,15.5,1,1001,276.72,2146.22,12.88
100737133,GB / York 19th Aug,TO BE PLACED,19-08-2009 13:45,3984623,Whispering Gallery,1,2.045382353726863,2.20199542173910112216221288552909501883,2.26573417549717883167088225652548721894,2.5,2.04,2,1.04,2938.94,34485.22,5657.64
100737135,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:15,850311,Baddam,0,12.040392325700086,12.2722013275380454607378654165985891016,11.7974047047831126987097723099913454578,17.5,8.6,7.2,7.2,115.64,3923.38,243
100737135,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:15,2465702,Royal And Regal,0,2.32,2.38764299681154979204761654401114766815,2.37871675166040645065941209150366686101,2.54,2.24,2.28,1.08,346.88,9366.14,4309.44
100737135,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:15,2508209,Enroller,0,2.58,2.40036159177294259564196434112743719336,2.07472286513462087728177135114324445684,2.66,2.3,1,1001,369.8,11911.98,365.28
100737135,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:15,2554438,Askar Tau,1,1.9902801015878504,1.97137323446746243746344111858651761187,1.97735040644600063631498404819612933516,2.12,1.83,2.2,1.01,278.88,17848.72,6044.36
100737135,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:15,2569756,Drill Sergeant,1,1.701179766409769,1.72389018717475408175841834388006976191,1.92359488758464273402673474052428974758,1.91,1.66,5.6,1.01,904.3,23436.58,8811.78
100737137,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:50,3804145,Corporal Maddox,0,3.702190092131022,3.98815789437579396886750052380772388681,3.65962866313520138838541050637950848996,4.7,3.35,90,16,2637.94,18170.78,166.2
100737137,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:50,3806802,Monsieur Chevalier,1,1.3733836347054693,1.36950739008168629952653776305023006059,1.32098242532570168829728065235656372464,1.44,1.29,5.1,1.01,9845.16,91627.76,8535.22
100737137,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:50,3927555,Orpen Grey,0,1.4570200503859831,1.42764706293036561622311975530244225909,1.41270906024856135368693366713718227778,1.47,1.39,1,1001,5723.44,68288.72,501.24
100737137,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:50,3966421,Showcasing,1,1.38,1.38758423563162159178738943023030824573,1.41830295727586643616883953112257518084,1.5,1.32,1.37,1.01,3208.8,53793.04,6828.78
100737137,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:50,4011694,Mr David,0,2.86,2.9564999098943471638538831239120415834,3.19251451263885196065879610115441977759,3.35,2.68,1,1001,1172,11812.2,123.52
100737137,GB / York 19th Aug,TO BE PLACED,19-08-2009 14:50,4038294,Taajub,1,3.5506628767089574,3.70405022924448876677454118970081516336,3.65511211631227024165084114809411115326,4.4,3.4,2.16,1.04,1697.24,10001.66,2675.52
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,471011,Camps Bay,0,7.982225167513535,7.39104043991973616986262707183286737214,6.53406198398359042559105681677307161846,8.4,6,1,1001,1027.28,5857.08,46
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,812056,Nanton,1,9.238698975,10.4151932369869122795717817853369785733,9.02922655788666869884268717304083623837,15,8.2,1,1001,1054.36,6289.3,213.3
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,1158191,Dansili Dancer,0,6.278206237616978,6.93446513271792336094504763682503174656,7.68543469096728041574977471723565190631,8.6,5.9,5.8,5.4,477.88,7866.14,177.54
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,1203269,Desert Sea,0,4.8,4.67681896088059231942946453314582183056,4.86532948233042543832287836666044481083,5.69,4.2,3.9,3.9,4399.4,19028.2,126.02
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,1211432,Deutschland,0,3.531033050126134,4.55061241891749225330405639402127466226,4.62416140313572041219693710241851049617,5.4,3.7,1,1001,1520.2,20790,202.2
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,1427831,Magicalmysterytour,0,4.8,5.4659002390439860201932447546492720771,5.7089055471438279490603969278971784446,6.4,4.8,4.4,4.4,1626.68,12210.1,151.5
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,1441421,Som Tala,0,14.318098836513382,12.6516843378284553234385415648861942472,9.82481799675448811072883166521304101175,19,8,13,13,378.84,5343.24,66
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,1550148,Record Breaker,0,6.791098457266345,6.77639993154594272971038814241995408858,7.75233203726001444580752087153221405204,8.8,5.2,5.6,5.6,1292.86,8554.14,184.18
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2001429,Hits Only Vic,1,4.770111626,4.5873702603114861059240009334211120387,4.90620979775956708297577773144163706877,5.3,4,4.4,4.4,2597.9,18985.78,70.8
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2029115,Ladies Best,0,6,6.22702682472856962426279099083398921013,5.98141915717358598994555779244456111119,7.6,5,7.4,7.4,1224.14,11095.14,92.52
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2440436,Siberian Tiger,0,13.72007651616994,17.4038203240447618730130104669751651467,11.2585239404004250322871574943227885511,27,9,1,1001,472.78,3548.02,4
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2445620,Sesenta,1,5.458223016338163,5.72971233083105794098342517253612689612,5.55136734131425077505820554018696051743,7,5,1,1001,2086.14,16923.64,2067.34
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2462963,The Betchworth Kid,0,8.52298728042544,7.22296272546422200374561459228319673768,5.70976125828071763303869708233023884905,9.2,5.03,7.4,7,1222.44,7100.22,266.12
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2466516,Waldvogel,0,14.399293424877829,11.7777411954015600825479654640266048707,8.99636069763850368012011359959131751709,16,8.6,1,1001,570.34,4553.34,58.12
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2485531,Red Merlin,0,3.091780929173456,2.73360655859519599727010320679495076111,2.49557560278245346601653445581816583564,3.1,2.35,3.45,3.45,3560.92,45096.72,212.58
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2569734,Manyriverstocross,0,3.8,3.95215132141248182674133508260793050069,3.95899636033400224583420874599703842539,4.2,3.75,2.6,1.43,7982.38,25997.58,1122.04
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2674523,Warringah,0,2.728326695856359,3.00497529611635836172230220618176327073,2.8751440360596347727672331987331367791,3.5,2.7,2.52,1.11,4055.38,65049.82,8961.06
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,2779795,Precision Break,0,2.8499052856219347,3.02520207831153608736466887627555338215,3.32478727797608413491581905879904784505,3.75,2.74,1,1001,7639.68,40399.32,262.62
100737139,GB / York 19th Aug,TO BE PLACED,19-08-2009 15:25,3398570,Changingoftheguard,1,1.361331015,1.4396039531991053709283913621596649786,1.64979923514198544031347048113402442227,1.7,1.34,1.65,1.01,11094.7,180464.08,9843.84
100737141,GB / York 19th Aug,TO BE PLACED,19-08-2009 16:05,3778450,Archers Road,0,2.36,2.17327150570149846716822998867037198383,2.07587578768154712228849003796965382514,2.38,2.03,2.06,1.64,2101.38,20933.96,948.1
