EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
106883464,GB / Good 26th Sep,7f Mdn Stks,26-09-2012 13:30,5599673,Provencal,0,258.943581838,225.1531123427031489765918624958837046,152.965027574217125476730689263946647157,340,85,1000,210,158.48,1135.62,77.6
106883464,GB / Good 26th Sep,7f Mdn Stks,26-09-2012 13:30,6352806,Strong Conviction,0,52.58489454981085,64.4094449830483018251959811688579522316,61.7174404522425735556550466020647046613,90,50,1000,50,474.58,4788.34,306.3
106883464,GB / Good 26th Sep,7f Mdn Stks,26-09-2012 13:30,6505024,Pythagorean,0,1.640736661266494,1.56020402799231864136633284346270786991,1.48418151897804289861123923712758904948,1.69,1.42,1000,1.25,56754.28,611808.3,79075
106883464,GB / Good 26th Sep,7f Mdn Stks,26-09-2012 13:30,6544420,Emulating,0,8.325472488458708,9.14281902216791639526353752576538095981,9.20233296349166342983417556265983203698,10.5,7.2,1000,7,3597.4,42629.92,3496.24
106883464,GB / Good 26th Sep,7f Mdn Stks,26-09-2012 13:30,6557911,Be Royale,0,820,514.058468170912850121504786331649172109,303.166284295405891863756532069727895553,890,140,1000,540,73.26,693.34,60.3
106883464,GB / Good 26th Sep,7f Mdn Stks,26-09-2012 13:30,6586763,Codebreaker,0,34,35.9171618727604316517274982542439306498,27.2600324393263115536518202547780380007,46,18,1000,22,1342.22,11119.9,754.44
106883464,GB / Good 26th Sep,7f Mdn Stks,26-09-2012 13:30,6637333,Marjus Quest,0,20.030647571489833,24.2003658180794001404483854604149522028,25.0060542955038522546647260590761500744,36,19.5,1000,14,940.06,10575.38,854.72
106883464,GB / Good 26th Sep,7f Mdn Stks,26-09-2012 13:30,6643180,Zamoyski,1,5.5,5.99134563869891590872778098687967215054,7.5858438007902151807463335855522445788,8.4,5.2,11,1.01,3649.36,58293.6,77442.8
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,20749,Sweet Deal,1,4.7,4.24318461921042667652958073002165654864,4.28053044206917223511221160928916907381,4.8,3.95,5.2,1.01,5945.04,199348.9,91688.06
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6400225,Club House,0,11.054150801,10.2276161342648366299697647709304414504,9.82075813607088085161312549800261731444,14,8.6,1000,4.7,1442.16,38464.84,7085.54
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6567812,Afro,0,276.238013177,220.801275894567284926309463728085854757,135.920672424411845252690914198729394266,460,100,1000,110,69.58,2282.92,256.2
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6641509,Cast A Vision,0,15.260345180574806,21.0661845019783060883390395826215327337,15.8123099027004910325053173529166706962,29,14.5,1000,20,577.16,15268.7,1029.88
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6658869,Foxy Dancer,0,30,26.5307066651052940369072654785323462518,24.0884890834020222347898997401310959255,34,19,1000,34,391.12,10107.02,606.82
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6662082,Mr Fitzroy,0,4.817331712218957,4.65068681534109512405393923976594766344,5.37536361075486272320610789772635240667,5.9,4.5,510,1.8,3202.86,79347.08,23525.6
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6697284,Pethers Moon,0,4.6635008367586135,4.05208492486700950752095982496475885111,5.56024655886485427246876954218646847353,7.2,3.55,1000,3.3,2748.42,181731.64,16883.34
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6697285,Backstage Tour,0,8.2,6.78616183947418496597098006895272966719,5.46854519674916210031432930618879360894,8.8,5.2,1000,2.08,3540.78,79301.56,14198.5
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6697286,Town Mouse,0,44,40.8564460140332405745262087873432621597,43.5420957222952449944144234788219256229,65,32,1000,50,284.2,8618.44,512.88
106883466,GB / Good 26th Sep,1m1f Mdn Stks,26-09-2012 14:00,6697287,Couloir Extreme,0,75,63.4829886267614212542327854910524478415,77.5159436617898339780569788218296287962,110,50,1000,75,108.22,4154.8,198.64
106883468,GB / Good 26th Sep,1m3f Hcap,26-09-2012 14:35,5730295,Tamarrud,0,5.110563675227566,5.68287055145259188818634970340434239338,8.03394031799780188459891811779539899576,8.75,4.9,1000,4,3241.1,108137.44,20396.02
106883468,GB / Good 26th Sep,1m3f Hcap,26-09-2012 14:35,5739928,Presburg,0,9.987638863370233,10.4067759055516473165928466591319616229,13.8196010397002935972925411062983616347,21.71,8.2,990,8,1331.96,76409.18,5235.38
106883468,GB / Good 26th Sep,1m3f Hcap,26-09-2012 14:35,5814819,Man Of Plenty,0,6.750054456678626,5.29745391680645107478694866327779006639,5.22277100852576715783172097899680583694,7,4.2,1000,4.2,8171.32,165257.84,12783.16
106883468,GB / Good 26th Sep,1m3f Hcap,26-09-2012 14:35,6260623,Ultimate Destiny,0,6.2,6.89249364381513702337813005137498620918,6.9290536581957936582531627702549985447,9.6,5.6,1000,4.9,2886.5,73960.72,8953.3
106883468,GB / Good 26th Sep,1m3f Hcap,26-09-2012 14:35,6287431,Zanotti,0,6.787529127298622,6.121446665858997333536926926050205033,4.69819780631669659046360121493684785814,7.2,3.97,1000,3.95,4157.5,104583.24,8107.18
106883468,GB / Good 26th Sep,1m3f Hcap,26-09-2012 14:35,6381012,Signed Up,1,4.23203662236242,4.40207979081960377445508198374623206157,3.55791522800415539796524366363430437277,5,2.96,4.5,1.01,10753.22,274011.42,114812.1
106883470,GB / Good 26th Sep,1m3f Hcap,26-09-2012 15:10,880521,Hidden Justice,0,11.35239527042868,9.94234384842429823360259404742807271999,11.7215865400985886075663173659186333676,13,8.8,1000,5,1035.68,45759.82,5996.12
106883470,GB / Good 26th Sep,1m3f Hcap,26-09-2012 15:10,5598374,Freddy Q,0,32,24.9381173300669045220745933312457653682,21.8781189886953564133550522099605950291,40.81,17.5,1000,1.13,662,19910.98,35165.48
106883470,GB / Good 26th Sep,1m3f Hcap,26-09-2012 15:10,5707914,Dandy,0,8.981130163390628,9.83976821508375237619304562752900689553,10.6403881361328746030170636037538372947,14,8.4,1000,4.1,1062.14,48953.7,5501.4
106883470,GB / Good 26th Sep,1m3f Hcap,26-09-2012 15:10,5716974,Ghost Protocol,1,5.2,5.3685693626652295746434994649709318259,8.06543082361143316876590490092852886935,9.65,4.9,18,1.01,3640.3,164880.76,74027.44
106883470,GB / Good 26th Sep,1m3f Hcap,26-09-2012 15:10,5833835,The Quarterjack,0,6.2,6.35828389654852513883693735267278699045,5.64186540863523929032717515934896428055,8,5.4,1000,3.9,2504.52,119752.7,16448.42
106883470,GB / Good 26th Sep,1m3f Hcap,26-09-2012 15:10,6039586,Ashdown Lad,0,7.149550713283552,7.36376023697143161118808007333038556742,7.59262001642886353047363063867525748557,9.8,5.9,1000,6.6,2093.96,85719.26,3040.9
106883470,GB / Good 26th Sep,1m3f Hcap,26-09-2012 15:10,6310847,Aegaeus,0,9.24555649066857,6.73955297175553741189254263385366349307,6.90165455883222873999056804755871222806,9.6,5.49,1000,5,2728.1,97346.82,7435.1
106883470,GB / Good 26th Sep,1m3f Hcap,26-09-2012 15:10,6442319,Positively,0,6,5.34829194207443553237620150507256939343,4.64344015642125652366182923327249244326,6.2,4.1,1000,2.56,4045,221437.68,25682
106883472,GB / Good 26th Sep,1m2f Listed,26-09-2012 15:40,4830851,Pisco Sour,0,4.433005079505383,5.40413975526695749843671769378769135168,8.83514979709574983787547764732297975102,9.5,4.3,1000,3.15,3470.12,180434.82,15178.34
106883472,GB / Good 26th Sep,1m2f Listed,26-09-2012 15:40,4837971,Voodoo Prince,0,13.801176959,12.6607091785863916117223234337658357047,14.0885738256279997705667408166882960638,17.1,10,1000,3.15,1953.4,69497.78,10047.32
106883472,GB / Good 26th Sep,1m2f Listed,26-09-2012 15:40,4898741,Questioning,0,7.8841131578412025,6.75246285414786279051335743984742930238,6.67026017471536741545084622048018189084,8.4,5.6,1000,6.2,4434.54,135745.52,4532.2
106883472,GB / Good 26th Sep,1m2f Listed,26-09-2012 15:40,5042391,Primevere,1,6.090596264881896,5.41857646843228300829350041132692575637,4.00503838168672516497517380761130239252,6.2,3.8,8,1.01,5638.34,159192.32,114642.02
106883472,GB / Good 26th Sep,1m2f Listed,26-09-2012 15:40,5681099,Ektihaam,0,2.46,2.46803898615714611560563087563835523732,2.39410087949377196762796586332502173427,2.7,2.22,120,2.1,21826.14,610084.8,66277.9
106883474,GB / Good 26th Sep,1m4f Hcap,26-09-2012 16:15,463117,Classic Vintage,0,60.295634975,49.7445092280439913242074774292511310225,34.786154519601042369929386460628848503,80,21.35,1000,55,635.52,15993.66,744.28
106883474,GB / Good 26th Sep,1m4f Hcap,26-09-2012 16:15,1135547,Right Stuff,0,79.11889268723809,61.3234234998312172032880130295961504174,38.2966883435952120627616941294658361151,100,19.06,1000,42,486.38,12319.58,983.22
106883474,GB / Good 26th Sep,1m4f Hcap,26-09-2012 16:15,2423813,Ramona Chase,0,28.203288358878492,25.7338345457132199085184735852316529315,17.3162533873164704683079726064593510084,36,12.96,1000,12,1408.06,21360.62,1730.78
106883474,GB / Good 26th Sep,1m4f Hcap,26-09-2012 16:15,5465938,Alkimos,0,6.867564767803032,6.1828821581893313518680011154574762303,9.79798393324258910348464332623783609353,11.06,5.5,1000,6.8,2914.08,122387.58,4522.06
106883474,GB / Good 26th Sep,1m4f Hcap,26-09-2012 16:15,5665227,Eagles Peak,1,5.510386919518222,4.78320534518076393594655385052019314832,4.53408859300432420727727948048839222112,6.87,3.75,65,1.01,13269.42,197661.44,119338.48
106883474,GB / Good 26th Sep,1m4f Hcap,26-09-2012 16:15,5814817,Rosslyn Castle,0,5.630643999844941,6.09470692644651843466390339931120223093,7.5368899432296059183231502393461891359,8.94,5.6,1000,4.6,5533.84,113338.46,9814.66
106883474,GB / Good 26th Sep,1m4f Hcap,26-09-2012 16:15,5847693,Cubanita,0,8.085845435837399,8.02275082024462827627338334326531261332,8.05529233390494793790104440205715284339,11.5,6.62,1000,2.22,3324.98,83237.02,18741.78
106883474,GB / Good 26th Sep,1m4f Hcap,26-09-2012 16:15,5924223,Cardinal Walter,0,3.27439260116771,3.10864059762126142112642509009808216461,3.06320210140798628684328509461941418061,3.75,2.83,1000,1.21,17585.34,463605.3,79671.18
106883476,GB / Good 26th Sep,6f Hcap,26-09-2012 16:50,924666,Efistorm,1,49.244522825853636,52.6356256851652090690747084972799479505,47.3446311495824510732667672369242779997,80,35.68,75,1.01,296.64,8735.98,46366.48
