EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
119295531,GB / Wind 29th Jun,TO BE PLACED,29-06-2015 20:00,8641309,Berkshire Beauty,0,4,3.8572664573683713089399224362716405618,4.17969622104097703002919982924298388095,5.4,4.2,1,1001,46.8,4658.66,34
119295531,GB / Wind 29th Jun,TO BE PLACED,29-06-2015 20:00,8800133,Madam Midnight,1,3.27430997529511,3.13891928813296882179446682182443735135,3.50463820334519190133611981513476656098,3.65,3.3,1,1001,131,6243.6,335.36
119295539,GB / Wind 29th Jun,TO BE PLACED,29-06-2015 21:00,2442153,Shifting Star,1,1.81,1.89297082360619985647887190084783097795,2.16395593278831044830330972604220839792,2.18,1.76,1.82,1.82,226.98,41218.94,1512.54
119295515,GB / Wind 29th Jun,TO BE PLACED,29-06-2015 18:00,9545568,Jewellery Quarter,0,23.023803937472408,18.0333264772652185648738304133533985594,1,23,12.5,1,1001,0,473.42,0
119295527,GB / Wind 29th Jun,TO BE PLACED,29-06-2015 19:30,5508011,Evervescent,0,3.02233229136411,3.62856727731891100483029908738001548473,3.40793969930193720117378474637943260526,4.6,3.15,1,1001,70,7295.12,130.92
119300454,GB / Muss 29th Jun,TO BE PLACED,29-06-2015 18:15,7369666,Pixie Cut,0,4.609682447129163,4.38868375001871993079655654065431152054,3.99998472434248818255098223121180063109,4.4,4.3,100,10,10.88,3009.76,91.08
119300462,GB / Muss 29th Jun,TO BE PLACED,29-06-2015 19:15,7369675,Neuf Des Coeurs,1,2.3685279761720457,2.31614229008478185496449092918012623333,2.03120785719093519709225677983455218102,2.38,2.32,1,1001,64,10033.92,871.08
119300466,GB / Muss 29th Jun,TO BE PLACED,29-06-2015 19:45,9476721,Canford Kilbey,0,1.66,1.73486918023930411220708018811638400186,2.07691256268799742487721273727209172218,1.9,1.67,1,1001,10.14,18477.96,292
119300466,GB / Muss 29th Jun,TO BE PLACED,29-06-2015 19:45,9502061,Total Power,1,17.969885129556054,19.3390733415531242009229048637189226254,1,55,16,1,1001,0,1206.9,812.72
119300470,GB / Muss 29th Jun,TO BE PLACED,29-06-2015 20:15,8622827,Jebediah Shine,0,1.37965769,1.25548333211987412936560937628146278724,1.2483191491075215565910022344468106222,1.43,1.23,1.36,1.35,120.32,50358.1,709.94
