event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
224872048,Kelso 16th Feb,To Be Placed,16-02-2024 16:32,38488674,Salamanca Bay,0,3.12565377,2.7638,2.3473,3.00,3.00,2.20,2.20,28.00,4250.01,1249.04
224872021,Kelso 16th Feb,To Be Placed,16-02-2024 13:55,54148194,Nab Wood,1,1.35416610,1.3866,1.3397,1.39,1.39,1.05,1.05,160.60,7495.50,3558.24
224872068,Wolverhampton 16th Feb,To Be Placed,16-02-2024 16:40,44695339,Carlton And Co,0,2.48000000,2.1717,2.2348,1.00,1001.00,1.00,1001.00,74.62,3673.84,367.39
224871995,Fakenham 16th Feb,To Be Placed,16-02-2024 15:10,27718209,Tupelo Mississippi,0,3.85981800,3.0705,2.3649,3.70,3.45,1.00,1001.00,8.00,5085.34,498.11
224872089,Wolverhampton 16th Feb,To Be Placed,16-02-2024 18:15,57502572,Glen Heste,0,1.68000000,1.6264,1.5204,1.64,1.58,1.00,1001.00,57.26,10713.85,863.26
224871991,Fakenham 16th Feb,To Be Placed,16-02-2024 14:40,66049872,Patriotik,1,1.78280978,1.6930,2.0999,1.78,1.70,2.10,2.10,10.00,4900.78,1174.62
224872075,Wolverhampton 16th Feb,To Be Placed,16-02-2024 17:10,54944458,Rust E Boy,1,1.78000000,1.6766,2.1530,1.69,1.69,1.00,1001.00,64.24,8681.19,932.17
224872013,Fakenham 16th Feb,To Be Placed,16-02-2024 16:50,66049878,Kissogram,0,6.28469128,4.5012,4.0999,6.20,6.00,1.00,1001.00,3.04,1533.16,136.44
224872028,Kelso 16th Feb,To Be Placed,16-02-2024 14:25,49347677,Tedtwo,1,1.14000000,1.1601,1.2086,1.20,1.14,1.00,1001.00,457.60,23543.09,3068.57
224872043,Kelso 16th Feb,To Be Placed,16-02-2024 15:25,38806837,Richmond Lake,0,2.88000000,2.6596,2.7806,2.76,2.76,1.00,1001.00,36.14,5678.52,425.51
224872082,Wolverhampton 16th Feb,To Be Placed,16-02-2024 17:45,63841027,Mimasusa,0,27.07999469,17.5811,1.0000,24.70,22.94,1.00,1001.00,0.00,647.84,85.52
224872053,Kelso 16th Feb,To Be Placed,16-02-2024 17:02,64184995,Authorized Mission,0,8.31315218,7.7982,1.0000,7.00,7.00,940.00,930.00,0.00,696.92,68.52
224872053,Kelso 16th Feb,To Be Placed,16-02-2024 17:02,61833082,Dedicated Hero,1,1.45000000,1.4517,1.8699,1.00,1001.00,1.38,1.37,3.00,7367.84,2282.29
224872048,Kelso 16th Feb,To Be Placed,16-02-2024 16:32,24209751,Dubai Days,1,1.42000000,1.4664,1.5769,1.50,1.43,1.05,1.05,454.42,12541.00,1650.89
224872109,Wolverhampton 16th Feb,To Be Placed,16-02-2024 19:45,313678,Break Point,0,30.00000000,26.3620,1.0000,1.00,1001.00,1.00,1001.00,0.00,460.83,142.39
224872075,Wolverhampton 16th Feb,To Be Placed,16-02-2024 17:10,61528817,Hits The Front,0,8.40000000,6.0444,6.6136,8.80,6.80,1.00,1001.00,105.42,2151.39,303.71
224872096,Wolverhampton 16th Feb,To Be Placed,16-02-2024 18:45,36413489,Kojin,0,40.64066749,25.1598,3.4497,44.00,38.00,1.00,1001.00,4.00,368.19,54.48
224872068,Wolverhampton 16th Feb,To Be Placed,16-02-2024 16:40,40653122,Kitaab,1,1.88346286,1.7596,1.9067,2.00,1.87,1.00,1001.00,167.06,7939.12,1617.96
224872109,Wolverhampton 16th Feb,To Be Placed,16-02-2024 19:45,46611821,Arika,0,3.30000000,2.9229,2.1599,3.20,2.66,1.00,1001.00,2.00,4074.08,201.27
224872075,Wolverhampton 16th Feb,To Be Placed,16-02-2024 17:10,58001524,Nevzilla,0,3.55000000,2.8662,3.2992,3.55,3.15,1.00,1001.00,119.16,6050.51,867.06
224872061,Wolverhampton 16th Feb,To Be Placed,16-02-2024 16:10,39835444,Glamorous Express,0,2.08932808,1.8981,2.5125,2.52,2.00,1.00,1001.00,24.46,6588.33,1279.12
224872082,Wolverhampton 16th Feb,To Be Placed,16-02-2024 17:45,13315362,Trojan Storm,1,1.40152136,1.3928,1.2825,1.44,1.44,1.99,1.99,80.44,10110.75,2069.76
224871986,Fakenham 16th Feb,To Be Placed,16-02-2024 14:10,51843790,Elpologreg,1,4.68609799,3.5180,3.1613,4.70,3.15,3.30,1.06,351.98,3527.48,1234.29
224872109,Wolverhampton 16th Feb,To Be Placed,16-02-2024 19:45,39726198,King Of York,1,2.04245584,1.9351,1.5199,1.00,1001.00,1.00,1001.00,4.00,5572.55,536.12
224872043,Kelso 16th Feb,To Be Placed,16-02-2024 15:25,5748596,Whoshotthesheriff,0,19.84104310,11.1828,8.0589,21.00,14.50,1.00,1001.00,20.00,1261.69,177.76
224872000,Fakenham 16th Feb,To Be Placed,16-02-2024 15:40,61638831,Mistymal,0,2.18770131,2.0263,3.1499,2.26,2.26,1.00,1001.00,8.00,3518.83,891.22
224871980,Fakenham 16th Feb,To Be Placed,16-02-2024 13:40,21092025,Triple Nickle,1,1.77000000,1.8879,1.8059,1.00,1001.00,1.05,1.05,31.42,3617.78,1373.33
224872089,Wolverhampton 16th Feb,To Be Placed,16-02-2024 18:15,62641228,Body Parts,1,5.62700760,5.5652,3.5499,5.70,5.70,1.00,1001.00,4.00,1444.57,431.13
224872096,Wolverhampton 16th Feb,To Be Placed,16-02-2024 18:45,52446247,Wadacre Gomez,1,1.89885523,1.6023,1.6427,1.93,1.75,1.00,1001.00,58.34,8142.48,1634.79
224872061,Wolverhampton 16th Feb,To Be Placed,16-02-2024 16:10,59093934,Back Tomorrow,1,1.85000000,1.7175,1.6444,1.87,1.84,1.00,1001.00,40.68,9751.92,1457.23
224872089,Wolverhampton 16th Feb,To Be Placed,16-02-2024 18:15,59734658,Clionia,0,7.40000000,7.7134,4.9395,7.20,7.20,1.00,1001.00,37.36,1251.45,216.53
224872028,Kelso 16th Feb,To Be Placed,16-02-2024 14:25,42387814,Boot N Shoe,0,28.87978029,20.9705,1.0000,34.00,27.00,1.00,1001.00,0.00,393.99,50.99
224872102,Wolverhampton 16th Feb,To Be Placed,16-02-2024 19:15,13228227,Rivas Rob Roy,0,18.94563805,10.9731,1.0000,1.00,1001.00,1.00,1001.00,0.00,475.53,48.94
224872053,Kelso 16th Feb,To Be Placed,16-02-2024 17:02,66049880,Balking,0,3.78592029,2.8906,1.0000,4.50,4.50,1.00,1001.00,0.00,2911.11,461.06
224872075,Wolverhampton 16th Feb,To Be Placed,16-02-2024 17:10,10325066,Restricted,0,3.67517336,3.5927,4.4201,4.80,4.20,1.00,1001.00,84.04,5445.08,726.46
224872089,Wolverhampton 16th Feb,To Be Placed,16-02-2024 18:15,63132384,Mr Tibbs,0,2.39775218,2.4130,1.0000,1.00,1001.00,1.00,1001.00,0.00,5590.59,798.93
224871995,Fakenham 16th Feb,To Be Placed,16-02-2024 15:10,42999187,Invincible Nao,1,1.64037932,1.6314,1.8500,1.00,1001.00,1.00,1001.00,48.00,6496.42,1433.25
224872096,Wolverhampton 16th Feb,To Be Placed,16-02-2024 18:45,38853813,Polling Day,0,4.40000000,3.5604,1.0000,5.00,4.80,980.00,980.00,0.00,1960.21,471.51
224872061,Wolverhampton 16th Feb,To Be Placed,16-02-2024 16:10,49257852,South Dakota Sioux,0,2.17751512,2.7057,1.0000,4.10,2.18,1.00,1001.00,0.00,9469.80,996.72
224872061,Wolverhampton 16th Feb,To Be Placed,16-02-2024 16:10,45172594,All In The Hips,0,13.95020363,9.2109,5.8345,15.00,14.00,1.00,1001.00,10.40,1285.29,208.77
224872000,Fakenham 16th Feb,To Be Placed,16-02-2024 15:40,52027585,Mountain Bay,0,23.00000000,12.1544,8.1999,23.00,23.00,1.00,1001.00,2.00,316.46,64.47
224872061,Wolverhampton 16th Feb,To Be Placed,16-02-2024 16:10,45446670,Sixties Chic,1,1.89000000,1.6790,1.6440,1.64,1.64,1.00,1001.00,148.58,7636.54,1682.02
224871995,Fakenham 16th Feb,To Be Placed,16-02-2024 15:10,44830688,El Muchacho,0,4.30000000,3.7333,3.9455,4.30,3.20,2.24,2.24,31.20,4867.39,776.97
224871995,Fakenham 16th Feb,To Be Placed,16-02-2024 15:10,41720743,Imac Wood,0,2.40966296,2.1573,2.2799,2.48,2.48,1.00,1001.00,6.00,4323.17,821.42
224872053,Kelso 16th Feb,To Be Placed,16-02-2024 17:02,61833086,Theonetowatch,0,5.60000000,3.7710,3.2098,5.20,5.20,1.00,1001.00,8.00,1357.36,203.62
224872075,Wolverhampton 16th Feb,To Be Placed,16-02-2024 17:10,59520393,Aye Fred,0,3.25000000,2.8372,3.8979,3.95,3.35,1.00,1001.00,11.06,5123.38,828.93
224872021,Kelso 16th Feb,To Be Placed,16-02-2024 13:55,16198159,Didtheyleaveuoutto,0,12.52122072,9.7803,6.3499,1.00,1001.00,1.00,1001.00,10.38,842.74,168.06
224872116,Wolverhampton 16th Feb,To Be Placed,16-02-2024 20:15,30333279,Surprise Picture,0,2.21278086,2.5080,2.9071,1.00,1001.00,980.00,980.00,20.08,4661.74,1051.82
224872089,Wolverhampton 16th Feb,To Be Placed,16-02-2024 18:15,60539256,Spyrothedragon,0,5.11048015,4.9075,4.3726,5.60,5.60,1.00,1001.00,73.46,3641.59,611.76
