event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
225857191,Hereford 9th Mar,2m Hcap Hrd,09-03-2024 16:35,42416878,Notnowlinda,1,8.00000000,8.2405,6.3955,9.20,7.00,23.00,1.01,391.05,16488.20,75638.89
225856927,Sandown 9th Mar,2m4f Nov Hcap Chs,09-03-2024 15:35,41722386,Terresita,0,4.20000000,4.2770,6.5370,8.77,4.00,1000.00,4.40,3890.66,90286.75,21849.80
225857231,Wolverhampton 9th Mar,6f Hcap,09-03-2024 17:00,49411360,Ferrous,1,4.92611500,5.2864,6.8935,8.00,4.70,4.60,1.01,1405.90,53087.98,23479.35
225857011,Ayr 9th Mar,2m NHF,09-03-2024 16:53,63486878,Yakaleo,0,2.37078141,2.0891,2.9458,2.96,2.04,990.00,2.28,934.94,168857.55,23663.88
225857056,Chelmsford City 9th Mar,1m Hcap,09-03-2024 20:00,35323710,Daphne May,0,55.00000000,47.9023,42.9820,75.00,30.00,1000.00,32.00,32.52,4142.81,832.77
225857159,Hereford 9th Mar,2m3f Mdn Hrd,09-03-2024 13:42,52480799,Gentleman Jacques,0,12.50000000,9.7076,10.4950,13.00,10.00,1000.00,7.60,347.30,10103.35,7715.30
225857238,Wolverhampton 9th Mar,7f Hcap,09-03-2024 17:35,11283,Quiet Resolve,0,1.95648998,1.8386,1.9479,2.42,1.42,1000.00,2.00,9726.29,224852.39,23940.42
225857011,Ayr 9th Mar,2m NHF,09-03-2024 16:53,66839786,Kingston James,1,5.74460176,6.7065,6.0204,8.80,5.50,7.20,1.01,118.38,24894.38,38396.80
225856920,Sandown 9th Mar,2m NHF,09-03-2024 15:00,62700121,Calli Black,0,222.33705973,229.6991,160.3046,324.71,131.64,1000.00,170.00,36.86,1705.71,469.00
225857217,Wolverhampton 9th Mar,1m1f Hcap,09-03-2024 15:50,64184994,Sycamore Gap,0,13.10615601,7.7819,5.9439,14.00,4.20,1000.00,12.00,1241.60,32385.66,4479.18
225857049,Chelmsford City 9th Mar,6f Hcap,09-03-2024 19:30,35467164,Vitalline,1,4.67159280,4.7055,4.7528,6.60,4.20,5.40,1.01,1273.17,42049.42,19281.30
225857217,Wolverhampton 9th Mar,1m1f Hcap,09-03-2024 15:50,27782432,Sense Of Worth,0,4.44618213,4.3445,7.5242,7.00,3.90,120.00,2.50,1140.76,55229.87,15965.40
225857159,Hereford 9th Mar,2m3f Mdn Hrd,09-03-2024 13:42,50397208,Dancing In Brazil,0,12.00000000,6.6348,6.7077,12.50,6.40,1000.00,6.60,900.84,18697.04,9124.10
225857231,Wolverhampton 9th Mar,6f Hcap,09-03-2024 17:00,44247387,Commander Straker,0,21.17925569,13.0939,19.9816,32.00,16.00,1000.00,6.40,321.82,9902.35,4270.98
225856902,Sandown 9th Mar,2m4f Nov Hcap Hrd,09-03-2024 13:50,51769219,Tedley,0,110.00000000,59.2239,64.4755,110.00,34.00,1000.00,70.00,738.35,4886.46,824.77
225857211,Wolverhampton 9th Mar,1m Hcap,09-03-2024 15:15,39590064,Tacarib Bay,0,16.50000000,15.1966,19.3193,24.00,15.00,1000.00,9.80,753.13,12869.43,3035.24
225857217,Wolverhampton 9th Mar,1m1f Hcap,09-03-2024 15:50,47250528,Outrace,0,21.00000000,13.9110,15.7194,22.00,13.50,1000.00,12.50,346.32,10549.91,2095.30
225856990,Ayr 9th Mar,2m Hcap Hrd,09-03-2024 15:08,24010726,Cant Stop Now,0,17.63516681,17.1308,15.4117,26.00,16.50,1000.00,2.04,130.86,10784.58,24353.67
225856990,Ayr 9th Mar,2m Hcap Hrd,09-03-2024 15:08,27413722,Atlantic Dancer,0,15.15750643,12.2019,17.4454,22.00,12.00,1000.00,7.80,339.16,14604.80,4482.88
225856946,Sandown 9th Mar,3m Hcap Chs,09-03-2024 16:10,36690002,Bangers And Cash,0,5.30000000,4.9161,6.4769,6.60,5.20,1000.00,2.12,2395.65,49706.32,41858.77
225856971,Ayr 9th Mar,2m4f Nov Hrd,09-03-2024 13:23,10084478,Got Your Back,0,4.80000000,5.2097,5.6195,6.00,4.80,1000.00,4.60,1054.19,19264.29,15208.24
225856939,Sandown 9th Mar,2m4f Hcap Chs,09-03-2024 16:40,28648727,Hudson De Grugy,0,8.71176200,6.5740,6.0725,9.00,5.40,800.00,4.10,1893.94,34504.76,18337.60
225857159,Hereford 9th Mar,2m3f Mdn Hrd,09-03-2024 13:42,50369899,Inoui Machin,1,3.60000000,3.8929,6.2388,6.40,3.55,9.00,1.01,816.24,54443.20,68747.95
225857056,Chelmsford City 9th Mar,1m Hcap,09-03-2024 20:00,54092199,Cues Beau,0,9.12774244,7.9016,7.4272,9.80,6.40,1000.00,6.60,207.31,16344.22,3612.56
225857166,Hereford 9th Mar,3m1f Hcap Hrd,09-03-2024 14:17,19068331,Robeam,0,49.59698022,72.2407,44.4939,130.00,30.00,1000.00,60.00,63.00,1294.60,579.76
225857178,Hereford 9th Mar,2m Hcap Chs,09-03-2024 15:27,22227665,Chanceux,0,4.14809253,4.3866,5.3497,8.40,3.75,1000.00,5.30,1676.47,31133.12,9704.02
225856911,Sandown 9th Mar,2m Hcap Hrd,09-03-2024 14:25,50447655,Spirit Daunou,0,21.30387761,18.3256,22.0229,28.00,13.00,1000.00,18.50,5953.93,28429.78,2172.41
225856902,Sandown 9th Mar,2m4f Nov Hcap Hrd,09-03-2024 13:50,11988148,Asta La Pasta,0,9.25347471,8.7392,9.7079,12.50,7.20,1000.00,9.60,6441.31,44032.02,6708.29
225857185,Hereford 9th Mar,2m3f Nov Hcap Hrd,09-03-2024 16:02,43823483,Silver Atom,0,10.00000000,8.7416,7.1084,12.50,6.00,1000.00,2.00,755.79,17247.66,15533.95
225857198,Hereford 9th Mar,2m NHF,09-03-2024 17:12,65014697,Portobello Girl,0,8.26532448,6.8626,7.4186,12.00,6.40,250.00,7.20,185.68,11716.98,3122.19
225856927,Sandown 9th Mar,2m4f Nov Hcap Chs,09-03-2024 15:35,39801358,Kotmask,0,5.30000000,4.5420,4.5386,5.70,4.20,1000.00,3.50,10224.21,91190.34,28227.18
225856996,Ayr 9th Mar,2m4f Hcap Chs,09-03-2024 15:43,1139495,Red Happy,0,11.89464896,9.8330,12.8293,14.00,9.80,1000.00,7.00,183.89,16122.18,14606.13
225856939,Sandown 9th Mar,2m4f Hcap Chs,09-03-2024 16:40,27782414,Es Perfecto,0,2.22238210,2.3585,2.7916,3.00,2.20,1000.00,1.97,7819.03,163165.27,68755.45
225856911,Sandown 9th Mar,2m Hcap Hrd,09-03-2024 14:25,27110020,Lively Citizen,0,55.00000000,51.1777,46.0638,70.00,32.00,1000.00,15.50,4266.08,10924.45,2662.21
225856920,Sandown 9th Mar,2m NHF,09-03-2024 15:00,59569837,Honky Tonk Highway,1,4.54178819,4.2717,4.5059,5.00,3.70,5.60,1.01,9545.94,96562.01,66745.46
225857166,Hereford 9th Mar,3m1f Hcap Hrd,09-03-2024 14:17,40212695,Cards Are Dealt,0,176.08706346,165.5871,77.3460,230.00,80.00,1000.00,55.00,9.60,737.79,605.85
225856990,Ayr 9th Mar,2m Hcap Hrd,09-03-2024 15:08,38863193,Kerosine Light,0,82.70701416,42.5992,17.6253,90.00,18.00,1000.00,65.00,130.54,4593.19,864.21
225857198,Hereford 9th Mar,2m NHF,09-03-2024 17:12,66840526,Damzon,0,75.00000000,56.3175,40.1867,140.00,70.00,1000.00,95.00,6.00,787.97,212.74
225856990,Ayr 9th Mar,2m Hcap Hrd,09-03-2024 15:08,43289782,Ruby Island,0,7.20000000,5.8248,6.1868,7.60,5.50,1000.00,6.00,375.41,22788.10,6366.73
225857036,Chelmsford City 9th Mar,5f App Hcap,09-03-2024 18:30,51234258,Tenet,0,17.50000000,12.6648,13.0733,18.00,11.50,1000.00,20.00,96.22,9066.55,950.56
225857049,Chelmsford City 9th Mar,6f Hcap,09-03-2024 19:30,50370319,Sumac,0,36.41890678,27.6177,20.5829,40.00,14.00,330.00,30.00,58.50,5251.13,646.03
225857030,Chelmsford City 9th Mar,1m2f Mdn Stks,09-03-2024 18:00,66216893,Superfluidity,0,7.74456446,5.5327,8.8624,11.00,7.20,1000.00,7.80,805.54,31315.06,8704.08
225857011,Ayr 9th Mar,2m NHF,09-03-2024 16:53,63486879,Posh Et Noir,0,475.08415309,384.7542,1.0000,590.00,180.00,1000.00,340.00,0.00,1483.44,378.01
225857030,Chelmsford City 9th Mar,1m2f Mdn Stks,09-03-2024 18:00,65038682,Hissyaan,0,20.17882656,14.8420,17.7400,24.00,12.50,1000.00,32.00,298.91,11544.16,1799.62
225857049,Chelmsford City 9th Mar,6f Hcap,09-03-2024 19:30,61761982,Tilsworth Turf,0,115.56553622,102.2599,51.3216,140.00,70.00,980.00,40.00,12.82,1453.65,356.99
225856920,Sandown 9th Mar,2m NHF,09-03-2024 15:00,65504449,Ive Madeupmymind,0,6.20000000,6.9439,7.2308,11.41,5.44,1000.00,4.10,2864.11,50334.71,11413.62
225856946,Sandown 9th Mar,3m Hcap Chs,09-03-2024 16:10,36401235,No Risk Des Flos,0,21.00000000,20.8213,25.1676,29.00,18.00,1000.00,3.50,329.76,8078.20,9432.25
225856990,Ayr 9th Mar,2m Hcap Hrd,09-03-2024 15:08,52247435,Park Annonciade,0,3.42402255,2.9025,2.8367,3.45,2.64,1000.00,3.20,2523.38,113133.00,24495.73
225857198,Hereford 9th Mar,2m NHF,09-03-2024 17:12,66840527,Eliza Storm,0,13.00000000,13.7370,16.8009,27.00,12.00,1000.00,11.00,52.75,6945.05,1572.34
225856895,Sandown 9th Mar,2m Juv Hcap Hrd,09-03-2024 13:15,7584144,Valadon,0,8.40000000,5.9978,5.3575,8.60,4.80,1000.00,5.70,4917.37,31319.60,6230.03
225857030,Chelmsford City 9th Mar,1m2f Mdn Stks,09-03-2024 18:00,127051,Bluestone,0,5.94004547,5.7937,8.6759,8.60,5.70,1000.00,4.60,525.77,32471.97,6555.95
225857062,Chelmsford City 9th Mar,7f Hcap,09-03-2024 20:30,45171121,Conquest Of Power,0,5.02414932,3.9767,5.3923,5.30,4.20,1000.00,4.70,464.86,38598.10,6407.73
225856911,Sandown 9th Mar,2m Hcap Hrd,09-03-2024 14:25,18656,Junkanoo,0,34.66135460,23.1321,27.6456,55.00,19.50,1000.00,30.00,6976.70,27796.61,2919.36
225857024,Chelmsford City 9th Mar,1m2f App Hcap,09-03-2024 17:30,41983610,Kingwell,0,9.04280658,8.5368,8.3941,9.76,7.30,300.00,5.00,387.76,10683.78,3485.11
225857174,Hereford 9th Mar,2m5f Nov Hcap Chs,09-03-2024 14:52,49417351,Harjo,0,2.08785170,2.1326,2.2500,2.52,2.02,1000.00,1.85,3049.32,107437.21,76332.34
225856895,Sandown 9th Mar,2m Juv Hcap Hrd,09-03-2024 13:15,53127827,Through The Ages,0,5.80462108,5.3105,5.7270,6.80,4.20,1000.00,4.70,8798.94,64943.93,12271.29
225857002,Ayr 9th Mar,3m Hcap Hrd,09-03-2024 16:18,51538459,Bollin Matilda,0,19.00000000,13.8120,16.7810,24.00,14.00,1000.00,29.00,158.96,6331.78,1404.12
225857178,Hereford 9th Mar,2m Hcap Chs,09-03-2024 15:27,27227332,Mackenberg,0,19.13187960,16.4377,11.8992,21.00,11.50,1000.00,1.01,326.33,5949.25,80115.23
225857198,Hereford 9th Mar,2m NHF,09-03-2024 17:12,53458179,Pearls Legacy,0,120.00000000,89.6585,135.5060,190.00,65.00,1000.00,190.00,4.00,1047.99,213.03
225857185,Hereford 9th Mar,2m3f Nov Hcap Hrd,09-03-2024 16:02,1276299,Another Lord,1,25.05945188,16.7196,24.8299,37.47,15.93,28.00,1.01,59.12,6646.30,45335.88
225857198,Hereford 9th Mar,2m NHF,09-03-2024 17:12,65436307,Lady Buttercup,0,270.00000000,188.8930,69.2249,370.00,78.62,420.00,110.00,9.92,594.50,324.92
225857062,Chelmsford City 9th Mar,7f Hcap,09-03-2024 20:30,42412022,Golden Passport,0,8.00000000,5.8565,6.2030,8.60,4.10,1000.00,7.00,1000.76,37906.72,5878.02
225857191,Hereford 9th Mar,2m Hcap Hrd,09-03-2024 16:35,22307987,Cottie,0,31.51350020,31.4030,24.8690,48.00,25.00,1000.00,38.00,82.86,4380.92,1420.07
225857042,Chelmsford City 9th Mar,5f Hcap,09-03-2024 19:00,7427652,Boom The Groom,0,15.22481315,12.9906,22.0377,27.00,13.00,1000.00,7.40,149.48,13200.21,3092.58
225857011,Ayr 9th Mar,2m NHF,09-03-2024 16:53,66839788,Madame Bluebelle,0,13.50000000,7.5395,8.6068,13.50,6.20,1000.00,8.20,206.64,18694.74,3415.13
225856902,Sandown 9th Mar,2m4f Nov Hcap Hrd,09-03-2024 13:50,53129651,Walks Like The Man,0,82.44321151,54.4225,76.2417,130.00,42.00,1000.00,70.00,515.92,5273.61,668.57
225857056,Chelmsford City 9th Mar,1m Hcap,09-03-2024 20:00,27115873,Brunel Charm,0,11.35205675,11.2101,9.7618,13.50,9.60,1000.00,8.60,165.34,12091.32,2076.73
225856996,Ayr 9th Mar,2m4f Hcap Chs,09-03-2024 15:43,43450167,Whodini,0,5.60000000,4.2321,3.3128,6.20,3.40,1000.00,1.47,1308.06,39287.54,38053.76
225857002,Ayr 9th Mar,3m Hcap Hrd,09-03-2024 16:18,41722415,Rowdy Rustler,0,26.45683122,18.5077,15.1938,28.00,12.50,1000.00,10.50,68.50,3868.71,2418.31
225856902,Sandown 9th Mar,2m4f Nov Hcap Hrd,09-03-2024 13:50,50016249,Pic Roc,0,12.65213387,11.2962,13.4973,16.00,11.50,1000.00,1.52,3717.27,29614.40,28487.01
225857002,Ayr 9th Mar,3m Hcap Hrd,09-03-2024 16:18,20983319,Dequall,0,16.75679671,12.5960,16.8507,26.00,14.00,1000.00,18.50,228.56,5986.55,1068.33
225857011,Ayr 9th Mar,2m NHF,09-03-2024 16:53,64561211,Saratoga Steve,0,44.00000000,45.5206,1.0000,65.00,34.00,1000.00,22.00,0.00,3441.84,1011.54
225857030,Chelmsford City 9th Mar,1m2f Mdn Stks,09-03-2024 18:00,62302784,Sea Ice,1,3.28287291,3.1695,2.6828,4.20,2.40,4.20,1.01,3173.80,84588.86,41994.12
225857030,Chelmsford City 9th Mar,1m2f Mdn Stks,09-03-2024 18:00,65310820,Venetian Style,0,5.06440550,3.5749,5.6129,7.00,3.90,1000.00,5.80,975.94,62559.81,13349.99
225857166,Hereford 9th Mar,3m1f Hcap Hrd,09-03-2024 14:17,54379219,Mollys Third Man,0,25.71375992,32.6940,32.1886,40.00,25.00,1000.00,19.00,150.97,2859.77,1405.41
