EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
109526998,USA / RiverD (US) 21st May,R1 6f Claim,21-05-2013 18:30,5659635,3. Te Atatu,0,,1,1,1,1001,1,1001,0,0,0
109527002,USA / RiverD (US) 21st May,R3 6f Claim,21-05-2013 19:28,6828390,5. Crossover Sue,0,,1,1,1,1001,1,1001,0,0,0
109527000,USA / RiverD (US) 21st May,R2 1m Claim,21-05-2013 18:59,6094322,1. My Cherry Pie,1,,1,1,1,1001,1,1001,0,0,0
109527004,USA / RiverD (US) 21st May,R4 6f Mdn,21-05-2013 19:57,6471624,1. Tori N Joeys Rose,0,,1,1,1,1001,1,1001,0,0,0
109527012,USA / RiverD (US) 21st May,R8 5f Claim,21-05-2013 21:53,7287720,6. All For Love,0,,1,1,1,1001,1,1001,0,0,0
109527012,USA / RiverD (US) 21st May,R8 5f Claim,21-05-2013 21:53,486156,9. Spokesman,1,,1,1,1,1001,1,1001,0,0,0
109527028,USA / FairmP (US) 21st May,R6 1m Mdn Claim,21-05-2013 21:16,6818366,10. Friskaway,0,,1,1,1,1001,1,1001,0,0,0
109527034,USA / FairmP (US) 21st May,R8 1m Claim,21-05-2013 22:12,3601535,9. Soon,0,,1,1,1,1001,1,1001,0,0,0
109527025,USA / FairmP (US) 21st May,R5 6f Claim,21-05-2013 20:49,6212350,1. C U Baby,0,,1,1,1,1001,1,1001,0,0,0
109527019,USA / FairmP (US) 21st May,R2 5f Claim,21-05-2013 19:27,5519563,7. Pimms Oclock,1,,1,1,1,1001,1,1001,0,0,0
109527021,USA / FairmP (US) 21st May,R3 6f Mdn Claim,21-05-2013 19:54,7287735,4. El Chansey,0,,1,1,1,1001,1,1001,0,0,0
109527023,USA / FairmP (US) 21st May,R4 6f Allw,21-05-2013 20:21,6051346,1. Winem All,1,,1,1,1,1001,1,1001,0,0,0
109527023,USA / FairmP (US) 21st May,R4 6f Allw,21-05-2013 20:21,6196988,4. Hinkson Creek,0,,1,1,1,1001,1,1001,0,0,0
109527031,USA / FairmP (US) 21st May,R7 5f Mdn,21-05-2013 21:44,7172478,7. Road Trippn,0,,1,1,1,1001,1,1001,0,0,0
109527031,USA / FairmP (US) 21st May,R7 5f Mdn,21-05-2013 21:44,7287756,8. Katies Wild One,0,,1,1,1,1001,1,1001,0,0,0
109527040,USA / FingL (US) 21st May,R1 5f Claim,21-05-2013 18:10,7287759,5. Bear Dance,1,3.00282367974287,1,1,1,1001,1,1001,0,0,0
109527044,USA / FingL (US) 21st May,R3 5f Claim,21-05-2013 19:04,5535868,3. Buddy Red,0,21,1,1,1,1001,1,1001,0,0,0
109527046,USA / FingL (US) 21st May,R4 5f Claim,21-05-2013 19:31,1112757,5. Radical Storm,0,41.377578499205406,1,1,1,1001,1,1001,0,0,0
109527055,USA / FingL (US) 21st May,R8 5f Claim,21-05-2013 21:19,6830979,2. Dancing Winner,0,3.977308843198408,1,1,1,1001,1,1001,0,0,0
109527051,USA / FingL (US) 21st May,R6 5f Claim,21-05-2013 20:25,5815056,1. Skiptothegold,0,1.98,1,1,1,1001,1,1001,0,0,0
109527062,USA / MountP (US) 21st May,R1 1m Mdn,22-05-2013 00:00,7287775,7. Take The Deal,0,57.774247112470334,1,1,1,1001,1,1001,0,0,0
109527065,USA / MountP (US) 21st May,R2 1m Mdn,22-05-2013 00:25,7153638,7. Isabellarella,0,19.447476704752045,1,1,1,1001,1,1001,0,0,0
109527067,USA / MountP (US) 21st May,R3 1m Claim,22-05-2013 00:50,4983803,4. Avoid,0,11.5,1,1,1,1001,1,1001,0,0,0
109527067,USA / MountP (US) 21st May,R3 1m Claim,22-05-2013 00:50,5495737,3. Milky May,0,3.70205546682846,1,1,1,1001,1,1001,0,0,0
109527093,USA / Parx (US) 21st May,R5 6f Mdn Claim,21-05-2013 19:13,7287808,2. Time For Spring,0,,1,1,1,1001,1,1001,0,0,0
109527093,USA / Parx (US) 21st May,R5 6f Mdn Claim,21-05-2013 19:13,7287810,7. Cashile,0,,1,1,1,1001,1,1001,0,0,0
109527101,USA / Parx (US) 21st May,R9 7f Claim,21-05-2013 21:01,242296,4. Dollar Bill,0,,1,1,1,1001,1,1001,0,0,0
109527101,USA / Parx (US) 21st May,R9 7f Claim,21-05-2013 21:01,4631828,2. Saturday Dance,0,,1,1,1,1001,1,1001,0,0,0
109527101,USA / Parx (US) 21st May,R9 7f Claim,21-05-2013 21:01,5661151,1. Magical Myth,0,,1,1,1,1001,1,1001,0,0,0
109527095,USA / Parx (US) 21st May,R6 7f Claim,21-05-2013 19:40,7287814,8. Tales Of Paradise,0,,1,1,1,1001,1,1001,0,0,0
109527117,USA / PrIsleD (US) 21st May,R7 6f Claim,22-05-2013 00:55,5803239,4. Hobo To Hero,0,3.45,1,1,1,1001,1,1001,0,0,0
109527111,USA / PrIsleD (US) 21st May,R4 6f Claim,21-05-2013 23:40,5495691,5. Eddie Set Go,0,6.614634912,1,1,1,1001,1,1001,0,0,0
109527111,USA / PrIsleD (US) 21st May,R4 6f Claim,21-05-2013 23:40,3236394,2. Fish,1,11.9128195674764,1,1,1,1001,1,1001,0,0,0
109527109,USA / PrIsleD (US) 21st May,R3 1m Allw,21-05-2013 23:15,6558346,5. Barrymore,1,2.405273575,1,1,1,1001,1,1001,0,0,0
109527010,USA / RiverD (US) 21st May,R7 5f Claim,21-05-2013 21:24,6755128,1A. Seek To Win,0,,1,1,1,1001,1,1001,0,0,0
109527004,USA / RiverD (US) 21st May,R4 6f Mdn,21-05-2013 19:57,7287716,9. Emira,0,,1,1,1,1001,1,1001,0,0,0
109527004,USA / RiverD (US) 21st May,R4 6f Mdn,21-05-2013 19:57,7191064,3. Shotgun Mayor Mara,0,,1,1,1,1001,1,1001,0,0,0
109527012,USA / RiverD (US) 21st May,R8 5f Claim,21-05-2013 21:53,4491808,1. Kinkcachu,0,,1,1,1,1001,1,1001,0,0,0
109527028,USA / FairmP (US) 21st May,R6 1m Mdn Claim,21-05-2013 21:16,7205352,4. Le Mat,0,,1,1,1,1001,1,1001,0,0,0
109527028,USA / FairmP (US) 21st May,R6 1m Mdn Claim,21-05-2013 21:16,7287748,6. Leggy Vit,0,,1,1,1,1001,1,1001,0,0,0
109527034,USA / FairmP (US) 21st May,R8 1m Claim,21-05-2013 22:12,5464351,6. Z Holy Ghost,0,,1,1,1,1001,1,1001,0,0,0
109527016,USA / FairmP (US) 21st May,R1 5f Mdn,21-05-2013 19:00,7287723,3. Ice Cloud,0,,1,1,1,1001,1,1001,0,0,0
109527025,USA / FairmP (US) 21st May,R5 6f Claim,21-05-2013 20:49,4596206,3. Bella Michelle,0,,1,1,1,1001,1,1001,0,0,0
109527019,USA / FairmP (US) 21st May,R2 5f Claim,21-05-2013 19:27,5614772,3. Pass The Money,0,,1,1,1,1001,1,1001,0,0,0
109527021,USA / FairmP (US) 21st May,R3 6f Mdn Claim,21-05-2013 19:54,6179387,10. Prairie Prince,0,,1,1,1,1001,1,1001,0,0,0
109527031,USA / FairmP (US) 21st May,R7 5f Mdn,21-05-2013 21:44,7287757,9. Cyber Bully,1,,1,1,1,1001,1,1001,0,0,0
109527031,USA / FairmP (US) 21st May,R7 5f Mdn,21-05-2013 21:44,7287754,5. Bold Enough,0,,1,1,1,1001,1,1001,0,0,0
109527031,USA / FairmP (US) 21st May,R7 5f Mdn,21-05-2013 21:44,7287755,6. Dr. Bud,0,,1,1,1,1001,1,1001,0,0,0
109527040,USA / FingL (US) 21st May,R1 5f Claim,21-05-2013 18:10,4914470,2. Shahzadi,0,22,1,1,1,1001,1,1001,0,0,0
109527042,USA / FingL (US) 21st May,R2 5f Claim,21-05-2013 18:37,4656261,2. Aprilmayjune,0,5.4,1,1,1,1001,1,1001,0,0,0
109527042,USA / FingL (US) 21st May,R2 5f Claim,21-05-2013 18:37,4769409,6. Saltinthecity,0,21.907706767,1,1,1,1001,1,1001,0,0,0
109527042,USA / FingL (US) 21st May,R2 5f Claim,21-05-2013 18:37,1527749,7. Florida Quaker,0,109.25190721251533,1,1,1,1001,1,1001,0,0,0
109527044,USA / FingL (US) 21st May,R3 5f Claim,21-05-2013 19:04,5806221,6. Quick And Easy,0,14.5,1,1,1,1001,1,1001,0,0,0
