EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
116814429,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 21:23,6693105,6. Run Home Missy,1,,1.67690461639714178262504701015419330575,1,1,1001,1,1001,0,850.88,0
116814420,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 19:40,9115628,3. Vegas Cartel,0,,5.1,1,1,1001,1,1001,0,26,0
116814420,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 19:40,9115629,4. Ba Dasher,0,,2.07992182176797561412946028330643715259,1,1,1001,1,1001,0,557.7,0
116814431,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 21:50,9115662,10. Sweet Sister,0,,2.00717828023871564259897453139446919391,1,2.02,1.98,1,1001,0,2141.46,0
116814427,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:57,6421643,7. Glenbeigh,0,,3.08160730593607305936073059360730593607,1,1,1001,1,1001,0,43.8,0
116814418,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 19:15,9115624,10. Flash On A Dream,1,,2.75757009345794392523364485981308411215,1,1,1001,1,1001,0,49.22,0
116814422,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:05,9115636,2. Hay Runner,0,,4.84662902690136167386250415144470275656,1,1,1001,1,1001,0,60.22,0
116814433,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 22:17,6793083,1. Parish Pay,0,,3.09182282793867120954003407155025553663,1,1,1001,1,1001,0,23.48,0
116814433,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 22:17,8253067,4. Richard Prichard,0,,2.29532179026461940542306435805292388108,1,1,1001,1,1001,0,122.44,0
116814433,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 22:17,9115706,10. Rising Giant,1,,1.98418876080691642651296829971181556196,1,1,1001,1,1001,0,138.8,0
116814439,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 23:10,5883291,4. Amen Baby,0,,5.97530269675288937809576224545954870666,1,1,1001,1,1001,0,145.36,0
116814439,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 23:10,6983588,9. Lucky Search,0,,2.56274099847284978824566651447643937843,1,2.54,2.5,1,1001,0,1270.34,0
116816380,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 17:25,9006749,6. Bachman Billy,1,,4.60470521541950113378684807256235827664,1,1,1001,1,1001,0,105.84,0
116816394,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 17:52,9115720,4. One Thousand Watts,0,,2.0799591717701953922426363371245261009,1,2.24,1.99,1,1001,0,3086.1,0
116816412,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 19:13,9058581,7. Echo Libra,0,,16.1298145506419400855920114122681883024,1,1,1001,1,1001,0,28.04,0
116816412,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 19:13,9115730,2. Pelekas Beach,1,,1.78338226454490809579550128128064791673,1,1.71,1.71,1,1001,0,632.18,0
116816414,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 19:40,9115737,8. Lindas Last,1,,1.68215287782016483550455368901364560985,1,1.8,1.62,1,1001,0,3234.74,0
116816414,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 19:40,8941288,1. Beau Who,0,,4.15683714182081973159231048240841494378,1,1,1001,1,1001,0,110.28,0
116816404,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 18:46,6436343,2. Tiny Predicament,0,,4.17023726888370038493090174796491449486,1,4,4,1,1001,0,633.88,0
116816969,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 21:01,9115746,8. Gracie Lynne,0,,11.8552821997105643994211287988422575977,1,1,1001,1,1001,0,13.82,0
116816969,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 21:01,7759819,3. Today Not Tommorow,0,,5.868960468521229868228404099560761347,1,1,1001,1,1001,0,27.32,0
116816969,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 21:01,8891491,6. Irish Rose,1,,1.68299039780521262002743484224965706447,1,1.87,1.87,1,1001,0,816.48,0
116817246,USA / TPara (US) 29th Dec,TO BE PLACED,29-12-2014 20:49,9115676,4. Sandhill Lady,0,,1.69741928350287483414418398938522777532,1,1.96,1.52,1,1001,0,3346.28,0
116817250,USA / TPara (US) 29th Dec,TO BE PLACED,29-12-2014 21:43,9082602,6. Four Times Lucky,1,,2.12868664503017986593466589826807000516,1,1,1001,1,1001,0,659.38,0
116817252,USA / TPara (US) 29th Dec,TO BE PLACED,29-12-2014 22:10,9115686,2. Dixies Lil Dandy,0,,10.5170456832360635942845642986516401691,1,1,1001,1,1001,0,99.38,0
116817252,USA / TPara (US) 29th Dec,TO BE PLACED,29-12-2014 22:10,9115687,3. My Moms Carol,1,,1.92225396247039533612679905265075605757,1,2.14,2.14,1,1001,0,1097.8,0
116817252,USA / TPara (US) 29th Dec,TO BE PLACED,29-12-2014 22:10,9115688,5. Worldly Pirate,1,,2.74277810317639107907186303221446271683,1,1,1001,1,1001,0,443.9,0
116817260,USA / TPara (US) 29th Dec,TO BE PLACED,29-12-2014 22:37,9115694,7. Rocky Mtn Freedom,0,,8.32875536480686695278969957081545064378,1,1,1001,1,1001,0,18.64,0
116817262,USA / TPara (US) 29th Dec,TO BE PLACED,29-12-2014 23:05,9115699,3. Time For A J,1,,1.85231173173370046218900580194709410955,1,2.12,2.12,1,1001,0,2033.8,0
116814431,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 21:50,3155326,7. Ice Cold,0,,2.0909946634532621793768290583577207781,1,1,1001,1,1001,0,580.9,0
116814431,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 21:50,9115657,3. Dawns Prize,0,,7.6,1,1,1001,1,1001,0,23.32,0
116814436,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 22:44,9115714,9. Lee Did It,0,,3.36307393763978423891593211419550059203,1,3.35,3.35,1,1001,0,304.04,0
116814427,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:57,721565,3. Alakazam,0,,4.60355983012740444666500124906320259805,1,1,1001,1,1001,0,160.12,0
116814427,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:57,5937641,6. Unremitting,1,,1.24106218844906903135692043517818470725,1,1.27,1.23,1,1001,0,1560.74,0
116814422,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:05,9115637,3. Jesse Art,1,,3.94795668878798463150541390150192106182,1,1,1001,1,1001,0,57.26,0
116814424,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:31,9115646,3. Snaps Back,0,,18.1091743119266055045871559633027522936,1,19,19,1,1001,0,87.2,0
116814424,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:31,9115647,6. Mccookspenbadgal,1,,1.46447236019525563072707030915474865119,1,1.41,1.41,1,1001,0,1868.32,0
116814424,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:31,9115648,8. Alissa G,0,,5.13439313780882428476038830962042220967,1,5.5,4.9,1,1001,0,778.76,0
116814424,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 20:31,6045366,2. Distinctivepockets,0,,9.16393442622950819672131147540983606557,1,1,1001,1,1001,0,18.3,0
116814433,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 22:17,6793093,7. Jackpot Magic,0,,5.22844073998780239886155722707867452734,1,5,5,1,1001,0,196.76,0
116814439,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 23:10,9115724,10. River Echo,1,,6.54053172402544446256728103082694503344,1,1,1001,1,1001,0,122.62,0
116814439,USA / SunP (US) 29th Dec,TO BE PLACED,29-12-2014 23:10,5383846,3. My Johnny Cash,0,,14,1,1,1001,1,1001,0,2.1,0
116816380,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 17:25,6529868,1. Exhibit A,0,,8.42110607434270172257479601087941976428,1,1,1001,1,1001,0,110.3,0
116816396,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 18:19,840369,3. Untamed,0,,8.23982939632545931758530183727034120735,1,1,1001,1,1001,0,60.96,0
116816396,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 18:19,6949292,6. Chicharito,0,,1.94731654426646620019661134563118024634,1,1,1001,1,1001,0,691.72,0
116816394,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 17:52,8262728,1. Candys Luck,0,,15.627044392523364485981308411214953271,1,13,13,1,1001,0,102.72,0
116816412,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 19:13,9115729,1. Center On The Moon,1,,2.27699943398896278477430309891042875336,1,1,1001,1,1001,0,565.36,0
116816414,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 19:40,9115736,7. Heres A Jetpack,0,,3.72011795316565481352992194275802254987,1,3.6,3.5,1,1001,0,1153,0
116816414,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 19:40,9115740,11. Streakin Easy,0,,10.913296508187019135924245413296508187,1,1,1001,1,1001,0,101.38,0
116816421,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 20:07,7379831,7. Getm Up Pronto,0,,3.440317574021012416427889207258834766,1,1,1001,1,1001,0,251.28,0
116816421,USA / Parx (US) 29th Dec,TO BE PLACED,29-12-2014 20:07,8596259,4. Maybe Tonight,1,,1.37573545325896944976275701323566136685,1,1.4,1.36,1,1001,0,3603.9,0
